pre_cut,post_cut,split_post,target_high_p4,target_low_p4,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.25,0.24,0.3,8.5,13.5,161,2.5217391304347827,8.109831776686578,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.3,8.5,14.0,161,2.5093167701863353,8.149247740362247,12.422360248447205,87.98198757763976,-193490.0,130,83.34769230769231,11.538461538461538
0.25,0.24,0.3,9.0,9.0,161,2.658385093167702,7.606511264008255,13.043478260869565,94.97329192546584,-80930.0,130,92.00615384615385,12.307692307692308
0.25,0.24,0.3,9.0,9.5,161,2.6149068322981366,7.69122152234638,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.0,10.0,161,2.6024844720496896,7.735913419535114,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.0,10.5,161,2.5838509316770186,7.829078697487645,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.0,11.0,161,2.5341614906832297,7.984185965977608,13.043478260869565,98.2944099378882,-27460.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.0,11.5,161,2.5093167701863353,8.043681488181646,12.422360248447205,91.6888198757764,-133810.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.0,12.0,161,2.4968944099378882,8.12751592265887,12.422360248447205,91.6888198757764,-133810.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.0,12.5,161,2.472049689440994,8.254895439972403,12.422360248447205,91.6888198757764,-133810.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.0,13.0,161,2.4472049689440993,8.315018654531931,12.422360248447205,91.6888198757764,-133810.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.0,13.5,161,2.4347826086956523,8.372813864375502,12.422360248447205,91.6888198757764,-133810.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.0,14.0,161,2.422360248447205,8.41222982805117,12.422360248447205,91.6888198757764,-133810.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.5,9.5,161,2.577639751552795,7.732995352391364,13.043478260869565,99.92049689440994,-1280.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.5,10.0,161,2.5652173913043477,7.7776872495801,13.043478260869565,99.92049689440994,-1280.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.5,10.5,161,2.546583850931677,7.870852527532632,13.043478260869565,99.92049689440994,-1280.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.5,11.0,161,2.4968944099378882,8.025959796022596,13.043478260869565,99.92049689440994,-1280.0,130,96.11923076923077,12.307692307692308
0.25,0.24,0.3,9.5,11.5,161,2.472049689440994,8.085455318226632,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.5,12.0,161,2.459627329192547,8.169289752703856,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.5,12.5,161,2.4347826086956523,8.29666927001739,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.5,13.0,161,2.409937888198758,8.356792484576914,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.5,13.5,161,2.3975155279503104,8.414587694420488,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,9.5,14.0,161,2.3850931677018634,8.454003658096157,12.422360248447205,93.31490683229813,-107630.0,130,87.93846153846154,11.538461538461538
0.25,0.24,0.3,10.0,10.0,161,2.5217391304347827,7.968421472026141,13.043478260869565,106.06149068322982,97590.0,130,97.35230769230769,12.307692307692308
0.25,0.24,0.3,10.0,10.5,161,2.5031055900621118,8.061586749978671,13.043478260869565,106.06149068322982,97590.0,130,97.35230769230769,12.307692307692308
0.25,0.24,0.3,10.0,11.0,161,2.453416149068323,8.216694018468637,13.043478260869565,106.06149068322982,97590.0,130,97.35230769230769,12.307692307692308
0.25,0.24,0.3,10.0,11.5,161,2.4285714285714284,8.276189540672673,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.3,10.0,12.0,161,2.4161490683229814,8.360023975149895,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.3,10.0,12.5,161,2.391304347826087,8.487403492463427,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.3,10.0,13.0,161,2.3664596273291925,8.547526707022955,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.3,10.0,13.5,161,2.3540372670807455,8.60532191686653,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.3,10.0,14.0,161,2.341614906832298,8.644737880542198,12.422360248447205,99.45590062111802,-8760.0,130,89.17153846153846,11.538461538461538
0.25,0.24,0.3,10.5,10.5,161,2.4472049689440993,8.167521169614378,13.043478260869565,109.19875776397515,148100.0,130,101.23769230769231,12.307692307692308
0.25,0.24,0.3,10.5,11.0,161,2.3975155279503104,8.322628438104344,13.043478260869565,109.19875776397515,148100.0,130,101.23769230769231,12.307692307692308
0.25,0.24,0.3,10.5,11.5,161,2.372670807453416,8.382123960308379,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,10.5,12.0,161,2.360248447204969,8.465958394785602,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,10.5,12.5,161,2.3354037267080745,8.593337912099134,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,10.5,13.0,161,2.31055900621118,8.653461126658662,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,10.5,13.5,161,2.298136645962733,8.711256336502235,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,10.5,14.0,161,2.2857142857142856,8.750672300177905,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.0,11.0,161,2.3850931677018634,8.38101106932723,13.043478260869565,109.19875776397515,148100.0,130,101.23769230769231,12.307692307692308
0.25,0.24,0.3,11.0,11.5,161,2.360248447204969,8.440506591531266,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.0,12.0,161,2.347826086956522,8.524341026008488,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.0,12.5,161,2.3229813664596275,8.651720543322021,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.0,13.0,161,2.298136645962733,8.71184375788155,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.0,13.5,161,2.2857142857142856,8.769638967725122,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.0,14.0,161,2.2732919254658386,8.809054931400793,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.5,11.5,161,2.3354037267080745,8.511613775019008,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.5,12.0,161,2.3229813664596275,8.595448209496231,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.5,12.5,161,2.298136645962733,8.722827726809765,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.5,13.0,161,2.2732919254658386,8.782950941369291,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.5,13.5,161,2.260869565217391,8.840746151212866,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,11.5,14.0,161,2.248447204968944,8.880162114888535,12.422360248447205,102.59316770186335,41750.0,130,93.05692307692307,11.538461538461538
0.25,0.24,0.3,12.0,12.0,161,2.298136645962733,8.676744365619317,12.422360248447205,103.81925465838509,61490.0,130,94.57538461538462,11.538461538461538
0.25,0.24,0.3,12.0,12.5,161,2.2732919254658386,8.804123882932851,12.422360248447205,103.81925465838509,61490.0,130,94.57538461538462,11.538461538461538
0.25,0.24,0.3,12.0,13.0,161,2.248447204968944,8.864247097492377,12.422360248447205,103.81925465838509,61490.0,130,94.57538461538462,11.538461538461538
0.25,0.24,0.3,12.0,13.5,161,2.2360248447204967,8.922042307335952,12.422360248447205,103.81925465838509,61490.0,130,94.57538461538462,11.538461538461538
0.25,0.24,0.3,12.0,14.0,161,2.2236024844720497,8.96145827101162,12.422360248447205,103.81925465838509,61490.0,130,94.57538461538462,11.538461538461538
0.25,0.24,0.3,12.5,12.5,161,2.2546583850931676,8.857364221431135,12.422360248447205,103.81925465838509,61490.0,130,94.57538461538462,11.538461538461538
