combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,race_code,return,stake,train_pair_count
3-4-5,0.0007191592268835982,2026-08-03,0.11952426350805401,0,0.023081719658597958,3まくり差しv29,166.2,0.009829178263175259,202608030105,0,100,3
3-1-5,0.012510656273091466,2026-08-03,0.42911551016703725,0,0.11086246972114631,3まくり差しv29,34.3,0.20335462888200362,202608030411,0,1000,65
3-1-4,0.010132827707419278,2026-08-03,0.2259620578754499,0,0.17051940410023847,3まくり差しv29,22.3,0.16470418281728982,202608030411,0,800,52
3-1-2,0.009216876262508306,2026-08-03,0.5189101335792176,0,0.06754143359565397,3まくり差しv29,56.3,0.14981583786655936,202608030411,0,700,48
3-1-6,0.005885191507339466,2026-08-03,0.18008686012458766,0,0.12426740887043523,3まくり差しv29,30.6,0.09566092367581322,202608030411,0,500,30
3-4-1,0.0029786022805316703,2026-08-03,0.131952081027553,0,0.08583708152224194,3まくり差しv29,44.3,0.048415730407956596,202608030411,0,300,15
3-2-4,0.002703706479661498,2026-08-03,0.3441818348609087,0,0.029871034653851672,3まくり差しv29,127.3,0.043947432954416096,202608030411,0,300,14
3-2-1,0.002509916822696895,2026-08-03,0.3496314134016775,0,0.027297794051940546,3まくり差しv29,139.3,0.040797476396344214,202608030411,0,300,13
3-2-6,0.002134351083067221,2026-08-03,0.2699954120080035,0,0.030059942382887887,3まくり差しv29,126.5,0.03469283808352809,202608030411,0,300,11
3-2-5,0.0021265660106904857,2026-08-03,0.32430131663029904,0,0.024934968599575856,3まくり差しv29,152.5,0.03456629552097718,202608030411,0,200,11
3-4-2,0.001941626972785888,2026-08-03,0.2619254786288163,0,0.02818815946208538,3まくり差しv29,134.9,0.03156020146819964,202608030411,0,200,10
3-5-1,0.001577451734446923,2026-08-03,0.1560099765368007,0,0.038448763512996136,3まくり差しv29,98.9,0.025640710210197436,202608030411,0,200,8
3-5-2,0.0015486835285702903,2026-08-03,0.30183841971834957,0,0.019510429509673258,3まくり差しv29,194.9,0.025173097024930206,202608030411,0,200,8
3-4-2,0.0065294427337634605,2026-08-03,0.8951865987989704,0,0.015970511707897712,3直まくりv29,137.1,0.07707305042378519,202608030501,0,500,26
3-4-6,0.006340351905671794,2026-08-03,0.2992646099477087,0,0.04638892277866052,3直まくりv29,47.2,0.0748410365257501,202608030501,0,500,25
3-2-4,0.005796820259874057,2026-08-03,0.5176560492067532,0,0.02451911707897846,3直まくりv29,89.3,0.06842522990156881,202608030501,0,400,23
3-1-5,0.005550700252756498,2026-08-03,0.46015305095351366,0,0.026412028409563044,3直まくりv29,82.9,0.06552004786807229,202608030501,0,400,22
3-4-1,0.005532364426616863,2026-08-03,0.7026102821803416,0,0.017240607520888,3直まくりv29,127.0,0.06530361315683511,202608030501,0,400,22
3-4-5,0.005059741712405831,2026-08-03,0.359241661580814,0,0.030838833171165866,3直まくりv29,71.0,0.0597248102223284,202608030501,0,400,20
3-5-2,0.0048754344001675715,2026-08-03,0.16771494336576445,0,0.0636499173009528,3直まくりv29,34.4,0.057549260585273224,202608030501,0,400,19
3-1-2,0.004819710042167801,2026-08-03,0.29496625458066944,0,0.03577707769857478,3直まくりv29,61.2,0.05689149445896341,202608030501,0,400,19
3-2-1,0.0048101866454811895,2026-08-03,0.33959917717097193,0,0.0310135574384246,3直まくりv29,70.6,0.05677908100149674,202608030501,0,400,19
3-5-1,0.00454729835085103,2026-08-03,0.40607374273099694,0,0.02451911707897846,3直まくりv29,89.3,0.053675967364695654,202608030501,0,300,18
3-1-4,0.004545398780106947,2026-08-03,0.4222675466719354,0,0.023568968300891023,3直まくりv29,92.9,0.053653544974652294,202608030501,0,300,18
3-1-6,0.0035936166471793205,2026-08-03,0.1656657274349667,0,0.04749581681459385,3直まくりv29,46.1,0.04241878033780752,202608030501,0,300,14
3-5-4,0.0035343955445973265,2026-08-03,0.4329634542131725,0,0.01787393596043083,3直まくりv29,122.5,0.04171973890172108,202608030501,0,300,14
3-1-5,0.008612328995110939,2026-08-03,0.6545370036284314,0,0.04070890645895062,3まくり差しv29,76.0,0.20162244213478886,202608031303,0,1000,65
3-1-4,0.006879793807660939,2026-08-03,0.9246442877496303,0,0.02301991734285898,3まくり差しv29,134.4,0.16106222018130514,202608031303,0,800,52
3-1-2,0.006370490426276801,2026-08-03,0.4911648118659413,0,0.04012810494008103,3まくり差しv29,77.1,0.14913896555407605,202608031303,0,800,48
3-1-6,0.003969212338677317,2026-08-03,0.9180788139360634,0,0.013376034980027008,3まくり差しv29,231.3,0.09292286506123522,202608031303,0,500,30
3-4-1,0.0019905320480518946,2026-08-03,0.5004197568802463,0,0.01230659065584824,3まくり差しv29,251.4,0.046600162732243156,202608031303,0,300,15
