1ブロック力,1ブロック成功指数,1対3圧力,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,ST接近度,bet_hit,composite_odds,date,head_hit,model,prob,race,race_code,return,score,tickets,venue,まくり差し指数,まくり差し指数v28,差し場生成指数,直まくり指数,直まくり指数v28
0.77,0.536,1.0,0.731,0.269,0.69,0.579,0.334,0.874,0.408,0,5.02,2026-08-17,0,3直まくりv28,0.0939,09R,202608170209,0,67.59,8,02,0.767,0.606,0.7,0.728,0.676
0.699,0.403,0.159,0.609,0.391,0.882,0.334,0.124,0.62,0.0,1,5.07,2026-08-17,0,3直まくりv28,0.077,07R,202608170507,16080,61.73,8,05,0.349,0.131,0.24,0.612,0.617
0.682,0.416,0.0,0.536,0.464,1.0,0.172,0.286,0.715,0.0,0,5.05,2026-08-17,0,3直まくりv28,0.0958,03R,202608171503,0,71.84,12,15,0.363,0.115,0.202,0.722,0.718
0.863,0.616,1.0,0.45,0.55,0.726,0.409,0.781,0.858,0.293,0,6.88,2026-08-17,0,3まくり差しv28,0.0841,12R,202608171712,0,62.27,20,17,0.804,0.623,0.703,0.659,0.604
0.628,0.616,0.8,0.375,0.625,0.651,0.81,0.9,0.85,0.527,1,5.04,2026-08-17,0,3まくり差しv28,0.1058,05R,202608171805,16080,59.26,6,18,0.748,0.593,0.687,0.604,0.572
0.343,0.316,0.085,0.633,0.367,0.756,0.671,0.419,0.83,0.199,0,5.04,2026-08-18,0,3直まくりv28,0.0918,01R,202608180501,0,73.14,8,05,0.501,0.352,0.342,0.734,0.731
0.674,0.559,0.793,0.804,0.196,0.608,0.303,0.771,0.631,0.661,0,5.01,2026-08-18,0,3まくり差しv28,0.0429,07R,202608181007,0,65.63,7,10,0.777,0.656,0.793,0.651,0.581
0.256,0.161,0.199,0.927,0.073,0.792,0.471,0.219,0.612,0.087,0,5.01,2026-08-18,0,3直まくりv28,0.0956,01R,202608181101,0,72.07,10,11,0.439,0.343,0.391,0.704,0.721
0.726,0.409,0.312,0.658,0.342,0.816,0.615,0.591,0.716,0.012,0,5.01,2026-08-18,1,3直まくりv28,0.0934,03R,202608181103,0,66.82,7,11,0.535,0.353,0.427,0.674,0.668
0.699,0.369,0.0,0.731,0.269,0.966,0.24,0.665,0.906,0.0,0,5.05,2026-08-18,1,3直まくりv28,0.0768,07R,202608181507,0,78.21,12,15,0.504,0.285,0.336,0.795,0.782
0.578,0.38,0.617,0.621,0.379,0.794,0.757,0.23,0.712,0.082,0,5.01,2026-08-18,0,3直まくりv28,0.0962,08R,202608181608,0,70.12,12,16,0.556,0.387,0.456,0.704,0.701
0.604,0.349,0.142,0.658,0.342,0.891,0.931,0.619,0.782,0.0,0,5.13,2026-08-18,1,3直まくりv28,0.0742,01R,202608182001,0,80.17,11,20,0.515,0.315,0.355,0.794,0.802
0.794,0.661,1.0,0.399,0.601,0.668,0.635,0.791,0.729,0.474,0,5.04,2026-08-19,0,3まくり差しv28,0.1003,07R,202608191107,0,60.2,10,11,0.77,0.602,0.727,0.594,0.546
0.673,0.394,0.43,0.658,0.342,0.809,0.86,0.8,0.71,0.035,0,5.01,2026-08-19,1,3直まくりv28,0.0958,02R,202608191302,0,70.96,8,13,0.609,0.449,0.518,0.71,0.71
0.745,0.419,0.0,0.621,0.379,1.0,0.14,0.2,0.93,0.0,0,5.04,2026-08-19,1,3直まくりv28,0.0835,05R,202608191805,0,76.45,13,18,0.404,0.14,0.205,0.777,0.764
0.641,0.396,0.0,0.548,0.452,1.0,0.649,0.78,0.906,0.0,0,5.07,2026-08-20,0,3直まくりv28,0.0798,04R,202608201504,0,81.3,11,15,0.49,0.262,0.314,0.802,0.813
0.556,0.339,0.245,0.621,0.379,0.918,0.172,0.286,0.735,0.0,0,5.13,2026-08-20,0,3直まくりv28,0.0959,02R,202608201902,0,71.01,17,19,0.455,0.248,0.308,0.718,0.71
0.785,0.692,1.0,0.557,0.443,0.592,0.5,0.5,0.837,0.714,0,5.04,2026-08-20,0,3まくり差しv28,0.0979,07R,202608202307,0,60.56,5,23,0.784,0.606,0.75,0.616,0.541
0.747,0.427,0.132,0.593,0.407,0.876,0.5,0.5,0.59,0.0,0,5.11,2026-08-21,0,3直まくりv28,0.0898,04R,202608210304,0,65.33,11,03,0.431,0.217,0.309,0.656,0.653
0.667,0.403,0.223,0.56,0.44,0.884,0.577,0.229,0.556,0.0,0,5.12,2026-08-21,0,3直まくりv28,0.0904,01R,202608210401,0,65.49,13,04,0.383,0.17,0.272,0.647,0.655
0.825,0.635,1.0,0.572,0.428,0.659,0.5,0.5,0.726,0.503,0,5.99,2026-08-21,0,3まくり差しv28,0.111,07R,202608210707,0,58.5,20,07,0.757,0.585,0.713,0.642,0.579
0.578,0.381,0.789,0.719,0.281,0.766,0.67,0.7,0.803,0.168,0,5.16,2026-08-21,0,3直まくりv28,0.0964,01R,202608211301,0,70.54,7,13,0.714,0.59,0.66,0.715,0.705
0.858,0.756,1.0,0.658,0.342,0.5,0.5,0.866,0.729,0.999,0,8.45,2026-08-21,0,3まくり差しv28,0.0459,10R,202608211910,0,68.51,20,19,0.858,0.685,0.851,0.614,0.503
0.641,0.382,0.277,0.597,0.403,0.917,0.3,0.0,0.719,0.0,0,5.01,2026-08-21,0,3直まくりv28,0.0957,03R,202608212303,0,71.18,7,23,0.41,0.176,0.249,0.721,0.712
0.792,0.542,1.0,0.707,0.293,0.7,0.697,0.895,0.851,0.374,0,5.01,2026-08-21,1,3直まくりv28,0.0946,10R,202608212310,0,68.53,9,23,0.859,0.722,0.81,0.733,0.685
0.792,0.542,1.0,0.707,0.293,0.7,0.697,0.895,0.851,0.374,1,5.02,2026-08-21,0,3まくり差しv28,0.0461,10R,202608212310,21190,72.15,4,23,0.859,0.722,0.81,0.733,0.685
0.539,0.403,0.279,0.548,0.452,0.775,0.454,0.125,0.574,0.141,0,5.02,2026-08-22,0,3直まくりv28,0.0754,01R,202608220201,0,59.79,11,02,0.407,0.233,0.31,0.602,0.598
0.731,0.44,0.63,0.609,0.391,0.801,0.94,1.0,0.719,0.059,0,5.46,2026-08-22,0,3直まくりv28,0.0958,07R,202608220407,0,71.0,7,04,0.701,0.545,0.622,0.716,0.71
0.647,0.663,0.871,0.523,0.477,0.567,0.677,0.695,0.734,0.79,0,5.09,2026-08-22,0,3まくり差しv28,0.0853,04R,202608221604,0,62.19,10,16,0.781,0.622,0.755,0.629,0.557
0.857,0.72,1.0,0.536,0.464,0.6,0.568,0.514,0.884,0.689,1,5.0,2026-08-22,0,3まくり差しv28,0.0938,06R,202608221906,61300,61.35,11,19,0.811,0.614,0.743,0.655,0.571
0.472,0.359,0.557,0.694,0.306,0.751,0.5,0.5,0.754,0.216,0,5.03,2026-08-22,0,3直まくりv28,0.0957,02R,202608222202,0,69.45,6,22,0.627,0.496,0.539,0.711,0.695
0.82,0.696,0.923,0.597,0.403,0.59,0.817,0.895,0.889,0.717,0,5.04,2026-08-22,0,3まくり差しv28,0.0461,06R,202608222406,0,69.78,8,24,0.868,0.698,0.822,0.685,0.61
0.766,0.407,0.0,0.694,0.306,1.0,0.59,0.5,0.795,0.0,1,5.03,2026-08-23,0,3直まくりv28,0.0775,03R,202608230303,7120,80.89,13,03,0.441,0.205,0.291,0.809,0.809
0.52,0.326,0.214,0.646,0.354,0.816,0.808,0.514,0.687,0.012,0,5.1,2026-08-23,0,3直まくりv28,0.0894,01R,202608230401,0,74.12,8,04,0.512,0.343,0.374,0.74,0.741
0.457,0.353,0.33,0.853,0.147,0.706,0.605,0.144,0.517,0.355,0,5.04,2026-08-23,0,3直まくりv28,0.0936,01R,202608230601,0,67.43,12,06,0.488,0.373,0.452,0.692,0.674
0.846,0.542,1.0,0.817,0.183,0.691,0.443,0.305,0.692,0.402,1,5.01,2026-08-23,0,3直まくりv28,0.0765,12R,202608232112,14250,61.35,15,21,0.717,0.57,0.715,0.663,0.613
0.61,0.534,0.837,0.56,0.44,0.673,0.88,0.335,0.735,0.46,0,5.09,2026-08-23,0,3直まくりv28,0.0859,07R,202608232207,0,64.51,11,22,0.669,0.513,0.61,0.675,0.645
0.565,0.397,0.348,0.731,0.269,0.741,0.5,0.5,0.685,0.246,0,5.07,2026-08-24,0,3直まくりv28,0.094,06R,202608241006,0,67.79,5,10,0.575,0.433,0.484,0.703,0.678
0.482,0.291,0.096,0.682,0.318,0.891,0.48,0.6,0.661,0.0,1,5.11,2026-08-24,0,3直まくりv28,0.0958,10R,202608241810,17950,69.57,10,18,0.438,0.273,0.342,0.678,0.696
0.432,0.384,0.092,0.523,0.477,0.756,0.86,0.8,0.712,0.199,0,6.72,2026-08-24,0,3直まくりv28,0.0963,06R,202608241906,0,70.28,20,19,0.539,0.391,0.4,0.705,0.703
0.783,0.452,0.325,0.56,0.44,0.865,0.35,0.5,0.566,0.0,0,5.06,2026-08-25,0,3直まくりv28,0.0766,05R,202608250305,0,61.4,20,03,0.471,0.259,0.366,0.624,0.614
0.674,0.361,0.0,0.817,0.183,0.798,0.275,0.856,0.719,0.07,0,5.01,2026-08-25,0,3直まくりv28,0.0892,09R,202608251009,0,65.17,10,10,0.527,0.376,0.432,0.667,0.652
0.504,0.325,0.116,0.597,0.403,0.959,0.279,0.4,0.765,0.0,0,5.07,2026-08-25,0,3直まくりv28,0.0955,01R,202608251301,0,72.17,4,13,0.415,0.213,0.282,0.711,0.722
0.782,0.696,0.984,0.597,0.403,0.572,0.539,0.6,0.675,0.776,0,5.13,2026-08-25,0,3まくり差しv28,0.0982,04R,202608251304,0,60.51,12,13,0.762,0.605,0.789,0.568,0.497
0.873,0.699,1.0,0.45,0.55,0.65,0.561,0.931,0.772,0.533,0,8.21,2026-08-26,0,3まくり差しv28,0.0595,07R,202608260107,0,63.93,20,01,0.807,0.639,0.782,0.577,0.52
