floor,maxn,month,R,return_yen,profit_yen,roi_pct,hit_rate_pct,avg_n,avg_comp_odds
5.5,16,2026-04,12,363930.0,243930.0,303.275,50.0,6.333333333333333,6.02402447460187
5.5,16,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,5.888888888888889,6.242111913988863
5.5,16,2026-06,8,57900.0,-22100.0,72.375,12.5,8.875,6.1089834063445565
5.5,20,2026-04,12,363930.0,243930.0,303.275,50.0,6.333333333333333,6.02402447460187
5.5,20,2026-05,9,120630.0,30630.0,134.03333333333333,22.22222222222222,5.888888888888889,6.242111913988863
5.5,20,2026-06,8,57900.0,-22100.0,72.375,12.5,9.375,6.092357677140417
6.0,5,2026-04,12,411590.0,291590.0,342.9916666666667,50.0,4.75,7.39030083408035
6.0,5,2026-05,9,133930.0,43930.0,148.8111111111111,22.22222222222222,4.666666666666667,7.506871469328544
6.0,5,2026-06,8,98430.0,18430.0,123.0375,12.5,4.875,8.324178348973833
6.0,6,2026-04,12,408300.0,288300.0,340.25,50.0,5.166666666666667,7.047151699823733
6.0,6,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.111111111111111,7.032750764350631
6.0,6,2026-06,8,81060.0,1060.0,101.325,12.5,5.5,7.76149711591504
6.0,8,2026-04,12,395850.0,275850.0,329.875,50.0,5.5,6.814738920573699
6.0,8,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.222222222222222,7.020524913558005
6.0,8,2026-06,8,63690.0,-16310.0,79.6125,12.5,6.5,6.919142366494237
6.0,10,2026-04,12,395850.0,275850.0,329.875,50.0,5.5,6.814738920573699
6.0,10,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.222222222222222,7.020524913558005
6.0,10,2026-06,8,63690.0,-16310.0,79.6125,12.5,7.125,6.677411540344792
6.0,12,2026-04,12,395850.0,275850.0,329.875,50.0,5.5,6.814738920573699
6.0,12,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.222222222222222,7.020524913558005
6.0,12,2026-06,8,63690.0,-16310.0,79.6125,12.5,7.375,6.628669933397055
6.0,16,2026-04,12,395850.0,275850.0,329.875,50.0,5.5,6.814738920573699
6.0,16,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.222222222222222,7.020524913558005
6.0,16,2026-06,8,63690.0,-16310.0,79.6125,12.5,7.75,6.58965657523874
6.0,20,2026-04,12,395850.0,275850.0,329.875,50.0,5.5,6.814738920573699
6.0,20,2026-05,9,126330.0,36330.0,140.36666666666667,22.22222222222222,5.222222222222222,7.020524913558005
6.0,20,2026-06,8,63690.0,-16310.0,79.6125,12.5,7.75,6.58965657523874
6.5,5,2026-04,12,432550.0,312550.0,360.4583333333333,50.0,4.666666666666667,7.57010089013935
6.5,5,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.555555555555555,7.62276987932399
6.5,5,2026-06,8,98430.0,18430.0,123.0375,12.5,4.75,8.607535662276431
6.5,6,2026-04,12,432550.0,312550.0,360.4583333333333,50.0,4.916666666666667,7.402921277982126
6.5,6,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.888888888888889,7.233874625135709
6.5,6,2026-06,8,81060.0,1060.0,101.325,12.5,5.25,8.112479476040752
6.5,8,2026-04,12,427570.0,307570.0,356.30833333333334,50.0,5.083333333333333,7.322811796249066
6.5,8,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.888888888888889,7.233874625135709
6.5,8,2026-06,8,81060.0,1060.0,101.325,12.5,6.0,7.494913632024636
6.5,10,2026-04,12,427570.0,307570.0,356.30833333333334,50.0,5.083333333333333,7.322811796249066
6.5,10,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.888888888888889,7.233874625135709
6.5,10,2026-06,8,81060.0,1060.0,101.325,12.5,6.5,7.293655744915975
6.5,12,2026-04,12,427570.0,307570.0,356.30833333333334,50.0,5.083333333333333,7.322811796249066
6.5,12,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.888888888888889,7.233874625135709
6.5,12,2026-06,8,81060.0,1060.0,101.325,12.5,6.625,7.270350925722594
6.5,16,2026-04,12,427570.0,307570.0,356.30833333333334,50.0,5.083333333333333,7.322811796249066
6.5,16,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.888888888888889,7.233874625135709
6.5,16,2026-06,8,81060.0,1060.0,101.325,12.5,6.625,7.270350925722594
6.5,20,2026-04,12,427570.0,307570.0,356.30833333333334,50.0,5.083333333333333,7.322811796249066
6.5,20,2026-05,9,143020.0,53020.0,158.9111111111111,22.22222222222222,4.888888888888889,7.233874625135709
6.5,20,2026-06,8,81060.0,1060.0,101.325,12.5,6.625,7.270350925722594
