target,maxn,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds
5.5,4,4.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.25,5.813114370665851
5.5,4,4.0,2026-05,6,113330.0,53330.0,188.88333333333333,50.0,33.33333333333333,3.1666666666666665,5.622912774789351
5.5,4,4.0,2026-06,15,54560.00000000001,-95440.0,36.37333333333334,33.33333333333333,6.666666666666667,3.2666666666666666,5.5237680479045155
5.5,4,4.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.25,5.813114370665851
5.5,4,4.5,2026-05,6,113330.0,53330.0,188.88333333333333,50.0,33.33333333333333,3.1666666666666665,5.622912774789351
5.5,4,4.5,2026-06,13,54560.00000000001,-75440.0,41.969230769230776,38.46153846153847,7.6923076923076925,3.3846153846153846,5.715584108414949
5.5,4,5.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.25,5.813114370665851
5.5,4,5.0,2026-05,5,113330.0,63330.0,226.66,40.0,40.0,3.2,5.769382122200052
5.5,4,5.0,2026-06,12,54560.00000000001,-65439.99999999999,45.466666666666676,33.33333333333333,8.333333333333332,3.5,5.805917871835493
5.5,4,5.5,2026-04,4,0.0,-40000.0,0.0,25.0,0.0,3.5,6.369222012689084
5.5,4,5.5,2026-05,3,62580.0,32580.0,208.6,33.33333333333333,33.33333333333333,3.3333333333333335,6.219037666041367
5.5,4,5.5,2026-06,6,0.0,-60000.0,0.0,16.666666666666664,0.0,3.8333333333333335,6.206046554559621
5.5,4,6.0,2026-04,4,0.0,-40000.0,0.0,25.0,0.0,3.5,6.369222012689084
5.5,4,6.0,2026-05,2,62580.0,42580.0,312.9,50.0,50.0,4.0,6.379926362075749
5.5,4,6.0,2026-06,3,0.0,-30000.0,0.0,0.0,0.0,4.0,6.627878611223982
5.5,4,6.5,2026-04,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319
5.5,4,6.5,2026-05,0,0.0,0.0,,,,,
5.5,4,6.5,2026-06,2,0.0,-20000.0,0.0,0.0,0.0,4.0,6.716811810383858
5.5,4,7.0,2026-04,0,0.0,0.0,,,,,
5.5,4,7.0,2026-05,0,0.0,0.0,,,,,
5.5,4,7.0,2026-06,0,0.0,0.0,,,,,
5.5,4,7.5,2026-04,0,0.0,0.0,,,,,
5.5,4,7.5,2026-05,0,0.0,0.0,,,,,
5.5,4,7.5,2026-06,0,0.0,0.0,,,,,
5.5,4,8.0,2026-04,0,0.0,0.0,,,,,
5.5,4,8.0,2026-05,0,0.0,0.0,,,,,
5.5,4,8.0,2026-06,0,0.0,0.0,,,,,
5.5,6,3.0,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.5,5.579673702101962
5.5,6,3.0,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.5,5.244458223957941
5.5,6,3.0,2026-06,15,54560.00000000001,-95440.0,36.37333333333334,33.33333333333333,6.666666666666667,3.466666666666667,5.185428940831956
5.5,6,3.5,2026-04,8,0.0,-80000.0,0.0,12.5,0.0,3.5,5.579673702101962
5.5,6,3.5,2026-05,6,104390.0,44390.0,173.98333333333332,50.0,33.33333333333333,3.5,5.244458223957941
