feature,coverage,auc,auc_abs,mean_head,mean_loss
rel_pl_all_win_1v2,1.0,0.6320673435930648,0.6320673435930648,0.032638311209552066,-0.010677367663747843
b1_pl_frame_races,1.0,0.6317459250537883,0.6317459250537883,23.10688481023171,18.978511050005093
rel_pl_frame_p2_1v6,1.0,0.6293786313945059,0.6293786313945059,0.47507554917224737,0.3995911813667121
rel_wr_1v4,1.0,0.6289323847428676,0.6289323847428676,0.12053583589402872,-0.004184743863937265
rel_pl_frame_p2_1v5,1.0,0.6284784920151664,0.6284784920151664,0.42410732196966305,0.34655329423163306
rel_pl_all_p2_1v2,1.0,0.6273533177909922,0.6273533177909922,0.047384587912269016,-0.013378644438001474
rel_pl_all_p2_1v3,1.0,0.6271861909768708,0.6271861909768708,0.0494265540732399,-0.010853441446875795
rel_pl_all_win_1v4,1.0,0.6266331064825454,0.6266331064825454,0.037572780592900104,-0.0040921161427145665
rel_wr_1v5,1.0,0.6251976994885562,0.6251976994885562,0.14063317000249148,0.014084733679600774
rel_pl_all_win_1v5,1.0,0.6250036676213858,0.6250036676213858,0.043283617726549324,0.0006364639643262291
rel_pl_frame_p2_1v4,1.0,0.6244473479234167,0.6244473479234167,0.3678677971864451,0.29043020472998043
b1_local,1.0,0.6234933603767601,0.6234933603767601,0.556863896837321,0.44556435111888815
rel_local_1vbest,1.0,0.6230867862027472,0.6230867862027472,-0.17703543197106858,-0.299070447833051
rel_grade_1v3,1.0,0.6224427607683458,0.6224427607683458,0.13318412092018936,-0.01757205418067013
rel_grade_1v2,1.0,0.6211584695022089,0.6211584695022089,0.12925172327879744,-0.021754761177309297
rel_pl_all_p2_1v4,1.0,0.6199777301268228,0.6199777301268228,0.05572630218154802,-0.0021054396297348296
rel_pl_frame_p2_1v3,1.0,0.6185788661324242,0.6185788661324242,0.3105509300937181,0.23343269442952014
rel_pl_all_p2_1v5,1.0,0.6172856220216937,0.6172856220216937,0.06693080780413367,0.007374754921218171
rel_pl_frame_p2_1v2,1.0,0.6168257494535319,0.6168257494535319,0.2784791422128542,0.2012105249973709
b1_nst_strength,1.0,0.616105525458012,0.616105525458012,0.6057102518775136,0.5431597631414313
rel_local_1vavg,1.0,0.6160605201806548,0.6160605201806548,0.11483395368853387,0.007324426668148024
rel_grade_1v5,1.0,0.6157247229585165,0.6157247229585165,0.1629324806909725,0.019786128933699968
rel_pl_recent_p2_1v3,1.0,0.6157230017455975,0.6157230017455975,0.06205765277136399,-0.015273012546148374
rel_grade_1v4,1.0,0.6151004766710987,0.6151004766710987,0.13950668549123826,-9.26774620633475e-05
rel_pl_recent_p2_1v2,1.0,0.6145231260349322,0.6145231260349322,0.05854633757931208,-0.018085632907059324
rel_pl_all_win_1v6,1.0,0.6126796012730344,0.6126796012730344,0.0434111204600338,0.0034566051400494505
rel_grade_1v6,1.0,0.6122194115280448,0.6122194115280448,0.16583672452454115,0.023953559425603416
attack23_local,1.0,0.38889008570278594,0.6111099142972141,0.04303191368883587,0.1644200020368673
rel_wr_1v6,1.0,0.6105900995376161,0.6105900995376161,0.14701984884976332,0.027851716060698646
rel_nst_strength_1vavg,1.0,0.6105095535394444,0.6105095535394444,0.04734775232242221,-0.014706181892249717
rel_pl_recent_p2_1v5,1.0,0.6088536748179165,0.6088536748179165,0.08423315824469187,0.007925825627314137
rel_pl_recent_p2_1v4,1.0,0.6076305225571127,0.6076305225571127,0.06925321505861401,-0.0035779859020296312
rel_nst_strength_1vbest,1.0,0.6029562242099821,0.6029562242099821,-0.13631995444137293,-0.20546171416932188
rel_pl_all_p2_1v6,1.0,0.6004818262794772,0.6004818262794772,0.06992228726005521,0.015136375075187444
attack23_nst_strength,1.0,0.4018893876853974,0.5981106123146026,0.030283436354360694,0.0946052114704727
rel_meet_st_strength_1vavg,1.0,0.5968887795094026,0.5968887795094026,0.0758682372265131,-0.01763361283679035
b1_meet_st_strength,1.0,0.5966100868033473,0.5966100868033473,0.5593391560317065,0.4625698758642541
rel_meet_st_strength_1vbest,1.0,0.594967922807855,0.594967922807855,-0.19951139163413892,-0.30373496395876476
rel_pl_recent_p2_1v6,1.0,0.594516516746484,0.594516516746484,0.08866385402704188,0.017409225298342546
rel_local_1v2,1.0,0.5915181934446925,0.5915181934446925,0.09656431435021254,-0.016927848605208823
rel_local_1v3,1.0,0.5890736904874669,0.5890736904874669,0.09882522593260905,-0.012635613698858426
rel_nst_strength_1v4,1.0,0.5883155913496795,0.5883155913496795,0.05471780938934829,-0.008991314215878838
rel_meet_st_strength_1v4,1.0,0.5844418769191683,0.5844418769191683,0.0776858465059196,-0.029342770818481176
rel_nst_strength_1v2,1.0,0.5843680423826731,0.5843680423826731,0.04937297566647288,-0.01143555497359347
rel_nst_strength_1v5,1.0,0.5837731751275615,0.5837731751275615,0.052433945922858806,-0.012373968835930345
rel_local_1v4,1.0,0.5836839892325995,0.5836839892325995,0.11042106137364005,0.0066079678545306435
rel_nst_strength_1v3,1.0,0.5823636117015041,0.5823636117015041,0.04824587421547807,-0.010788122153841676
rel_local_1v5,1.0,0.5819484568370421,0.5819484568370421,0.1302638711674506,0.024474071605144015
rel_local_1v6,1.0,0.5771830568469093,0.5771830568469093,0.13809529561875714,0.03510355618513272
rel_meet_st_strength_1v5,1.0,0.5768012562976621,0.5768012562976621,0.08352573152838912,-0.015424177614828392
attack23_meet_st_strength,1.0,0.4242544096819487,0.5757455903180513,0.06702516402292168,0.15441278813185322
rel_nst_strength_1v6,1.0,0.5743357477763853,0.5743357477763853,0.03196815641795293,-0.02994194928200429
rel_meet_st_strength_1v6,1.0,0.5733023349230151,0.5733023349230151,0.08974602976866079,-0.00528397324914282
rel_meet_st_strength_1v3,1.0,0.5724097020619343,0.5724097020619343,0.0661398785630577,-0.024734782903893814
b1_gh_p12_overall,1.0,0.5646502120234056,0.5646502120234056,0.5343995714591971,0.49089259231806814
rel_gh_p12_overall_1vavg,1.0,0.5629014300944936,0.5629014300944936,0.04241963440928467,-0.003112000433323517
rel_meet_st_strength_1v2,1.0,0.5615321100643513,0.5615321100643513,0.0622436997665384,-0.013382359597605554
b1_vh_p12_overall,1.0,0.5612710735350455,0.5612710735350455,0.5337529146777636,0.4926178025125469
b1_gh_p12_turn,1.0,0.5601740476970851,0.5601740476970851,0.5376423608227445,0.49330396849645247
rel_vh_p12_overall_1vavg,1.0,0.5592122914326589,0.5592122914326589,0.0411994053007047,-0.0017202727009736503
b1_gh_p12_display,1.0,0.5585171624677573,0.5585171624677573,0.529565650693464,0.4760427063176834
rel_gh_p12_display_1vavg,1.0,0.558451177000495,0.558451177000495,0.03683226753038231,-0.022969345147163665
rel_vh_p12_display_1vavg,1.0,0.5579265876723821,0.5579265876723821,0.03716119923594386,-0.0227035339647622
rel_gh_p12_turn_1vavg,1.0,0.5574143386373841,0.5574143386373841,0.046210641419594176,0.0005102352581729332
b1_vh_p12_turn,1.0,0.5573472916850047,0.5573472916850047,0.5371091825152949,0.49515497165359673
b1_gh_p2_overall,1.0,0.5572664115939074,0.5572664115939074,0.5426317843827301,0.4942569440097628
b1_vh_p12_display,1.0,0.5568033587994186,0.5568033587994186,0.5302416742795448,0.47764639983705065
rel_gh_p12_overall_1v3,1.0,0.5545862843148218,0.5545862843148218,0.04136430336292943,-0.010158702291347237
b1_vh_p2_overall,1.0,0.5544943072637748,0.5544943072637748,0.5419375892889569,0.4971243964898365
b1_gh_p2_turn,1.0,0.5542263985698659,0.5542263985698659,0.546673172217147,0.49613164952303357
rel_gh_p12_display_1vbest,1.0,0.5540831615144167,0.5540831615144167,-0.2587525952993937,-0.3185626506433106
rel_vh_p12_turn_1vavg,1.0,0.553817012094646,0.553817012094646,0.04504437615923373,0.0020980412126150004
b2_meet_win,1.0,0.44627674960468566,0.5537232503953143,0.13140982014414454,0.18302707324247197
rel_gh_p12_overall_1v2,1.0,0.5526583524555014,0.5526583524555014,0.03536639065863324,-0.014208741652554412
