grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,final_odds_races,final_odds_coverage_pct,avg_final_composite_odds,median_final_composite_odds
A,3まくり差し,3,53,23,43.39622641509434,8,15.09433962264151,34.78260869565217,54.15094339622642,1076.25,53,100.0,7.52432787022945,5.805288630616448
A,3まくり差し,4,53,23,43.39622641509434,8,15.09433962264151,34.78260869565217,40.613207547169814,1076.25,53,100.0,5.670371599124892,4.715125543133611
A,3まくり差し,5,53,23,43.39622641509434,11,20.754716981132077,47.82608695652174,53.20754716981132,1281.8181818181818,53,100.0,4.690481931994193,3.94030978166876
A,3まくり差し,6,53,23,43.39622641509434,13,24.528301886792452,56.52173913043478,53.83647798742138,1316.923076923077,53,100.0,4.148176160224908,3.6657085063048904
A,3まくり差し,7,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,83.77358490566037,2072,53,100.0,3.728000850815748,3.253083953841077
A,3まくり差し,8,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,73.30188679245283,2072,53,100.0,3.367882291727134,2.9781216669758797
A,3まくり差し,9,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,65.15723270440252,2072,53,100.0,3.0255123236306045,2.808534374440216
A,3まくり差し,10,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,58.64150943396226,2072,53,100.0,2.841701588645942,2.6765194138085775
A,3まくり差し,11,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,53.310463121783876,2072,53,100.0,2.679041453644874,2.5037240267747887
A,3まくり差し,12,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,48.867924528301884,2072,53,100.0,2.5802168329179365,2.4817949834020157
A,3まくり差し,13,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,45.1088534107402,2072,53,100.0,2.4078887749310076,2.321408608396852
A,3まくり差し,14,53,23,43.39622641509434,15,28.30188679245283,65.21739130434783,41.886792452830186,2072,53,100.0,2.308602561886422,2.158120213439493
A,3まくり差し,15,53,23,43.39622641509434,17,32.075471698113205,73.91304347826087,45.081761006289305,2108.235294117647,53,100.0,2.2226588295405696,2.067960470181076
A,3まくり差し,16,53,23,43.39622641509434,19,35.84905660377358,82.6086956521739,51.485849056603776,2297.8947368421054,53,100.0,2.1464380435894137,2.0589908929755185
A,3まくり差し,17,53,23,43.39622641509434,20,37.735849056603776,86.95652173913044,53.69589345172031,2419,53,100.0,2.085358070156214,1.9289512429138036
A,3まくり差し,18,53,23,43.39622641509434,22,41.509433962264154,95.65217391304348,56.299790356394126,2441.3636363636365,53,100.0,2.0288408014441055,1.8832942238871662
A,3まくり差し,19,53,23,43.39622641509434,22,41.509433962264154,95.65217391304348,53.336643495531284,2441.3636363636365,53,100.0,1.9915792332927846,1.8484476691477896
A,3まくり差し,20,53,23,43.39622641509434,23,43.39622641509434,100.0,64.24528301886792,2960.8695652173915,53,100.0,1.9526809611019564,1.773464741290525
A,4カドまくり,1,528,148,28.03030303030303,17,3.2196969696969697,11.486486486486486,50.928030303030305,1581.764705882353,524,99.24242424242425,25.520992366412212,20.25
A,4カドまくり,2,528,148,28.03030303030303,32,6.0606060606060606,21.62162162162162,52.24431818181818,1724.0625,524,99.24242424242425,13.927377524534705,10.980129234124739
A,4カドまくり,3,528,148,28.03030303030303,55,10.416666666666666,37.16216216216216,66.16161616161617,1905.4545454545455,524,99.24242424242425,9.417599853126726,7.706926092539458
