grade,model,tickets_n,candidate_races,head_hits,head_rate_pct,ticket_hits,overall_hit_rate_pct,coverage_given_head_pct,equal_stake_roi_pct,avg_hit_payout_yen,odds_races,odds_coverage_pct,avg_composite_odds,median_composite_odds,avg_odds_lead_min
S,3まくり,1,301,121,40.199335548172755,20,6.644518272425249,16.52892561983471,106.61129568106313,1604.5,44,14.617940199335548,19.62727272727273,15.9,9.203713449621212
S,3まくり,2,301,121,40.199335548172755,36,11.960132890365449,29.75206611570248,90.68106312292359,1516.388888888889,44,14.617940199335548,10.829845236507078,9.520969308469308,9.203713449621212
S,3まくり,3,301,121,40.199335548172755,49,16.27906976744186,40.49586776859504,85.5703211517165,1576.938775510204,44,14.617940199335548,7.024459561993278,6.110455592628192,9.203713449621212
S,3まくり,4,301,121,40.199335548172755,54,17.940199335548172,44.62809917355372,75.9468438538206,1693.3333333333333,44,14.617940199335548,5.91593764184683,4.976895583673218,9.203713449621212
S,3まくり,5,301,121,40.199335548172755,62,20.59800664451827,51.239669421487605,69.51495016611295,1687.4193548387098,44,14.617940199335548,5.019739366407678,4.279825405557969,9.203713449621212
S,3まくり,6,301,121,40.199335548172755,72,23.920265780730897,59.50413223140496,70.73643410852713,1774.3055555555557,44,14.617940199335548,4.37258559648766,3.7864612734715704,9.203713449621212
S,3まくり,7,301,121,40.199335548172755,82,27.242524916943523,67.76859504132231,83.87280493592786,2155.121951219512,44,14.617940199335548,4.051118446622194,3.3130433080739925,9.203713449621212
S,3まくり,8,301,121,40.199335548172755,86,28.571428571428573,71.07438016528926,77.0390365448505,2157.093023255814,44,14.617940199335548,3.7368478738805346,3.034378153791914,9.203713449621212
S,3まくり,9,301,121,40.199335548172755,93,30.897009966777407,76.85950413223141,80.265780730897,2338.064516129032,44,14.617940199335548,3.499763087051897,2.910586703495036,9.203713449621212
S,3まくり,10,301,121,40.199335548172755,96,31.893687707641195,79.33884297520662,74.10631229235881,2323.5416666666665,44,14.617940199335548,3.301393046966108,2.7600948129561695,9.203713449621212
S,3まくり,11,301,121,40.199335548172755,100,33.222591362126245,82.64462809917356,76.7109634551495,2539.9,44,14.617940199335548,3.1791334847912864,2.6329662069690496,9.203713449621212
S,3まくり,12,301,121,40.199335548172755,102,33.88704318936877,84.29752066115702,72.22591362126246,2557.6470588235293,44,14.617940199335548,3.050562342956425,2.5517094372095266,9.203713449621212
