target,maxn,floor,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct,avg_n,avg_comp_odds,min_month_R,min_month_roi_pct
5.5,8,6.0,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541,0,0.0
5.5,8,6.5,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319,0,0.0
5.5,8,7.0,0,0.0,0.0,,,,,,0,
5.5,8,7.5,0,0.0,0.0,,,,,,0,
5.5,8,8.0,0,0.0,0.0,,,,,,0,
5.5,10,3.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,10,3.5,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,10,4.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,10,4.5,27,158950.0,-111050.0,58.870370370370374,33.33333333333333,11.11111111111111,3.5555555555555554,5.382653546809973,6,0.0
5.5,10,5.0,24,158950.0,-81050.0,66.22916666666667,29.166666666666668,12.5,3.5833333333333335,5.467118453251906,5,0.0
5.5,10,5.5,6,0.0,-60000.0,0.0,33.33333333333333,0.0,3.1666666666666665,6.034978569508578,1,0.0
5.5,10,6.0,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541,0,0.0
5.5,10,6.5,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319,0,0.0
5.5,10,7.0,0,0.0,0.0,,,,,,0,
5.5,10,7.5,0,0.0,0.0,,,,,,0,
5.5,10,8.0,0,0.0,0.0,,,,,,0,
5.5,12,3.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,12,3.5,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,12,4.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,12,4.5,27,158950.0,-111050.0,58.870370370370374,33.33333333333333,11.11111111111111,3.5555555555555554,5.382653546809973,6,0.0
5.5,12,5.0,24,158950.0,-81050.0,66.22916666666667,29.166666666666668,12.5,3.5833333333333335,5.467118453251906,5,0.0
5.5,12,5.5,6,0.0,-60000.0,0.0,33.33333333333333,0.0,3.1666666666666665,6.034978569508578,1,0.0
5.5,12,6.0,2,0.0,-20000.0,0.0,50.0,0.0,3.0,6.479983824696541,0,0.0
5.5,12,6.5,1,0.0,-10000.0,0.0,0.0,0.0,2.0,6.596415770609319,0,0.0
5.5,12,7.0,0,0.0,0.0,,,,,,0,
5.5,12,7.5,0,0.0,0.0,,,,,,0,
5.5,12,8.0,0,0.0,0.0,,,,,,0,
5.5,16,3.0,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
5.5,16,3.5,29,158950.0,-131050.0,54.810344827586206,31.03448275862069,10.344827586206897,3.4827586206896552,5.306399071484229,6,0.0
