date,month,race_code,p109,lead_min,min_preclose_odds_top7,replaced,removed_ticket,added_ticket,baseline_hit,replacement_hit,baseline_preclose_comp,replacement_preclose_comp,baseline_final_comp,replacement_final_comp
2026-07-19,2026-07,202607191903,0.32349347,9.593890083333333,17.1,0,,,1,1,5.40865215751513,5.40865215751513,,
2026-07-19,2026-07,202607191904,0.34119518,9.55205615,14.4,0,,,0,0,5.141384681696926,5.141384681696926,1.1551866711420504,1.1551866711420504
2026-07-19,2026-07,202607191905,0.81054127,8.613762016666668,5.6,0,,,0,0,1.7293746061545368,1.7293746061545368,1.5579341939611862,1.5579341939611862
2026-07-19,2026-07,202607191906,0.33505237,9.63733565,16.0,0,,,0,0,4.891857922320808,4.891857922320808,,
2026-07-19,2026-07,202607191907,0.26315406,8.647198150000001,31.1,0,,,0,0,8.101559039112434,8.101559039112434,,
2026-07-19,2026-07,202607191908,0.85563753,9.60639115,4.5,0,,,1,1,1.381043139290813,1.381043139290813,0.7695001350474088,0.7695001350474088
2026-07-19,2026-07,202607191909,0.61554342,9.607953366666667,8.4,0,,,1,1,2.2457261422704047,2.2457261422704047,,
2026-07-19,2026-07,202607191910,0.74976752,9.613245066666668,6.2,0,,,0,0,2.1408576031793936,2.1408576031793936,1.9348545721017105,1.9348545721017105
2026-07-19,2026-07,202607191911,0.74975592,8.6787816,5.1,0,,,1,1,2.1549498966953453,2.1549498966953453,1.0401745672322442,1.0401745672322442
2026-07-19,2026-07,202607191912,0.75741349,8.574079533333332,5.8,0,,,0,0,1.9567255968005743,1.9567255968005743,1.0082171397148783,1.0082171397148783
2026-07-19,2026-07,202607192001,0.48965979,9.614006733333333,16.0,0,,,0,0,4.569024785164314,4.569024785164314,,
2026-07-19,2026-07,202607192002,0.59548995,9.675492366666667,3.8,0,,,0,0,1.7021512228575042,1.7021512228575042,,
2026-07-19,2026-07,202607192003,0.39970499,8.668344033333334,13.4,0,,,1,1,3.3114943029944013,3.3114943029944013,,
2026-07-19,2026-07,202607192004,0.88627421,9.642465966666666,5.4,0,,,1,1,1.60076689276222,1.60076689276222,0.8801519631157679,0.8801519631157679
2026-07-19,2026-07,202607192005,0.53158474,8.624758833333335,4.8,0,,,1,1,2.4039847673690415,2.4039847673690415,2.1004711079698035,2.1004711079698035
2026-07-19,2026-07,202607192006,0.36274517,9.582949866666667,23.1,0,,,0,0,5.285479628832464,5.285479628832464,,
2026-07-19,2026-07,202607192007,0.90033615,8.660163933333333,4.3,0,,,1,1,1.3450424486180375,1.3450424486180375,1.1235026552242868,1.1235026552242868
2026-07-19,2026-07,202607192008,0.409001,9.616170066666665,4.3,0,,,0,0,2.260101348020178,2.260101348020178,,
2026-07-19,2026-07,202607192009,0.8005618,9.576642783333334,8.1,0,,,1,1,2.4212136508020112,2.4212136508020112,0.8164444792783047,0.8164444792783047
2026-07-19,2026-07,202607192010,0.89292849,9.624836533333333,8.5,0,,,0,0,1.7939073800751175,1.7939073800751175,1.194754895742144,1.194754895742144
2026-07-19,2026-07,202607192011,0.80335863,8.5645637,8.9,0,,,1,1,1.906351444518186,1.906351444518186,0.8455779073893517,0.8455779073893517
2026-07-19,2026-07,202607192012,0.87226111,8.595786333333333,5.6,0,,,1,1,1.3895401057827481,1.3895401057827481,1.174018372877189,1.174018372877189
2026-07-19,2026-07,202607192207,0.3189125,8.570664866666668,11.1,0,,,0,0,3.147798048741115,3.147798048741115,,
2026-07-19,2026-07,202607192208,0.76638786,9.566359716666666,13.2,0,,,0,0,2.477189301617979,2.477189301617979,2.4828193884928367,2.4828193884928367
2026-07-19,2026-07,202607192210,0.74645316,8.571005033333334,7.1,0,,,1,1,2.1112157381466763,2.1112157381466763,2.0786416577393414,2.0786416577393414
2026-07-19,2026-07,202607192211,0.79070353,9.641875966666667,11.6,0,,,0,0,2.6645689486336135,2.6645689486336135,2.378186304378512,2.378186304378512
2026-07-19,2026-07,202607192212,0.68884622,9.654311583333334,6.9,0,,,0,0,2.3295863206905083,2.3295863206905083,2.317622834534353,2.317622834534353
2026-07-20,2026-07,202607200201,0.4428183,8.662028783333334,14.8,0,,,0,0,4.72519105021078,4.72519105021078,,
2026-07-20,2026-07,202607200202,0.36686607,9.609077366666666,13.4,0,,,0,0,2.993824522197858,2.993824522197858,,
2026-07-20,2026-07,202607200203,0.62222409,8.648608016666666,9.9,0,,,1,1,2.3533500327680095,2.3533500327680095,,
2026-07-20,2026-07,202607200204,0.34993922,9.653825916666667,25.2,0,,,0,0,6.320940187459615,6.320940187459615,,
2026-07-20,2026-07,202607200205,0.49392286,9.644692283333335,7.1,0,,,0,0,2.0060320410691728,2.0060320410691728,,
2026-07-20,2026-07,202607200206,0.30463094,9.549095116666667,10.5,0,,,0,0,2.950359134754312,2.950359134754312,,
2026-07-20,2026-07,202607200207,0.40230579,8.64630805,12.9,0,,,0,0,2.9324356290249356,2.9324356290249356,,
2026-07-20,2026-07,202607200208,0.28916731,9.673962716666667,21.5,0,,,0,0,4.805200747016147,4.805200747016147,,
2026-07-20,2026-07,202607200209,0.39519223,9.680898233333332,16.5,0,,,0,0,3.4378432760966917,3.4378432760966917,,
2026-07-20,2026-07,202607200210,0.34255619,8.6036082,17.9,0,,,0,0,4.69753612692503,4.69753612692503,,
2026-07-20,2026-07,202607200211,0.57124,8.643706783333332,8.4,0,,,1,1,2.337051619691268,2.337051619691268,,
2026-07-20,2026-07,202607200212,0.61245234,9.509858166666668,16.4,0,,,0,0,3.9640119192146672,3.9640119192146672,,
2026-07-20,2026-07,202607200401,0.42964418,8.644095833333333,10.8,0,,,0,0,3.329712998513213,3.329712998513213,,
2026-07-20,2026-07,202607200402,0.88372619,9.5406041,16.4,0,,,1,1,3.540924359418839,3.540924359418839,1.558746229116144,1.558746229116144
2026-07-20,2026-07,202607200403,0.11406749,9.609112916666668,64.0,0,,,0,0,14.482506838374244,14.482506838374244,,
2026-07-20,2026-07,202607200404,0.33655881,8.53240475,13.2,0,,,0,0,2.5467525752928433,2.5467525752928433,,
2026-07-20,2026-07,202607200405,0.2602601,8.660364516666668,35.5,0,,,1,1,8.74493337487417,8.74493337487417,,
2026-07-20,2026-07,202607200406,0.51207037,9.55004865,8.9,0,,,1,1,3.0075045376553025,3.0075045376553025,,
2026-07-20,2026-07,202607200407,0.35229914,9.589220466666665,8.9,0,,,0,0,2.9656822353651813,2.9656822353651813,,
2026-07-20,2026-07,202607200408,0.47567324,9.635114916666668,13.4,0,,,0,0,3.554029039119313,3.554029039119313,,
2026-07-20,2026-07,202607200410,0.4148514,8.62513505,16.6,0,,,0,0,4.135545873074094,4.135545873074094,,
2026-07-20,2026-07,202607200412,0.85445453,9.5637567,7.2,0,,,1,1,1.9714750580779805,1.9714750580779805,1.6557884861408125,1.6557884861408125
2026-07-20,2026-07,202607200501,0.38576371,8.5870143,17.9,0,,,0,0,4.442539751474913,4.442539751474913,,
2026-07-20,2026-07,202607200502,0.33451358,8.593366816666666,24.0,0,,,1,1,5.606636522430174,5.606636522430174,,
2026-07-20,2026-07,202607200503,0.3855091,8.640004800000002,21.6,0,,,0,0,5.311076416160107,5.311076416160107,,
2026-07-20,2026-07,202607200504,0.34206097,8.572015616666667,12.4,0,,,0,0,4.454430453313193,4.454430453313193,,
2026-07-20,2026-07,202607200506,0.34837537,9.614679633333333,23.6,0,,,1,1,6.558554908622996,6.558554908622996,,
2026-07-20,2026-07,202607200507,0.39069,8.515995016666666,12.7,0,,,1,1,3.835332529861941,3.835332529861941,,
2026-07-20,2026-07,202607200508,0.6479524,8.562127333333333,5.3,0,,,0,0,2.041885171605242,2.041885171605242,,
2026-07-20,2026-07,202607200509,0.72286279,9.550769166666667,10.7,0,,,0,0,3.3528147147288085,3.3528147147288085,1.0017751166277076,1.0017751166277076
2026-07-20,2026-07,202607200510,0.82654882,9.5284912,5.5,0,,,0,0,1.4522777786960532,1.4522777786960532,1.3690075446801921,1.3690075446801921
2026-07-20,2026-07,202607200511,0.80994692,9.608276633333332,8.9,0,,,1,1,1.7498728812756805,1.7498728812756805,1.396039366659996,1.396039366659996
2026-07-20,2026-07,202607200901,0.48333133,8.594122716666668,27.3,0,,,0,0,6.559517163307279,6.559517163307279,,
2026-07-20,2026-07,202607200902,0.41867098,9.563791566666668,16.1,0,,,0,0,4.6538934521083295,4.6538934521083295,,
2026-07-20,2026-07,202607200903,0.28545194,9.6704402,20.1,0,,,0,0,5.777989244924856,5.777989244924856,,
2026-07-20,2026-07,202607200904,0.55061559,9.578662083333334,13.8,0,,,0,0,3.399595929016546,3.399595929016546,,
2026-07-20,2026-07,202607200905,0.63715933,9.5790456,8.3,0,,,0,0,2.6654901852483923,2.6654901852483923,,
2026-07-20,2026-07,202607200906,0.39734802,8.452495916666667,47.4,0,,,0,0,9.181920453751532,9.181920453751532,,
2026-07-20,2026-07,202607200908,0.53900692,9.572294566666667,17.6,0,,,0,0,3.9194164425345615,3.9194164425345615,,
2026-07-20,2026-07,202607200909,0.58899923,9.5564489,10.0,0,,,0,0,2.9091983111669357,2.9091983111669357,,
2026-07-20,2026-07,202607200911,0.76081354,8.567785833333334,9.7,0,,,1,1,2.4031775337449055,2.4031775337449055,2.3769001811445793,2.3769001811445793
2026-07-20,2026-07,202607200912,0.78212211,8.565107866666667,11.8,0,,,1,1,2.495758106330455,2.495758106330455,1.2283380587723802,1.2283380587723802
2026-07-20,2026-07,202607201001,0.86945865,9.63467825,5.9,0,,,1,1,1.9666891025342128,1.9666891025342128,1.7727120331159332,1.7727120331159332
2026-07-20,2026-07,202607201002,0.61687485,9.601704883333333,6.9,0,,,0,0,2.2855667255996557,2.2855667255996557,,
2026-07-20,2026-07,202607201003,0.6900886,9.581594733333333,6.9,0,,,0,0,2.025148466397578,2.025148466397578,,
2026-07-20,2026-07,202607201004,0.64362607,9.5526655,16.7,0,,,0,0,3.4676176180978144,3.4676176180978144,,
2026-07-20,2026-07,202607201005,0.44226421,9.574719316666666,12.5,0,,,0,0,2.9829511894017364,2.9829511894017364,,
2026-07-20,2026-07,202607201006,0.46193877,9.519423883333333,23.2,0,,,0,0,7.300022354678327,7.300022354678327,,
2026-07-20,2026-07,202607201007,0.4710594,8.5915358,12.5,0,,,1,1,3.430030308463859,3.430030308463859,,
2026-07-20,2026-07,202607201008,0.30376999,9.599330383333333,20.6,0,,,0,0,4.608656152625796,4.608656152625796,,
2026-07-20,2026-07,202607201009,0.14585845,8.628296166666667,30.0,0,,,0,0,6.241823508716411,6.241823508716411,,
2026-07-20,2026-07,202607201010,0.35564904,9.564411583333333,25.6,0,,,0,0,6.2323628615413424,6.2323628615413424,,
2026-07-20,2026-07,202607201011,0.50218145,9.549606899999999,13.4,0,,,1,1,3.200082954404087,3.200082954404087,,
2026-07-20,2026-07,202607201012,0.68127813,9.54171845,8.0,0,,,1,1,1.9945603692736926,1.9945603692736926,0.8572333224112828,0.8572333224112828
2026-07-20,2026-07,202607201101,0.47270616,9.550047383333332,11.8,0,,,1,1,2.762477095897694,2.762477095897694,,
2026-07-20,2026-07,202607201102,0.64017488,9.631203116666667,11.8,0,,,0,0,2.215317063411376,2.215317063411376,,
2026-07-20,2026-07,202607201103,0.76960114,9.525261983333333,13.7,0,,,0,0,3.5063713983008555,3.5063713983008555,3.2540346489160212,3.2540346489160212
2026-07-20,2026-07,202607201104,0.39309429,9.591878783333334,10.8,0,,,0,0,2.554254968737287,2.554254968737287,,
2026-07-20,2026-07,202607201105,0.45432274,8.583771566666666,13.1,0,,,0,0,2.675444282711086,2.675444282711086,,
2026-07-20,2026-07,202607201106,0.44995716,8.654442566666667,12.6,0,,,1,1,3.9796715168112566,3.9796715168112566,,
2026-07-20,2026-07,202607201107,0.37095728,9.594150666666668,12.8,0,,,0,0,3.13943236086196,3.13943236086196,,
2026-07-20,2026-07,202607201108,0.40288873,9.574962483333334,10.9,0,,,1,1,2.66952499889865,2.66952499889865,,
2026-07-20,2026-07,202607201109,0.60815084,9.561601516666666,9.5,0,,,0,0,2.1275439222761117,2.1275439222761117,,
2026-07-20,2026-07,202607201110,0.74000852,8.489589983333333,3.1,0,,,0,0,1.5230942395742881,1.5230942395742881,0.8836605078478009,0.8836605078478009
2026-07-20,2026-07,202607201111,0.54966966,8.570076166666666,7.3,0,,,1,1,2.159900200511592,2.159900200511592,,
2026-07-20,2026-07,202607201112,0.74278698,9.643697483333334,6.7,0,,,0,0,1.377734690902398,1.377734690902398,0.8228405657848841,0.8228405657848841
2026-07-20,2026-07,202607201201,0.55584903,8.577621583333332,8.6,0,,,1,1,2.951750375442676,2.951750375442676,,
2026-07-20,2026-07,202607201202,0.27347217,8.526488083333334,26.0,0,,,0,0,5.509220158147251,5.509220158147251,,
2026-07-20,2026-07,202607201203,0.22882542,8.612740016666667,27.8,0,,,0,0,6.0253440243509155,6.0253440243509155,,
2026-07-20,2026-07,202607201204,0.27011485,9.529497183333332,9.3,0,,,0,0,2.8115093650284164,2.8115093650284164,,
2026-07-20,2026-07,202607201205,0.72671583,9.679481966666666,14.4,0,,,0,0,4.284394751182617,4.284394751182617,1.3741288923072117,1.3741288923072117
2026-07-20,2026-07,202607201206,0.23125912,8.58309395,16.9,0,,,0,0,3.2697305123691724,3.2697305123691724,,
2026-07-20,2026-07,202607201207,0.65446108,9.69624755,10.0,0,,,0,0,2.890236004345795,2.890236004345795,1.0910802307400025,1.0910802307400025
2026-07-20,2026-07,202607201208,0.66231035,8.498705016666667,8.1,0,,,1,1,2.4264603468332036,2.4264603468332036,2.1278461080735593,2.1278461080735593
2026-07-20,2026-07,202607201209,0.49196034,8.700383816666665,9.6,0,,,1,1,2.9213841028721292,2.9213841028721292,,
2026-07-20,2026-07,202607201210,0.64331818,8.65595005,10.0,0,,,0,0,3.1978249311587086,3.1978249311587086,,
