1ブロック力,1ブロック成功指数,1対3圧力,2壁中間適合,2壁弱さ,2壁強さ,3スタート先行度,3伸び,3旋回足,3脅威度,STゾーン,ST接近度,bet_hit,date,head_hit,model,prob,race,race_code,return,score,venue,zone,まくり差し指数,まくり差し指数v28,まくり差し指数v29,中間ST適合,差し場生成指数,直まくり指数,直まくり指数v28,直まくり指数v29
0.761,0.691,0.914,0.942,0.58,0.42,0.575,0.223,0.57,0.643,中間先行,0.767,0,2026-08-15,0,3まくり差しv29,0.0461,08R,202608152208,0,79.15,22,中間先行,0.76,0.593,0.792,0.97,0.752,0.584,0.493,0.551
0.29,0.218,0.0,0.712,0.658,0.342,1.0,0.252,0.486,0.692,大幅先行,0.0,0,2026-08-15,0,3直まくりv29,0.0828,05R,202608152405,0,79.27,24,大幅先行,0.389,0.222,0.31,0.0,0.278,0.752,0.772,0.793
0.795,0.746,0.548,0.964,0.548,0.452,0.523,0.372,0.485,0.544,中間先行,0.928,0,2026-08-15,0,3まくり差しv29,0.0718,07R,202608152407,0,60.36,24,中間先行,0.618,0.426,0.604,0.683,0.599,0.526,0.43,0.503
0.736,0.432,0.127,1.0,0.56,0.44,0.891,0.68,0.8,0.575,大幅先行,0.0,1,2026-08-16,0,3直まくりv29,0.0923,02R,202608160102,18750,70.28,01,大幅先行,0.474,0.272,0.401,0.0,0.365,0.672,0.677,0.703
0.988,0.792,0.463,1.0,0.56,0.44,0.574,0.76,1.0,0.52,中間先行,0.77,0,2026-08-16,0,3まくり差しv29,0.0457,07R,202608160107,0,76.17,01,中間先行,0.679,0.497,0.762,0.965,0.689,0.54,0.463,0.532
0.741,0.589,0.866,0.748,0.646,0.354,0.65,0.432,0.485,0.687,中間先行,0.531,0,2026-08-16,0,3まくり差しv29,0.0635,03R,202608160403,0,65.69,04,中間先行,0.723,0.565,0.657,0.611,0.689,0.644,0.583,0.624
0.532,0.612,0.6,0.456,0.375,0.625,0.616,0.533,0.97,0.889,中間先行,0.638,0,2026-08-16,0,3まくり差しv29,0.0441,06R,202608160506,0,73.78,05,中間先行,0.747,0.588,0.738,0.801,0.655,0.611,0.56,0.602
0.842,0.743,1.0,0.959,0.546,0.454,0.56,0.783,0.705,0.735,中間先行,0.814,0,2026-08-16,0,3まくり差しv29,0.0461,08R,202608160708,0,82.55,07,中間先行,0.819,0.643,0.825,0.887,0.811,0.62,0.538,0.592
0.72,0.705,0.263,1.0,0.56,0.44,0.533,0.494,0.59,0.608,中間先行,0.898,0,2026-08-16,0,3まくり差しv29,0.0691,03R,202608160903,0,59.13,09,中間先行,0.563,0.381,0.591,0.736,0.534,0.525,0.449,0.518
0.78,0.652,1.0,0.676,0.45,0.55,0.657,0.877,0.895,0.7,中間先行,0.508,0,2026-08-16,0,3まくり差しv29,0.0446,02R,202608161702,0,74.24,17,中間先行,0.776,0.626,0.742,0.569,0.769,0.591,0.555,0.601
0.83,0.683,0.623,0.564,0.412,0.588,0.659,0.811,0.62,0.625,中間先行,0.504,0,2026-08-16,0,3まくり差しv29,0.0668,12R,202608161712,0,58.08,17,中間先行,0.606,0.423,0.581,0.562,0.57,0.542,0.507,0.561
0.896,0.79,0.376,0.892,0.523,0.477,0.532,1.0,1.0,0.7,中間先行,0.898,0,2026-08-16,0,3まくり差しv29,0.0403,05R,202608161805,0,69.33,18,中間先行,0.71,0.511,0.693,0.736,0.654,0.614,0.527,0.587
0.632,0.581,0.567,0.676,0.45,0.55,0.666,0.94,1.0,0.748,中間先行,0.48,0,2026-08-16,0,3まくり差しv29,0.0596,08R,202608161808,0,66.54,18,中間先行,0.704,0.556,0.665,0.521,0.64,0.634,0.608,0.642
0.699,0.403,0.159,0.856,0.609,0.391,0.882,0.334,0.124,0.62,大幅先行,0.0,1,2026-08-17,0,3直まくりv29,0.0798,07R,202608170507,16080,65.67,05,大幅先行,0.349,0.131,0.268,0.0,0.24,0.612,0.617,0.657
0.767,0.635,0.57,0.784,0.487,0.513,0.659,0.449,0.581,0.496,中間先行,0.504,0,2026-08-17,0,3まくり差しv29,0.0662,09R,202608170509,0,57.09,05,中間先行,0.578,0.413,0.571,0.562,0.563,0.525,0.48,0.537
0.682,0.416,0.0,0.928,0.536,0.464,1.0,0.172,0.286,0.715,大幅先行,0.0,0,2026-08-17,0,3直まくりv29,0.0944,03R,202608171503,0,73.86,15,大幅先行,0.363,0.115,0.283,0.0,0.202,0.722,0.718,0.739
0.628,0.616,0.8,0.456,0.375,0.625,0.651,0.81,0.9,0.85,中間先行,0.527,1,2026-08-17,0,3まくり差しv29,0.0373,05R,202608171805,16080,70.74,18,中間先行,0.748,0.593,0.707,0.604,0.687,0.604,0.572,0.614
0.343,0.316,0.085,0.784,0.633,0.367,0.756,0.671,0.419,0.83,大幅先行,0.199,0,2026-08-18,0,3直まくりv29,0.0933,01R,202608180501,0,74.53,05,大幅先行,0.501,0.352,0.345,0.021,0.342,0.734,0.731,0.745
0.79,0.509,0.682,0.681,0.668,0.332,0.742,0.617,0.695,0.648,大幅先行,0.245,0,2026-08-18,0,3直まくりv29,0.0769,06R,202608180506,0,63.21,05,大幅先行,0.637,0.496,0.509,0.102,0.624,0.605,0.59,0.632
0.256,0.161,0.199,0.0,0.927,0.073,0.792,0.471,0.219,0.612,大幅先行,0.087,0,2026-08-18,0,3直まくりv29,0.0937,01R,202608181101,0,74.39,11,大幅先行,0.439,0.343,0.23,0.0,0.391,0.704,0.721,0.744
0.726,0.409,0.312,0.712,0.658,0.342,0.816,0.615,0.591,0.716,大幅先行,0.012,0,2026-08-18,1,3直まくりv29,0.0921,03R,202608181103,0,69.82,11,大幅先行,0.535,0.353,0.394,0.0,0.427,0.674,0.668,0.698
0.43,0.318,0.179,0.851,0.509,0.491,0.876,0.436,0.624,0.695,大幅先行,0.0,0,2026-08-18,0,3直まくりv29,0.0901,01R,202608181301,0,68.81,13,大幅先行,0.45,0.276,0.382,0.0,0.331,0.637,0.657,0.688
0.699,0.369,0.0,0.497,0.731,0.269,0.966,0.24,0.665,0.906,大幅先行,0.0,0,2026-08-18,1,3直まくりv29,0.0812,07R,202608181507,0,79.8,15,大幅先行,0.504,0.285,0.346,0.0,0.336,0.795,0.782,0.798
0.578,0.38,0.617,0.82,0.621,0.379,0.794,0.757,0.23,0.712,大幅先行,0.082,0,2026-08-18,0,3直まくりv29,0.0942,08R,202608181608,0,72.26,16,大幅先行,0.556,0.387,0.401,0.0,0.456,0.704,0.701,0.723
