month,race_code,p3head,lambda,N,hit,comp,return_yen,zero_stake,actual,tickets,pair_train,odds_source
2026-07,202607010611,0.3307714655710962,0.25,6,1,2.5485990508212057,24440.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,7,1,2.4528659448659673,24440.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4;3-5-2,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,8,1,2.3849229000047294,24440.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4;3-5-2;3-2-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,9,1,2.283688317035025,22560.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4;3-5-2;3-2-5;3-5-6,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,10,1,2.2233852421910836,22560.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4;3-5-2;3-2-5;3-5-6;3-6-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,11,1,2.083437105813471,20680.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4;3-5-2;3-2-5;3-5-6;3-6-1;3-4-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.25,12,1,1.9553299672039801,18800.0,0,3-1-2,3-1-5;3-5-1;3-1-2;3-1-6;3-2-1;3-1-4;3-5-2;3-2-5;3-5-6;3-6-1;3-4-1;3-5-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,5,1,2.6460517229233185,26320.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,6,1,2.5485990508212057,24440.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,7,1,2.475328213025754,24440.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1;3-2-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,8,1,2.3849229000047294,24440.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1;3-2-5;3-5-2,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,9,1,2.283688317035025,22560.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1;3-2-5;3-5-2;3-5-6,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,10,1,2.1362974548209395,20680.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1;3-2-5;3-5-2;3-5-6;3-4-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,11,1,2.0834371058134713,20680.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1;3-2-5;3-5-2;3-5-6;3-4-1;3-6-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.5,12,1,1.9553299672039801,18800.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-6;3-1-4;3-2-1;3-2-5;3-5-2;3-5-6;3-4-1;3-6-1;3-5-4,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,5,1,2.6460517229233185,26320.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,6,1,2.5485990508212057,24440.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,7,1,2.475328213025754,24440.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1;3-2-5,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,8,1,2.3849229000047294,24440.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1;3-2-5;3-5-2,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,9,1,2.224633493289794,22560.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1;3-2-5;3-5-2;3-4-1,4286,official_closing
2026-07,202607010611,0.3307714655710962,0.75,10,1,2.136297454820939,20680.0,0,3-1-2,3-1-5;3-1-2;3-5-1;3-1-4;3-1-6;3-2-1;3-2-5;3-5-2;3-4-1;3-5-6,4286,official_closing
