scope,family,param,floor,month,R,return_yen,profit_yen,roi_pct,base_R,base_return_yen,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct
S+A,FIXED,3,12.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,12.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,13.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,13.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,13.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,13.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,13.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,13.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,14.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,14.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,14.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,14.5,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,14.5,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,14.5,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,3,15.0,2026-04,11,577460.0,467460.0,524.9636363636364,11,577460.0,524.9636363636364,0,0.0,0.0,
S+A,FIXED,3,15.0,2026-05,9,160120.0,70120.0,177.9111111111111,9,160120.0,177.9111111111111,0,0.0,0.0,
S+A,FIXED,3,15.0,2026-06,8,133170.0,53170.0,166.4625,8,133170.0,166.4625,0,0.0,0.0,
S+A,FIXED,4,5.0,2026-04,20,577460.0,377460.0,288.73,11,577460.0,524.9636363636364,9,0.0,-90000.0,0.0
S+A,FIXED,4,5.0,2026-05,12,222700.0,102700.0,185.58333333333334,9,160120.0,177.9111111111111,3,62580.0,32580.0,208.6
S+A,FIXED,4,5.0,2026-06,18,191130.0,11130.0,106.18333333333334,8,133170.0,166.4625,10,57960.00000000001,-42039.99999999999,57.96000000000001
S+A,FIXED,4,5.5,2026-04,18,577460.0,397460.0,320.81111111111113,11,577460.0,524.9636363636364,7,0.0,-70000.0,0.0
S+A,FIXED,4,5.5,2026-05,12,222700.0,102700.0,185.58333333333334,9,160120.0,177.9111111111111,3,62580.0,32580.0,208.6
S+A,FIXED,4,5.5,2026-06,15,191130.0,41130.0,127.42,8,133170.0,166.4625,7,57960.00000000001,-12039.999999999993,82.80000000000001
