racer_id,racer_name,n,mean_ex_st,mean_actual_st,mean_delta,median_delta,shrunk_delta,actual_3c_faster_rate,actual_3c_slower_rate,early_n,early_delta,late_n,late_delta
4011,堀之内紀代子,86,0.12534883720930234,0.14500000000000002,0.019651162790697674,0.03,0.0248532832006975,34.883720930232556,53.48837209302326,54,0.031851851851851846,32,-0.0009374999999999974
3686,鳥居塚 孝博,61,0.1418032786885246,0.15934426229508197,0.017540983606557377,0.04999999999999999,0.024872044891083942,34.42622950819672,54.09836065573771,41,0.00024390243902438775,20,0.053000000000000005
4989,石原 翼,77,0.12116883116883118,0.1403896103896104,0.01922077922077922,0.03,0.025010519393873103,29.87012987012987,53.246753246753244,56,0.02660714285714286,21,-0.0004761904761904733
4769,馬場 剛,75,0.09186666666666668,0.11106666666666666,0.019200000000000005,0.009999999999999981,0.025128413967846583,29.333333333333332,42.666666666666664,50,0.022400000000000003,25,0.012799999999999999
3974,深山 祐二,75,0.1424,0.16173333333333334,0.019333333333333334,0.03,0.025246061026670114,29.333333333333332,54.666666666666664,46,0.026086956521739136,29,0.00862068965517241
3388,今垣 光太郎,45,0.1424444444444444,0.15822222222222224,0.015777777777777776,0.02,0.02556209431394473,37.77777777777778,44.44444444444444,37,0.016216216216216217,8,0.013749999999999998
4081,樋口 範政,86,0.15046511627906978,0.17104651162790696,0.020581395348837208,0.02500000000000001,0.02568661653403084,31.3953488372093,50.0,51,0.029803921568627448,35,0.007142857142857138
4253,西川 真人,79,0.1534177215189874,0.17367088607594935,0.020253164556962026,0.020000000000000018,0.02579679985693213,37.9746835443038,49.36708860759494,51,0.012156862745098041,28,0.035
5349,宮崎 奏磨,45,0.17133333333333334,0.18777777777777777,0.016444444444444446,0.03,0.02610754885939927,35.55555555555556,51.111111111111114,36,0.018611111111111116,9,0.00777777777777778
4376,藤田 靖弘,82,0.13195121951219513,0.1528048780487805,0.020853658536585367,0.010000000000000009,0.026151252035510435,31.70731707317073,46.34146341463415,46,0.022826086956521736,36,0.018333333333333333
4988,牟田 奨太,54,0.11796296296296295,0.1361111111111111,0.01814814814814815,0.03,0.02618617480104625,29.62962962962963,51.851851851851855,24,0.03458333333333333,30,0.004999999999999999
5071,野見山 拓己,54,0.11018518518518518,0.12851851851851853,0.018333333333333333,0.0,0.026342424801046246,35.18518518518518,46.2962962962963,38,0.007894736842105262,16,0.04312500000000001
5125,高井 雄基,79,0.1835443037974684,0.20443037974683548,0.02088607594936709,0.039999999999999994,0.026358597609741127,31.645569620253166,54.43037974683544,41,0.019756097560975606,38,0.022105263157894732
4059,入澤 友治,26,0.14500000000000002,0.155,0.010000000000000005,0.03,0.02655319964630444,23.076923076923077,57.69230769230769,26,0.010000000000000005,0,
5279,石渡 翔一郎,71,0.1267605633802817,0.1474647887323944,0.020704225352112676,0.03,0.026739693669962473,30.985915492957748,50.70422535211268,41,0.03195121951219513,30,0.005333333333333337
5158,宮脇 遼太,90,0.11911111111111111,0.14133333333333334,0.022222222222222227,0.009999999999999995,0.026959151872669597,40.0,43.333333333333336,49,0.013673469387755105,41,0.0324390243902439
4457,神田 達也,42,0.14023809523809525,0.15714285714285714,0.016904761904761905,0.015000000000000006,0.027036830524364605,35.714285714285715,45.23809523809524,27,0.04888888888888889,15,-0.04066666666666666
4445,宮地 元輝,69,0.09840579710144928,0.11927536231884059,0.020869565217391303,0.019999999999999997,0.027036901104645062,31.884057971014492,44.927536231884055,41,0.00853658536585366,28,0.03892857142857143
4276,鈴木 勝博,78,0.12730769230769232,0.1491025641025641,0.021794871794871797,0.030000000000000006,0.027226308946215447,30.76923076923077,55.12820512820513,52,0.013269230769230771,26,0.03884615384615385
3968,茶谷 信次,59,0.14610169491525424,0.16644067796610168,0.020338983050847456,0.010000000000000009,0.02747703169952115,37.28813559322034,45.76271186440678,27,0.0025925925925925886,32,0.035312500000000004
5036,福田 翔吾,83,0.10096385542168676,0.12349397590361445,0.02253012048192771,0.03,0.027590485884590964,26.50602409638554,51.80722891566265,45,0.03111111111111111,38,0.012368421052631579
4290,稲田 浩二,84,0.10571428571428572,0.12845238095238096,0.02273809523809523,0.039999999999999994,0.027722501992201703,29.761904761904763,54.76190476190476,53,0.01811320754716981,31,0.030645161290322572
4664,東口 晃,65,0.17153846153846156,0.19307692307692306,0.021538461538461538,0.03,0.02794553583022614,30.76923076923077,50.76923076923077,46,0.020434782608695655,19,0.024210526315789474
