date,race_code,actual,pre143,pred,conf,p_1逃げ,p_3まくり,p_3まくり差し,p_4カド,p_5頭,p_その他
2026-08-01,202608010502,3まくり,1逃げ,1逃げ,0.4520027873169111,45.200278731691114,5.710897059197412,2.2518733309865366,19.658437353049507,10.18611825348371,16.992395271591736
2026-08-01,202608010503,1逃げ,1逃げ,1逃げ,0.6060126696551611,60.60126696551611,3.8072732009011006,1.9563081582937618,7.007558487240454,3.81873625655638,22.808856931492205
2026-08-01,202608010504,1逃げ,1逃げ,その他,0.4249215810795203,37.338788116569724,2.8742010504178026,1.493090969937921,9.255776058573817,6.545985696548715,42.49215810795203
2026-08-01,202608010505,その他,1逃げ,1逃げ,0.7223790275756103,72.23790275756103,3.111701941241786,1.882005011749712,5.829597006167883,8.737034800465288,8.201758482814272
2026-08-01,202608010506,1逃げ,1逃げ,1逃げ,0.5966359233463703,59.66359233463703,11.489463275548589,3.3098346160426693,9.771116701355492,3.614824852824016,12.151168219592194
2026-08-01,202608010507,1逃げ,1逃げ,1逃げ,0.8289735860329589,82.89735860329588,2.387532800766445,1.7751597107225858,6.738669848545581,0.7401204909676493,5.461158545701844
2026-08-01,202608010508,1逃げ,1逃げ,1逃げ,0.7503628451659394,75.03628451659394,1.0297398611533022,1.5152085606792525,6.709498909135214,0.9671985133417971,14.742069639096487
2026-08-01,202608010509,1逃げ,1逃げ,1逃げ,0.6618320508725603,66.18320508725603,2.9961932856974185,1.1183803342494913,4.31934517772878,4.716905394951928,20.66597072011635
2026-08-01,202608010510,1逃げ,1逃げ,1逃げ,0.7152641688490301,71.52641688490301,2.3457100494614256,2.5803230076786416,5.82561834552046,5.731853687899368,11.990078024537091
2026-08-01,202608010511,1逃げ,1逃げ,1逃げ,0.7223834290374164,72.23834290374164,1.069947676188502,1.7759956161270154,10.150650981031786,0.9935080920407957,13.771554730870255
2026-08-01,202608010512,3まくり差し,1逃げ,1逃げ,0.7152917885856342,71.52917885856343,4.610192247601453,6.271470036250777,1.8078924425762126,2.6274451260770695,13.15382128893104
2026-08-01,202608010601,その他,1逃げ,1逃げ,0.4013244052702424,40.13244052702424,3.4036225287942514,27.009951088322527,2.2703521431766043,2.27578852482161,24.907845187860765
2026-08-01,202608010602,1逃げ,1逃げ,1逃げ,0.6425582505542871,64.2558250554287,1.092399508391662,4.054913925323786,7.6353589091317104,12.34204791911762,10.619454682606518
2026-08-01,202608010603,その他,1逃げ,その他,0.3288106718301922,26.564723926350208,3.192166633082996,5.489007674907756,10.200060825060959,21.67297375757886,32.88106718301922
2026-08-01,202608010604,1逃げ,1逃げ,1逃げ,0.8039412530442841,80.39412530442841,1.0571275102908757,2.7237034051623654,3.7445229522099943,2.060294484958037,10.020226342950311
2026-08-01,202608010605,1逃げ,1逃げ,その他,0.5615427996927648,25.44785645856042,2.582898054817467,6.592152638787699,5.006546447879287,4.2162664306786555,56.15427996927648
2026-08-01,202608010606,その他,5頭,1逃げ,0.3384843172825165,33.84843172825165,1.7593236522499434,29.48513777010422,0.31278960586570353,16.710440368199016,17.883876875329463
2026-08-01,202608010607,4カド,5頭,その他,0.4141941823626815,30.26524775417449,4.702788666672294,8.833616856796043,6.34708451734982,8.431843968739207,41.41941823626815
