month,variant,race_code,p,head_hit,fstate_n,neighbor_n
2026-07,CURRENT,202607012203,0.22928733601124274,1,23,6
2026-07,CURRENT,202607012204,0.23340590095802421,0,23,7
2026-07,CURRENT,202607012205,0.33610037626810213,0,32,11
2026-07,CURRENT,202607012206,0.33295369740956027,0,2,9
2026-07,CURRENT,202607012207,0.6133479243197196,1,25,9
2026-07,CURRENT,202607012208,0.8197206527969622,1,36,13
2026-07,CURRENT,202607012209,0.6560302439924168,1,28,5
2026-07,CURRENT,202607012210,0.5927944981152758,1,36,18
2026-07,CURRENT,202607012211,0.7295145018999433,0,36,15
2026-07,CURRENT,202607012212,0.7418496168314711,1,27,16
2026-07,CURRENT,202607012301,0.8184874690363672,0,35,13
2026-07,CURRENT,202607012302,0.7137894992652754,1,19,7
2026-07,CURRENT,202607012303,0.6257824398302692,1,36,16
2026-07,CURRENT,202607012304,0.6426372197847928,1,29,12
2026-07,CURRENT,202607012305,0.8325983324616096,1,35,18
2026-07,CURRENT,202607012306,0.4837918016084892,1,12,10
2026-07,CURRENT,202607012307,0.2394313945245705,0,28,10
2026-07,CURRENT,202607012308,0.3649222583191641,0,20,9
2026-07,CURRENT,202607012309,0.23225584420167175,0,20,5
2026-07,CURRENT,202607012310,0.3706649715691746,0,28,10
2026-07,CURRENT,202607012311,0.2500322881874951,1,28,8
2026-07,CURRENT,202607012312,0.7101991447299014,1,19,7
2026-07,CURRENT,202607012401,0.6648490256609452,1,28,9
2026-07,CURRENT,202607012402,0.5448122441519835,0,20,5
2026-07,CURRENT,202607012403,0.3882005303759643,1,36,17
2026-07,CURRENT,202607012404,0.4851511111210672,1,12,7
2026-07,CURRENT,202607012405,0.8233792693468941,1,23,7
2026-07,CURRENT,202607012406,0.3031183662735816,0,18,6
2026-07,CURRENT,202607012407,0.6356777531678386,1,5,10
2026-07,CURRENT,202607012408,0.7660900790521675,1,4,13
2026-07,CURRENT,202607012409,0.7953557585151209,1,40,16
2026-07,CURRENT,202607012410,0.68623593758801,1,36,14
2026-07,CURRENT,202607012411,0.8491999424085336,0,29,13
2026-07,CURRENT,202607012412,0.6702576959868277,0,29,9
2026-07,CURRENT,202607020401,0.37157950313327587,0,26,12
2026-07,CURRENT,202607020402,0.7451258032954404,1,31,12
2026-07,CURRENT,202607020403,0.32222657116181175,0,25,9
2026-07,CURRENT,202607020404,0.41590433869483684,0,27,10
2026-07,CURRENT,202607020405,0.4294009159960158,0,29,13
2026-07,CURRENT,202607020406,0.23643651214722664,0,25,10
2026-07,CURRENT,202607020407,0.3205938782890586,0,13,6
2026-07,CURRENT,202607020408,0.4924855536015875,0,23,10
2026-07,CURRENT,202607020409,0.36594552802173563,0,11,13
2026-07,CURRENT,202607020410,0.34484438228232694,1,36,13
2026-07,CURRENT,202607020411,0.5463325610380287,0,36,18
2026-07,CURRENT,202607020412,0.5916122959686528,0,35,15
2026-07,CURRENT,202607020501,0.5801656755664055,0,31,8
2026-07,CURRENT,202607020502,0.5627255655591865,1,23,7
2026-07,CURRENT,202607020503,0.6599668190631925,1,30,15
2026-07,CURRENT,202607020504,0.4075142962100993,1,14,9
2026-07,CURRENT,202607020505,0.7092506649051262,1,28,10
2026-07,CURRENT,202607020506,0.7389030799513666,1,31,12
2026-07,CURRENT,202607020507,0.49064442171613515,0,26,13
2026-07,CURRENT,202607020508,0.7658111620570912,1,20,11
2026-07,CURRENT,202607020509,0.6397169412211,0,26,11
2026-07,CURRENT,202607020510,0.541359168220032,0,7,16
2026-07,CURRENT,202607020511,0.6115176448101926,1,11,13
2026-07,CURRENT,202607020512,0.8588899107017989,1,31,18
2026-07,CURRENT,202607020601,0.614671222020554,0,26,7
2026-07,CURRENT,202607020602,0.2604249778728002,0,21,6
2026-07,CURRENT,202607020603,0.80606714738364,1,46,18
2026-07,CURRENT,202607020604,0.4823729201052558,0,15,9
2026-07,CURRENT,202607020605,0.5746524881511541,1,33,12
2026-07,CURRENT,202607020606,0.19359062040540684,0,18,2
2026-07,CURRENT,202607020607,0.2063150655711313,1,29,8
2026-07,CURRENT,202607020608,0.2597329368892045,0,18,6
2026-07,CURRENT,202607020609,0.3458694019970115,0,21,7
2026-07,CURRENT,202607020610,0.2924176912783902,0,6,9
2026-07,CURRENT,202607020611,0.34234128118839147,0,24,10
2026-07,CURRENT,202607020612,0.8212754525931063,1,39,17
2026-07,CURRENT,202607020701,0.2092509510732737,0,21,7
2026-07,CURRENT,202607020702,0.239131657019872,0,22,11
2026-07,CURRENT,202607020703,0.13316284253439403,0,14,5
2026-07,CURRENT,202607020704,0.2773521576937731,1,35,10
2026-07,CURRENT,202607020705,0.552152833584994,0,26,9
2026-07,CURRENT,202607020706,0.5015749746760279,1,15,4
2026-07,CURRENT,202607020707,0.7222567084248267,1,18,14
2026-07,CURRENT,202607020708,0.48687798443476094,0,34,10
2026-07,CURRENT,202607020709,0.6043437605870311,1,28,15
2026-07,CURRENT,202607020710,0.7117635438356213,1,43,20
2026-07,CURRENT,202607020711,0.7738622910245999,1,42,17
2026-07,CURRENT,202607020712,0.5965474224597135,0,28,11
2026-07,CURRENT,202607020801,0.47003382833194185,1,33,9
2026-07,CURRENT,202607020802,0.1283063983183288,1,24,9
2026-07,CURRENT,202607020803,0.15276812871591328,0,35,12
2026-07,CURRENT,202607020804,0.21444873416553714,0,35,10
2026-07,CURRENT,202607020805,0.1752688314675538,0,31,8
2026-07,CURRENT,202607020806,0.8291270330972867,0,32,22
2026-07,CURRENT,202607020807,0.6453617535425759,1,14,7
2026-07,CURRENT,202607020808,0.26268444230329796,0,21,6
2026-07,CURRENT,202607020809,0.2363423911016416,1,11,12
2026-07,CURRENT,202607020810,0.7758776769401668,1,33,17
2026-07,CURRENT,202607020811,0.6089554858736498,1,37,17
2026-07,CURRENT,202607020812,0.7043881740450285,1,41,17
2026-07,CURRENT,202607021101,0.6645273353015199,1,34,11
2026-07,CURRENT,202607021102,0.3507937013691925,1,24,9
2026-07,CURRENT,202607021103,0.40856702695760405,1,19,9
2026-07,CURRENT,202607021104,0.3862851675093647,1,4,9
2026-07,CURRENT,202607021105,0.27974423102182056,0,16,4
2026-07,CURRENT,202607021106,0.15408742635972267,0,4,3
2026-07,CURRENT,202607021107,0.5831570484620616,0,3,7
2026-07,CURRENT,202607021108,0.5626148478478855,0,36,14
2026-07,CURRENT,202607021109,0.4732469398452327,0,4,5
2026-07,CURRENT,202607021110,0.6807609327792401,1,28,15
2026-07,CURRENT,202607021111,0.4271537361882836,0,18,6
2026-07,CURRENT,202607021112,0.5932312746811441,0,25,14
2026-07,CURRENT,202607021601,0.6618496649728134,0,29,15
2026-07,CURRENT,202607021602,0.4368028609346899,1,40,12
2026-07,CURRENT,202607021603,0.5683977901999808,0,37,15
2026-07,CURRENT,202607021604,0.4375102443070201,0,35,15
2026-07,CURRENT,202607021605,0.7007990546785073,1,32,15
2026-07,CURRENT,202607021606,0.39375153773371807,0,22,9
2026-07,CURRENT,202607021607,0.6341169533155138,0,28,15
2026-07,CURRENT,202607021608,0.5552945626058203,0,9,11
2026-07,CURRENT,202607021609,0.7637603470965897,1,29,15
2026-07,CURRENT,202607021610,0.28363110857393925,1,28,12
2026-07,CURRENT,202607021611,0.6158258611110365,1,24,11
2026-07,CURRENT,202607021612,0.6605720938906837,0,35,14
2026-07,CURRENT,202607021901,0.5980785958407567,1,4,3
2026-07,CURRENT,202607021902,0.32801782850365074,0,28,6
