pre_cut,post_cut,R,head4_rate_pct,hit_rate_pct,avg_comp_odds,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct,profitable_months,months_present,min_month_roi_pct,median_month_roi_pct
0.18,0.15,325,32.0,8.307692307692308,12.292127235264195,-915340.0,71.83569230769231,267,70.88576779026218,8.239700374531834,1,7,0.0,57.51451612903226
0.18,0.16,318,31.761006289308174,8.49056603773585,12.179104557221194,-845340.0,73.41698113207548,261,72.51532567049809,8.42911877394636,1,7,0.0,60.43898305084747
0.18,0.17,306,32.6797385620915,8.49673202614379,11.870071638218386,-895860.0,70.7235294117647,251,68.61075697211156,8.366533864541832,1,7,0.0,64.83454545454545
0.18,0.18,294,33.33333333333333,8.843537414965986,11.81461793624794,-775860.0,73.61020408163266,240,71.75541666666666,8.75,1,7,0.0,64.83454545454545
0.18,0.19,275,34.54545454545455,9.090909090909092,11.546102972911758,-653060.0,76.25236363636364,226,73.22699115044247,8.849557522123893,1,7,0.0,71.66
0.18,0.2,257,35.797665369649806,9.33852140077821,11.295905074219009,-568740.0,77.87003891050584,213,73.20422535211267,8.92018779342723,1,7,0.0,72.7734693877551
0.18,0.21,247,35.62753036437247,9.31174089068826,11.03307961221994,-581380.0,76.46234817813765,203,71.2615763546798,8.866995073891626,1,7,0.0,73.21607142857142
0.18,0.22,233,36.48068669527897,9.871244635193133,10.755311196505467,-441380.0,81.05665236051502,190,76.13736842105263,9.473684210526317,2,7,0.0,74.54727272727273
0.18,0.23,216,38.425925925925924,10.648148148148149,10.574528444248669,-271380.0,87.43611111111112,177,81.72937853107345,10.16949152542373,2,7,0.0,78.84807692307692
0.18,0.24,203,40.39408866995074,11.330049261083744,10.440907646158976,-141380.0,93.03546798029556,166,87.14518072289157,10.843373493975903,2,7,0.0,85.41875
0.18,0.25,189,40.74074074074074,11.64021164021164,10.509665081839204,-81940.0,95.66455026455026,154,88.70454545454545,11.03896103896104,2,7,0.0,74.02173913043478
0.18,0.26,172,40.69767441860465,10.465116279069768,10.410233537095609,-256880.0,85.06511627906977,139,73.46115107913668,9.352517985611511,2,7,0.0,76.234375
0.18,0.27,152,40.131578947368425,11.18421052631579,10.196873975571407,-163140.0,89.2671052631579,122,74.98770491803279,9.836065573770492,2,7,0.0,89.60526315789474
