variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
POST,0.25,20,190,77,77,40.526315789473685,40.526315789473685,2.2847403752137487,1900000,1646790.0,-253210.0,86.67315789473685
POST,0.3,2,112,44,15,13.392857142857142,39.285714285714285,9.666597967208954,1120000,1223660.0,103660.0,109.25535714285714
POST,0.3,3,112,44,19,16.964285714285715,39.285714285714285,6.796784808856117,1120000,1182350.0,62350.0,105.56696428571429
POST,0.3,4,112,44,21,18.75,39.285714285714285,5.433045875867227,1120000,1047680.0,-72320.0,93.54285714285714
POST,0.3,5,112,44,22,19.642857142857142,39.285714285714285,4.491332023226044,1120000,915340.0,-204660.0,81.72678571428571
POST,0.3,6,112,44,25,22.321428571428573,39.285714285714285,3.856327761819627,1120000,891050.0,-228950.0,79.55803571428571
POST,0.3,7,112,44,26,23.214285714285715,39.285714285714285,3.5366910280828585,1120000,863910.0,-256090.0,77.13482142857143
POST,0.3,8,112,44,31,27.67857142857143,39.285714285714285,3.2803366045055986,1120000,915350.0,-204650.0,81.72767857142857
POST,0.3,9,112,44,32,28.57142857142857,39.285714285714285,3.0844175953415607,1120000,908830.0,-211170.0,81.14553571428571
POST,0.3,10,112,44,33,29.464285714285715,39.285714285714285,2.898790799838597,1120000,876180.0,-243820.0,78.23035714285714
POST,0.3,11,112,44,35,31.25,39.285714285714285,2.7360363508481194,1120000,873870.0,-246130.0,78.02410714285715
POST,0.3,12,112,44,36,32.142857142857146,39.285714285714285,2.6062228605973567,1120000,866790.0,-253210.0,77.39196428571428
POST,0.3,13,112,44,38,33.92857142857143,39.285714285714285,2.515544122177498,1120000,904010.0,-215990.0,80.71517857142857
POST,0.3,14,112,44,39,34.82142857142857,39.285714285714285,2.4303500490782355,1120000,863600.0,-256400.0,77.10714285714286
POST,0.3,15,112,44,41,36.607142857142854,39.285714285714285,2.3615032724682083,1120000,889610.0,-230390.0,79.42946428571429
POST,0.3,16,112,44,42,37.5,39.285714285714285,2.301662760283883,1120000,892090.0,-227910.0,79.65089285714286
POST,0.3,17,112,44,43,38.392857142857146,39.285714285714285,2.253966906084506,1120000,892250.0,-227750.0,79.66517857142857
POST,0.3,18,112,44,43,38.392857142857146,39.285714285714285,2.2104595630042385,1120000,869930.0,-250070.0,77.67232142857142
POST,0.3,19,112,44,44,39.285714285714285,39.285714285714285,2.1785680688237186,1120000,878860.0,-241140.0,78.46964285714286
POST,0.3,20,112,44,44,39.285714285714285,39.285714285714285,2.145491621610119,1120000,870690.0,-249310.0,77.74017857142857
POST,0.35,2,64,30,9,14.0625,46.875,9.504696731071178,640000,672090.0,32090.0,105.0140625
POST,0.35,3,64,30,11,17.1875,46.875,6.5741807640308245,640000,558670.0,-81330.0,87.2921875
POST,0.35,4,64,30,13,20.3125,46.875,5.12659251260451,640000,544790.0,-95210.0,85.1234375
POST,0.35,5,64,30,14,21.875,46.875,4.249403262615461,640000,506260.0,-133740.0,79.103125
POST,0.35,6,64,30,15,23.4375,46.875,3.6946856439196196,640000,476210.0,-163790.0,74.4078125
POST,0.35,7,64,30,16,25.0,46.875,3.3979111632538173,640000,486690.0,-153310.0,76.0453125
POST,0.35,8,64,30,18,28.125,46.875,3.16740811832183,640000,495230.0,-144770.0,77.3796875
POST,0.35,9,64,30,18,28.125,46.875,2.9603365521132305,640000,468910.0,-171090.0,73.2671875
POST,0.35,10,64,30,19,29.6875,46.875,2.7610281278961466,640000,457520.0,-182480.0,71.4875
POST,0.35,11,64,30,21,32.8125,46.875,2.5923795420126723,640000,476120.0,-163880.0,74.39375
POST,0.35,12,64,30,22,34.375,46.875,2.4596045632998735,640000,485450.0,-154550.0,75.8515625
POST,0.35,13,64,30,24,37.5,46.875,2.3617737805380354,640000,533100.0,-106900.0,83.296875
POST,0.35,14,64,30,25,39.0625,46.875,2.2746016271341185,640000,510870.0,-129130.0,79.8234375
POST,0.35,15,64,30,27,42.1875,46.875,2.2028992898382787,640000,557830.0,-82170.0,87.1609375
POST,0.35,16,64,30,28,43.75,46.875,2.1445422844071667,640000,566790.0,-73210.0,88.5609375
POST,0.35,17,64,30,29,45.3125,46.875,2.1007796224344197,640000,574260.0,-65740.0,89.728125
POST,0.35,18,64,30,29,45.3125,46.875,2.0575941489506127,640000,554770.0,-85230.0,86.6828125
POST,0.35,19,64,30,30,46.875,46.875,2.0279470420582424,640000,566190.0,-73810.0,88.4671875
POST,0.35,20,64,30,30,46.875,46.875,1.9979232919243244,640000,563420.0,-76580.0,88.034375
POST,0.4,2,32,17,5,15.625,53.125,9.386348210255516,320000,354410.0,34410.0,110.753125
POST,0.4,3,32,17,6,18.75,53.125,6.2989298527399225,320000,314440.0,-5560.0,98.2625
POST,0.4,4,32,17,7,21.875,53.125,4.847464772389918,320000,302350.0,-17650.0,94.484375
POST,0.4,5,32,17,8,25.0,53.125,3.9998389743863445,320000,300530.0,-19470.0,93.915625
POST,0.4,6,32,17,9,28.125,53.125,3.4723720750035483,320000,300800.0,-19200.0,94.0
POST,0.4,7,32,17,10,31.25,53.125,3.181261187117633,320000,321290.0,1290.0,100.403125
POST,0.4,8,32,17,12,37.5,53.125,2.9159812760678436,320000,345880.0,25880.0,108.0875
POST,0.4,9,32,17,12,37.5,53.125,2.7443728553609192,320000,326560.0,6560.0,102.05
POST,0.4,10,32,17,13,40.625,53.125,2.577563084195112,320000,324010.0,4010.0,101.253125
POST,0.4,11,32,17,15,46.875,53.125,2.4438267091841963,320000,349680.0,29680.0,109.275
POST,0.4,12,32,17,16,50.0,53.125,2.3338772871338307,320000,360710.0,40710.0,112.721875
POST,0.4,13,32,17,16,50.0,53.125,2.2458009247688255,320000,350930.0,30930.0,109.665625
POST,0.4,14,32,17,16,50.0,53.125,2.151025529621108,320000,329770.0,9770.0,103.053125
POST,0.4,15,32,17,17,53.125,53.125,2.0837936973938755,320000,351280.0,31280.0,109.775
POST,0.4,16,32,17,17,53.125,53.125,2.0225185563435963,320000,338480.0,18480.0,105.775
POST,0.4,17,32,17,17,53.125,53.125,1.9840213691678807,320000,331510.0,11510.0,103.596875
POST,0.4,18,32,17,17,53.125,53.125,1.9342277802879093,320000,324200.0,4200.0,101.3125
POST,0.4,19,32,17,17,53.125,53.125,1.902137356105426,320000,315840.0,-4160.0,98.7
POST,0.4,20,32,17,17,53.125,53.125,1.8717919064376303,320000,311500.0,-8500.0,97.34375
