variant,cut,n,R,head4,trifecta_hits,trifecta_hit_rate_pct,head4_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,realized_roi_pct
PRE,0.35,3,45,25,10,22.22222222222222,55.55555555555556,6.31291310466565,450000,524160.0,74160.0,116.48
PRE,0.35,4,45,25,12,26.666666666666668,55.55555555555556,5.0034965375225475,450000,583650.0,133650.0,129.7
PRE,0.35,5,45,25,13,28.888888888888886,55.55555555555556,4.159014432487478,450000,533040.0,83040.0,118.45333333333333
PRE,0.35,6,45,25,14,31.11111111111111,55.55555555555556,3.6547172108725223,450000,502210.0,52210.0,111.60222222222222
PRE,0.35,7,45,25,15,33.33333333333333,55.55555555555556,3.3327520257280305,450000,495300.0,45300.0,110.06666666666666
PRE,0.35,8,45,25,18,40.0,55.55555555555556,3.051656188257268,450000,517460.0,67460.0,114.99111111111111
PRE,0.35,9,45,25,18,40.0,55.55555555555556,2.862907144991605,450000,497650.0,47650.0,110.58888888888889
PRE,0.35,10,45,25,19,42.22222222222222,55.55555555555556,2.6725163369346143,450000,475890.0,25890.0,105.75333333333333
PRE,0.35,11,45,25,21,46.666666666666664,55.55555555555556,2.497806134078562,450000,499440.0,49440.0,110.98666666666666
PRE,0.35,12,45,25,21,46.666666666666664,55.55555555555556,2.362603253622515,450000,481140.0,31140.0,106.92
PRE,0.35,13,45,25,23,51.11111111111111,55.55555555555556,2.26592493262096,450000,527270.0,77270.0,117.17111111111112
PRE,0.35,14,45,25,23,51.11111111111111,55.55555555555556,2.1715880878810716,450000,492440.0,42440.0,109.43111111111111
PRE,0.35,15,45,25,24,53.333333333333336,55.55555555555556,2.1025592837760945,450000,512120.0,62120.0,113.80444444444444
PRE,0.35,16,45,25,24,53.333333333333336,55.55555555555556,2.0532959582056862,450000,499760.0,49760.0,111.05777777777777
PRE,0.35,17,45,25,25,55.55555555555556,55.55555555555556,2.0133292244144556,450000,505110.0,55110.0,112.24666666666667
PRE,0.35,18,45,25,25,55.55555555555556,55.55555555555556,1.9679493857635724,450000,486470.0,36470.0,108.10444444444444
PRE,0.35,19,45,25,25,55.55555555555556,55.55555555555556,1.9383542342964413,450000,482850.0,32850.0,107.3
PRE,0.35,20,45,25,25,55.55555555555556,55.55555555555556,1.9093307600652445,450000,480250.0,30250.0,106.72222222222223
PRE,0.4,2,20,14,5,25.0,70.0,8.350758543027625,200000,392990.0,192990.0,196.495
PRE,0.4,3,20,14,6,30.0,70.0,5.975534911208756,200000,289920.0,89920.0,144.96
PRE,0.4,4,20,14,7,35.0,70.0,4.715542561793658,200000,263470.0,63470.0,131.735
PRE,0.4,5,20,14,8,40.0,70.0,3.8992148080579745,200000,276140.0,76140.0,138.07
PRE,0.4,6,20,14,9,45.0,70.0,3.3828547069066004,200000,281490.0,81490.0,140.745
PRE,0.4,7,20,14,10,50.0,70.0,3.102104892470277,200000,298800.0,98800.0,149.4
PRE,0.4,8,20,14,11,55.00000000000001,70.0,2.810031028792889,200000,300150.0,100150.0,150.075
PRE,0.4,9,20,14,11,55.00000000000001,70.0,2.655937812406864,200000,288020.0,88020.0,144.01
PRE,0.4,10,20,14,11,55.00000000000001,70.0,2.4818015229871326,200000,261480.0,61480.0,130.74
PRE,0.4,11,20,14,13,65.0,70.0,2.3422886186943073,200000,293630.0,93630.0,146.815
PRE,0.4,12,20,14,13,65.0,70.0,2.2364041634467338,200000,288780.0,88780.0,144.39
PRE,0.4,13,20,14,13,65.0,70.0,2.150180670753585,200000,277640.0,77640.0,138.82
PRE,0.4,14,20,14,13,65.0,70.0,2.0686613305727835,200000,258490.0,58490.0,129.245
PRE,0.4,15,20,14,14,70.0,70.0,2.0058706928335854,200000,283130.0,83130.0,141.565
PRE,0.4,16,20,14,14,70.0,70.0,1.9600752396424208,200000,276090.0,76090.0,138.045
PRE,0.4,17,20,14,14,70.0,70.0,1.923910422465525,200000,268200.0,68200.0,134.1
PRE,0.4,18,20,14,14,70.0,70.0,1.8819438700580473,200000,262610.0,62610.0,131.305
PRE,0.4,19,20,14,14,70.0,70.0,1.8514729770908296,200000,258990.0,58990.0,129.495
PRE,0.4,20,20,14,14,70.0,70.0,1.822541859442659,200000,252190.0,52190.0,126.095
POST,0.15,2,428,124,32,7.476635514018691,28.971962616822427,13.478167797676273,4280000,2905480.0,-1374520.0,67.88504672897196
POST,0.15,3,428,124,41,9.579439252336448,28.971962616822427,9.352379100961201,4280000,2787900.0,-1492100.0,65.13785046728972
POST,0.15,4,428,124,51,11.91588785046729,28.971962616822427,7.453308076323288,4280000,3215140.0,-1064860.0,75.12009345794392
