actual_combo,cover_rule,coverage,date,ev_rule,head,invest,race_code,return,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n
3-5-6,0.3,0.3324480604676118,2026-07-19,1.3,3,2000,202607191905,73500,1.3456434737248817,0.05067068274197278,26.556647767649384,1,8
3-5-6,0.4,0.40642418352800547,2026-07-19,1.1,3,2000,202607191905,73500,1.240497259730201,0.06194588963234214,20.025497528451567,1,10
3-5-6,0.4,0.40642418352800547,2026-07-19,1.2,3,2000,202607191905,73500,1.240497259730201,0.06194588963234214,20.025497528451567,1,10
1-3-6,0.3,0.3,2026-07-19,1.1,5,2000,202607190911,0,2.7126704452285315,0.03,90.4223481742844,0,6
1-3-6,0.3,0.3,2026-07-19,1.2,5,2000,202607190911,0,2.7126704452285315,0.03,90.4223481742844,0,6
1-3-6,0.3,0.3,2026-07-19,1.3,5,2000,202607190911,0,2.7126704452285315,0.03,90.4223481742844,0,6
1-3-6,0.3,0.3,2026-07-19,1.4,5,2000,202607190911,0,2.7126704452285315,0.03,90.4223481742844,0,6
1-3-6,0.4,0.39999999999999997,2026-07-19,1.1,5,2000,202607190911,0,2.453278104025652,0.04,61.3319526006413,0,8
1-3-6,0.4,0.39999999999999997,2026-07-19,1.2,5,2000,202607190911,0,2.453278104025652,0.04,61.3319526006413,0,8
1-3-6,0.4,0.39999999999999997,2026-07-19,1.3,5,2000,202607190911,0,2.453278104025652,0.04,61.3319526006413,0,8
1-3-6,0.4,0.39999999999999997,2026-07-19,1.4,5,2000,202607190911,0,2.453278104025652,0.04,61.3319526006413,0,8
1-3-6,0.5,0.49999999999999994,2026-07-19,1.1,5,2000,202607190911,0,2.244301791985012,0.049999999999999996,44.88603583970024,0,10
1-3-6,0.5,0.49999999999999994,2026-07-19,1.2,5,2000,202607190911,0,2.244301791985012,0.049999999999999996,44.88603583970024,0,10
1-3-6,0.5,0.49999999999999994,2026-07-19,1.3,5,2000,202607190911,0,2.244301791985012,0.049999999999999996,44.88603583970024,0,10
1-3-6,0.5,0.49999999999999994,2026-07-19,1.4,5,2000,202607190911,0,2.244301791985012,0.049999999999999996,44.88603583970024,0,10
1-3-6,0.6,0.6,2026-07-19,1.1,5,2000,202607190911,0,1.9382161039519614,0.06,32.30360173253269,0,12
1-3-6,0.6,0.6,2026-07-19,1.2,5,2000,202607190911,0,1.9382161039519614,0.06,32.30360173253269,0,12
1-3-6,0.6,0.6,2026-07-19,1.3,5,2000,202607190911,0,1.9382161039519614,0.06,32.30360173253269,0,12
1-3-6,0.6,0.6,2026-07-19,1.4,5,2000,202607190911,0,1.9382161039519614,0.06,32.30360173253269,0,12
1-3-6,0.7,0.7000000000000001,2026-07-19,1.1,5,2000,202607190911,0,1.588766072794619,0.07,22.69665818278027,0,14
1-3-6,0.7,0.7000000000000001,2026-07-19,1.2,5,2000,202607190911,0,1.588766072794619,0.07,22.69665818278027,0,14
1-3-6,0.7,0.7000000000000001,2026-07-19,1.3,5,2000,202607190911,0,1.588766072794619,0.07,22.69665818278027,0,14
1-3-6,0.7,0.7000000000000001,2026-07-19,1.4,5,2000,202607190911,0,1.588766072794619,0.07,22.69665818278027,0,14
4-1-6,0.3,0.3,2026-07-19,1.1,5,2000,202607191606,0,2.7273475742230833,0.03,90.91158580743611,0,6
4-1-6,0.3,0.3,2026-07-19,1.2,5,2000,202607191606,0,2.7273475742230833,0.03,90.91158580743611,0,6
4-1-6,0.3,0.3,2026-07-19,1.3,5,2000,202607191606,0,2.7273475742230833,0.03,90.91158580743611,0,6
4-1-6,0.3,0.3,2026-07-19,1.4,5,2000,202607191606,0,2.7273475742230833,0.03,90.91158580743611,0,6
