date,month,race_code,layer,floor,max_n,n,comp_odds,head4_win,hit,return_yen,profit_yen,comp_band,fallback_n2
2026-04-02,2026-04,202604022209,S,4.0,20,8,4.174930559626286,0,0,0.0,-10000.0,4-5,0
2026-04-02,2026-04,202604022209,S,5.0,20,5,5.352662876105845,0,0,0.0,-10000.0,5-6,0
2026-04-02,2026-04,202604022209,S,6.0,20,4,6.377841043822796,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604022209,S,7.0,20,2,7.392739273927393,0,0,0.0,-10000.0,6-8,0
2026-04-02,2026-04,202604022209,S,8.0,20,2,7.392739273927393,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604022209,S,9.0,20,2,7.392739273927393,0,0,0.0,-10000.0,6-8,1
2026-04-02,2026-04,202604022209,S,10.0,20,2,7.392739273927393,0,0,0.0,-10000.0,6-8,1
2026-04-03,2026-04,202604030402,A,3.0,10,10,3.3426687333150684,0,0,0.0,-10000.0,3-4,0
2026-04-03,2026-04,202604030402,A,4.0,10,9,4.204994009308481,0,0,0.0,-10000.0,4-5,0
2026-04-03,2026-04,202604030402,A,5.0,10,6,5.3043505347532305,0,0,0.0,-10000.0,5-6,0
2026-04-03,2026-04,202604030402,A,6.0,10,4,6.125199105636349,0,0,0.0,-10000.0,6-8,0
2026-04-03,2026-04,202604030402,A,7.0,10,2,8.60055096418733,0,0,0.0,-10000.0,8-10,0
2026-04-03,2026-04,202604030402,A,8.0,10,2,8.60055096418733,0,0,0.0,-10000.0,8-10,0
2026-04-03,2026-04,202604030402,A,9.0,10,2,8.60055096418733,0,0,0.0,-10000.0,8-10,1
2026-04-03,2026-04,202604030402,A,10.0,10,2,8.60055096418733,0,0,0.0,-10000.0,8-10,1
2026-04-03,2026-04,202604030402,A,3.0,20,13,3.1804300874374025,0,0,0.0,-10000.0,3-4,0
2026-04-03,2026-04,202604030402,A,4.0,20,9,4.204994009308481,0,0,0.0,-10000.0,4-5,0
2026-04-03,2026-04,202604030402,A,5.0,20,6,5.3043505347532305,0,0,0.0,-10000.0,5-6,0
2026-04-03,2026-04,202604030402,A,6.0,20,4,6.125199105636349,0,0,0.0,-10000.0,6-8,0
2026-04-03,2026-04,202604030402,A,7.0,20,2,8.60055096418733,0,0,0.0,-10000.0,8-10,0
