actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_raw,kelly_return,kelly_total,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
1-4-3,0.49999999999999994,2026-08-16,5,0,0.17495194999412547,2000,0,0,0.05790692521194447,0,0,5頭展開,1540,202608160409,0,84.80433333333333,2.787053045463169,0.08747597499706272,31.860782867030096,0,10,1
1-2-3,0.49999999999999994,2026-08-16,5,0,0.12534273081655573,2000,0,0,0.050749129741203505,0,0,5頭展開,2730,202608160911,0,31.701333333333338,4.989907079123651,0.06267136540827785,79.62020687783782,0,10,1
1-5-2,0.49999999999999994,2026-08-16,5,0,0.16115759671861535,2000,0,0,0.05040314815827155,0,0,5頭展開,1380,202608161110,0,53.37166666666666,2.5357323781729377,0.08057879835930766,31.46897732162613,0,10,1
1-4-3,0.49999999999999994,2026-08-16,5,0,0.18205050916273588,2000,0,0,0.07371353172068827,0,0,5頭展開,850,202608161111,0,59.859666666666676,4.870425795800335,0.09102525458136793,53.506313365447795,0,10,1
1-3-6,0.49999999999999994,2026-08-16,5,0,0.16478283091987977,2000,0,0,0.07318964019233944,0,0,5頭展開,3970,202608161812,0,56.26599999999999,8.29853101024518,0.08239141545993987,100.72082102145785,0,10,1
3-2-4,0.49999999999999994,2026-08-16,5,0,0.13859357414469192,2000,0,0,0.04452128338302645,0,0,5頭展開,6770,202608161910,0,38.63666666666666,2.67246252620519,0.06929678707234595,38.56546081155444,0,10,3
1-4-5,0.49999999999999994,2026-08-16,5,0,0.16142159346097135,2000,0,0,0.04034289324051338,0,0,5頭展開,770,202608162204,0,54.06266666666666,1.9187196504735817,0.08071079673048566,23.772775492239106,0,10,1
2-1-5,0.49999999999999994,2026-08-16,5,0,0.1954813123644348,2000,0,0,0.08049763968222252,0,0,5頭展開,2670,202608162409,0,64.17766666666667,5.212125387607441,0.09774065618221739,53.326073214512725,0,10,2
3-4-5,0.49999999999999994,2026-08-17,5,0,0.16985259262489913,2000,0,0,0.05871850346418243,0,0,5頭展開,15090,202608170211,0,59.919666666666686,3.050220663412808,0.08492629631244955,35.91609190386499,0,10,3
4-1-6,0.49999999999999994,2026-08-17,5,0,0.2022098100897049,2000,0,0,0.0815155638018579,0,0,5頭展開,2290,202608170512,0,67.32900000000001,4.740500487232943,0.10110490504485244,46.886948611740934,0,10,4
4-5-2,0.49999999999999994,2026-08-17,5,0,0.18035268565586274,2000,0,0,0.06470118441382271,0,0,5頭展開,840,202608170907,0,61.658666666666676,3.310747877200523,0.09017634282793136,36.71415111076169,0,10,4
2-4-1,0.49999999999999994,2026-08-17,5,0,0.22416973496789647,2000,0,0,0.08563619419862945,0,0,5頭展開,9690,202608171208,0,70.777,3.8749144389882755,0.11208486748394822,34.57125413957603,0,10,2
1-2-3,0.49999999999999994,2026-08-17,5,0,0.15466817599669366,2000,0,0,0.06539158910506933,0,0,5頭展開,940,202608171212,0,52.893,6.05209091816026,0.07733408799834682,78.25903265697833,0,10,1
2-1-3,0.49999999999999994,2026-08-17,5,0,0.15668078517416192,2000,0,0,0.046788824046913306,0,0,5頭展開,6300,202608171512,0,57.57233333333333,2.366758332394499,0.07834039258708095,30.21121358006571,0,10,2
5-1-6,0.5011052552716766,2026-08-18,3,0,0.22264593846842823,2000,0,0,0.045158950100965156,0,0,3まくり,8020,202608180506,0,61.915666666666674,1.6041341469092048,0.11156904983142373,14.37794934467028,0,10,5
3-2-5,0.514654428293201,2026-08-18,3,1,0.2235938430472002,2000,0,0,0.051005721585863036,0,0,3まくり差し,4080,202608181101,0,58.57,1.7045080907096495,0.11507356146333653,14.81233455395157,0,10,3
3-5-4,0.5261017745853739,2026-08-18,3,1,0.21880373958520127,2000,0,0,0.029462835496440784,0,0,3まくり,2260,202608181103,0,52.26033333333334,1.3043925058699994,0.11511303568169041,11.331405675695102,0,12,3
6-5-1,0.5440651854290627,2026-08-18,3,0,0.16022022550348897,2000,0,0,0.05439316369650761,0,0,3まくり,6970,202608181307,0,45.552,2.5148296813377744,0.08717024669804196,28.849633637600604,0,10,6
3-1-6,0.5456635726643382,2026-08-18,3,1,0.22285158369357086,2000,0,0,0.0597833206795621,0,0,3まくり,1260,202608181606,0,57.436,1.8494771770749796,0.12160199133213964,15.209267190562521,0,12,3
6-3-2,0.5254713099363002,2026-08-18,3,0,0.19632131834103006,2000,0,0,0.03025396958020002,0,0,3まくり,6710,202608181608,0,32.97200000000001,1.3721568552460124,0.10316122031708247,13.30109173804332,0,10,6
3-1-6,0.5444483830326831,2026-08-18,3,1,0.2799408936734268,2000,0,0,0.047834001452449953,0,0,3まくり,680,202608182001,0,70.63000000000001,1.3876812606674536,0.15241336690522148,9.104721513897044,0,10,3
1-4-5,0.49999999999999994,2026-08-18,5,0,0.1874080521902729,2000,0,0,0.060268436036051934,0,0,5頭展開,1710,202608181204,0,66.193,2.633619769727259,0.09370402609513644,28.10572693059507,0,10,1
1-6-4,0.49999999999999994,2026-08-18,5,0,0.14809601769633707,2000,0,0,0.0510773826944317,0,0,5頭展開,5060,202608182006,0,46.688,3.0589427511552287,0.07404800884816852,41.31026341879668,0,10,1
1-5-6,0.49999999999999994,2026-08-18,5,0,0.12689383036172708,2000,0,0,0.04681262801152149,0,0,5頭展開,1610,202608182010,0,36.970666666666666,3.635671172822209,0.06344691518086353,57.302568020182925,0,10,1
1-4-5,0.49999999999999994,2026-08-18,5,0,0.1740564808981441,2000,0,0,0.07076772135524974,0,0,5頭展開,1170,202608182011,0,63.982666666666674,4.973362148669557,0.08702824044907204,57.146532240645655,0,10,1
4-2-5,0.502048204833671,2026-08-19,3,0,0.25237330977175276,2000,0,0,0.06703457290937878,0,0,3まくり,40070,202608190509,0,66.98233333333334,1.9810967015125205,0.12670356711884043,15.635682140301302,0,13,4
1-6-5,0.5655307692290202,2026-08-19,3,0,0.23022111564435252,2000,0,0,0.0733051065637707,0,0,3まくり,2000,202608190909,0,56.937,2.120737049659034,0.13019712462311392,16.288662716615317,0,13,1
1-2-5,0.5632467796356849,2026-08-19,3,0,0.2345983532064823,2000,0,0,0.07647068585039957,0,0,3まくり,1220,202608191008,0,55.711333333333336,2.1922178702534256,0.13213676695138613,16.590521478854974,0,10,1
1-3-6,0.5650628376616245,2026-08-19,3,0,0.24796602985420865,2000,0,0,0.09973809838080706,0,0,3まくり,480,202608191105,0,66.20400000000001,3.1239917799012873,0.14011638847310623,22.295691560026917,0,11,1
1-3-5,0.5879364225456917,2026-08-19,3,0,0.22803194012618366,2000,0,0,0.04968628733079242,0,0,3まくり,810,202608192007,0,63.207666666666675,1.509882845272008,0.13406828310394178,11.262043567018837,0,14,1
4-5-6,0.49999999999999994,2026-08-19,5,0,0.1599625807155369,2000,0,0,0.01639792603363603,0,0,5頭展開,2890,202608190505,0,49.517,1.237269589469469,0.07998129035776844,15.469487725629012,0,10,4
1-2-4,0.49999999999999994,2026-08-19,5,0,0.15018513538652525,2000,0,0,0.03434530277716129,0,0,5頭展開,680,202608190906,0,58.33866666666666,1.7795916086350436,0.07509256769326261,23.698638404592877,0,10,1
4-5-2,0.49999999999999994,2026-08-19,5,0,0.14863447090074047,2000,0,0,0.048441470401670836,0,0,5頭展開,700,202608191004,0,52.78766666666667,2.7329510511428,0.07431723545037022,36.77412156925417,0,10,4
1-5-4,0.49999999999999994,2026-08-19,5,0,0.14584378724132477,2000,0,0,0.05203449901498582,0,0,5頭展開,2740,202608191104,0,53.998333333333335,3.3095290592202637,0.07292189362066237,45.384573752792825,0,10,1
5-1-4,0.49999999999999994,2026-08-19,5,1,0.23360384342929005,2000,0,0,0.10095425521555855,0,0,5頭展開,3300,202608191802,0,75.51,6.626229212120936,0.11680192171464501,56.730481098669436,0,10,5
1-2-4,0.49999999999999994,2026-08-19,5,0,0.14477116806513965,2000,0,0,0.05859480497708441,0,0,5頭展開,710,202608191905,0,46.25,4.941284649609704,0.07238558403256981,68.26338028006211,0,10,1
3-4-5,0.49999999999999994,2026-08-19,5,0,0.1356648139589359,2000,0,0,0.03152258944387057,0,0,5頭展開,4860,202608192003,0,44.55466666666667,1.8092669785206021,0.06783240697946794,26.67260471927888,0,10,3
1-3-5,0.5045192457889001,2026-08-20,3,0,0.3006880895819004,2000,0,0,0.10365277811224063,0,0,3まくり,450,202608201105,0,73.475,2.8299286900679506,0.15170292817356562,18.65441045956731,0,13,1
3-4-2,0.5094783805990448,2026-08-20,3,1,0.2212588398841845,2000,0,0,0.07792357810189714,0,0,3まくり,6850,202608201608,0,52.108666666666686,2.9865955233600867,0.11272659543741766,26.494151728534664,0,11,3
3-2-4,0.5174629271855584,2026-08-20,3,1,0.23336881216117114,2000,0,0,0.07510684719168063,0,0,3まくり,13640,202608201609,0,55.183333333333344,2.4465022364540605,0.12075970865473636,20.25925918262064,0,12,3
1-3-6,0.5204450624920562,2026-08-20,3,0,0.1721546756768212,2000,0,0,0.036626348458230415,0,0,3まくり,1290,202608201902,0,24.181333333333328,1.62949392941378,0.08959705094092288,18.186914773436133,0,8,1
3-4-6,0.5187208248570948,2026-08-20,3,1,0.2324594335731523,2000,0,0,0.04519437182420159,0,0,3まくり差し,350,202608202402,0,55.912000000000006,1.5272085502963522,0.1205815491288786,12.665358517363702,0,10,3
2-1-3,0.49999999999999994,2026-08-20,5,0,0.1507057676044633,2000,0,0,0.0555527212889988,0,0,5頭展開,5260,202608200912,0,48.50666666666667,3.5942546432374876,0.07535288380223164,47.69896600999152,0,10,2
3-5-1,0.49999999999999994,2026-08-20,5,0,0.14422836483500237,2000,0,0,0.052946930298675095,0,0,5頭展開,106480,202608201110,0,58.07033333333334,3.5631585270595725,0.07211418241750117,49.40995526276452,0,10,3
4-6-5,0.49999999999999994,2026-08-20,5,0,0.12014611973741016,2000,0,0,0.03872963367116403,0,0,5頭展開,5220,202608201305,0,41.655,2.705584929618148,0.06007305986870507,45.038240694438414,0,10,4
1-2-4,0.49999999999999994,2026-08-20,5,0,0.12210201521255894,2000,0,0,0.04868019241544898,0,0,5頭展開,650,202608201612,0,40.703,4.694842814554224,0.06105100760627946,76.9003329941983,0,10,1
1-2-5,0.49999999999999994,2026-08-20,5,0,0.16703095054150827,2000,0,0,0.06189263472020646,0,0,5頭展開,630,202608201803,0,63.922000000000004,3.6233205476952257,0.08351547527075412,43.38501979361972,0,10,1
1-2-4,0.49999999999999994,2026-08-20,5,0,0.165081772486595,2000,0,0,0.05366900192471244,0,0,5頭展開,1180,202608201906,0,61.67266666666668,2.7054347544042296,0.08254088624329749,32.776904604945614,0,10,1
1-2-3,0.49999999999999994,2026-08-20,5,0,0.1194547232582939,2000,0,0,0.0362881842811056,0,0,5頭展開,3130,202608202012,0,34.986666666666665,2.4557160547502805,0.05972736162914694,41.115428302325874,0,10,1
1-3-4,0.5249229644730499,2026-08-21,3,0,0.18888923872030036,2000,0,0,0.046621471059421084,0,0,3まくり,430,202608210707,0,36.31766666666666,1.7995085275448286,0.09915229914611766,18.148933943457518,0,13,1
1-6-2,0.49999999999999994,2026-08-21,5,0,0.1381572133241594,2000,0,0,0.04309496806404307,0,0,5頭展開,1890,202608210211,0,54.915666666666674,2.543972664362087,0.06907860666207968,36.82721449213287,0,10,1
5-3-1,0.49999999999999994,2026-08-21,5,1,0.13720517842658625,2000,0,0,0.039855903988546444,0,0,5頭展開,17490,202608210310,0,53.821000000000005,2.2913379573774106,0.06860258921329311,33.40016730641733,0,10,5
4-3-5,0.49999999999999994,2026-08-21,5,0,0.13817379184316733,2000,0,0,0.05986998435873581,0,0,5頭展開,70070,202608211311,0,57.619,7.046901133908286,0.06908689592158365,102.00054641196786,0,10,4
3-6-5,0.49999999999999994,2026-08-21,5,0,0.22615726062729388,2000,0,0,0.08074616074340953,0,0,5頭展開,14490,202608212106,0,71.664,3.214971402907698,0.11307863031364693,28.4312906336972,0,10,3
5-2-4,0.49999999999999994,2026-08-21,5,1,0.24691480901866178,2000,0,0,0.06704366966439669,0,0,5頭展開,7440,202608212308,0,74.74166666666667,2.041707881606892,0.12345740450933088,16.537751540472247,0,10,5
1-3-6,0.5127751608524237,2026-08-22,3,0,0.32180860471678535,2000,0,1000,0.10262076607932684,0,1000,3まくり,620,202608222406,0,84.11333333333334,2.373301945742072,0.16501545904734363,14.382300661062073,0,10,1
4-5-6,0.49999999999999994,2026-08-22,5,0,0.1426253991966161,2000,0,0,0.040822376884489475,0,0,5頭展開,7830,202608220205,0,58.01833333333335,2.2433854289005333,0.07131269959830804,31.45842804349199,0,10,4
4-5-6,0.49999999999999994,2026-08-22,5,0,0.18171587423582675,2000,0,0,0.03328496745804561,0,0,5頭展開,930,202608220206,0,67.14366666666666,1.525607140929965,0.09085793711791336,16.7911267779508,0,10,4
1-4-3,0.49999999999999994,2026-08-22,5,0,0.11349851675957982,2000,0,0,0.044209936634847784,0,0,5頭展開,1610,202608221605,0,33.723,4.325622897795352,0.056749258379789905,76.22342601988672,0,10,1
1-3-4,0.49999999999999994,2026-08-22,5,0,0.12271128572445084,2000,0,0,0.03564037757404051,0,0,5頭展開,1220,202608222012,0,43.462666666666664,2.300925303364588,0.06135564286222541,37.50144560511466,0,10,1
4-6-1,0.49999999999999994,2026-08-22,5,0,0.1460671397162509,2000,0,0,0.04881327359683441,0,0,5頭展開,8170,202608222212,0,53.70400000000001,2.868196221939373,0.07303356985812544,39.27229940301581,0,10,4
