actual_combo,approved_A,approved_S,date,ex_head,head_boat,head_hit,history_pct,hit_20,hit_4,hit_6,hit_8,invest_20,invest_4,invest_6,invest_8,kimarite,model,orig_straight_head,orig_turn_head,payout,period,preview_comp,race_code,ranked_others,return_20,return_4,return_6,return_8,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v51_score,winner
1-5-3,0,0,2026-07-16,0.8,3,0,0.1731,0,0,0,0,2000,400,600,800,逃げ,3まくり差し,0.5,0.4,1130,validation,0.5198,202607161212,1-5-2-6-4,0,0,0,0,0.8,3-1-5;3-1-2;3-1-6;3-1-4;3-5-1;3-5-2;3-5-6;3-5-4;3-2-1;3-2-5;3-2-6;3-2-4;3-6-1;3-6-5;3-6-2;3-6-4;3-4-1;3-4-5;3-4-2;3-4-6,3-1-5;3-1-2;3-5-1;3-5-2,3-1-5;3-1-2;3-1-6;3-5-1;3-5-2;3-5-6,3-1-5;3-1-2;3-1-6;3-1-4;3-5-1;3-5-2;3-5-6;3-5-4,0,50.62200000000001,1
3-4-2,0,0,2026-07-16,0.6,3,1,0.5955,1,0,0,0,2000,400,600,800,差し,3まくり差し,0.5,0.4,3140,validation,0.5337,202607161303,5-2-4-6-1,3140,0,0,0,1.0,3-5-2;3-5-4;3-5-6;3-5-1;3-2-5;3-2-4;3-2-6;3-2-1;3-4-5;3-4-2;3-4-6;3-4-1;3-6-5;3-6-2;3-6-4;3-6-1;3-1-5;3-1-2;3-1-4;3-1-6,3-5-2;3-5-4;3-2-5;3-2-4,3-5-2;3-5-4;3-5-6;3-2-5;3-2-4;3-2-6,3-5-2;3-5-4;3-5-6;3-5-1;3-2-5;3-2-4;3-2-6;3-2-1,0,53.702,3
5-3-2,1,1,2026-07-16,0.8,3,0,0.5475,0,0,0,0,2000,400,600,800,抜き,3まくり差し,0.5,1.0,39860,validation,0.9497,202607161307,2-4-6-1-5,0,0,0,0,1.0,3-2-4;3-2-6;3-2-1;3-2-5;3-4-2;3-4-6;3-4-1;3-4-5;3-6-2;3-6-4;3-6-1;3-6-5;3-1-2;3-1-4;3-1-6;3-1-5;3-5-2;3-5-4;3-5-6;3-5-1,3-2-4;3-2-6;3-4-2;3-4-6,3-2-4;3-2-6;3-2-1;3-4-2;3-4-6;3-4-1,3-2-4;3-2-6;3-2-1;3-2-5;3-4-2;3-4-6;3-4-1;3-4-5,-0.5,94.92999999999999,5
2-4-5,1,1,2026-07-16,0.8,3,0,0.0931,0,0,0,0,2000,400,600,800,まくり差し,3まくり差し,0.0,0.6,12750,validation,0.6927500000000001,202607161704,2-4-5-6-1,0,0,0,0,1.0,3-2-4;3-2-5;3-2-6;3-2-1;3-4-2;3-4-5;3-4-6;3-4-1;3-5-2;3-5-4;3-5-6;3-5-1;3-6-2;3-6-4;3-6-5;3-6-1;3-1-2;3-1-4;3-1-5;3-1-6,3-2-4;3-2-5;3-4-2;3-4-5,3-2-4;3-2-5;3-2-6;3-4-2;3-4-5;3-4-6,3-2-4;3-2-5;3-2-6;3-2-1;3-4-2;3-4-5;3-4-6;3-4-1,0,67.59800000000001,2
1-5-6,0,0,2026-07-17,0.0,3,0,0.9097,0,0,0,0,2000,400,600,800,逃げ,3まくり差し,0.4,0.6,3470,validation,0.4882,202607170710,6-5-1-4-2,0,0,0,0,0.4,3-6-5;3-6-1;3-6-4;3-6-2;3-5-6;3-5-1;3-5-4;3-5-2;3-1-6;3-1-5;3-1-4;3-1-2;3-4-6;3-4-5;3-4-1;3-4-2;3-2-6;3-2-5;3-2-1;3-2-4,3-6-5;3-6-1;3-5-6;3-5-1,3-6-5;3-6-1;3-6-4;3-5-6;3-5-1;3-5-4,3-6-5;3-6-1;3-6-4;3-6-2;3-5-6;3-5-1;3-5-4;3-5-2,-0.5,50.229000000000006,1
3-6-5,1,1,2026-07-17,0.8,3,1,0.9351,1,1,1,1,2000,400,600,800,まくり,3まくり差し,0.4,0.6,1900,validation,0.6424,202607170805,6-5-4-1-2,1900,1900,1900,1900,0.6,3-6-5;3-6-4;3-6-1;3-6-2;3-5-6;3-5-4;3-5-1;3-5-2;3-4-6;3-4-5;3-4-1;3-4-2;3-1-6;3-1-5;3-1-4;3-1-2;3-2-6;3-2-5;3-2-4;3-2-1,3-6-5;3-6-4;3-5-6;3-5-4,3-6-5;3-6-4;3-6-1;3-5-6;3-5-4;3-5-1,3-6-5;3-6-4;3-6-1;3-6-2;3-5-6;3-5-4;3-5-1;3-5-2,0.5,67.32,3
2-1-4,1,1,2026-07-17,0.8,3,0,0.8674,0,0,0,0,2000,400,600,800,差し,3まくり差し,0.19999999999999996,1.0,2210,validation,0.78575,202607171107,2-4-5-1-6,0,0,0,0,0.6,3-2-4;3-2-5;3-2-1;3-2-6;3-4-2;3-4-5;3-4-1;3-4-6;3-5-2;3-5-4;3-5-1;3-5-6;3-1-2;3-1-4;3-1-5;3-1-6;3-6-2;3-6-4;3-6-5;3-6-1,3-2-4;3-2-5;3-4-2;3-4-5,3-2-4;3-2-5;3-2-1;3-4-2;3-4-5;3-4-1,3-2-4;3-2-5;3-2-1;3-2-6;3-4-2;3-4-5;3-4-1;3-4-6,0,79.99399999999999,2
1-3-4,1,1,2026-07-17,0.8,3,0,0.9845,0,0,0,0,2000,400,600,800,逃げ,3まくり,0.5,0.6,890,validation,0.77435,202607171202,5-1-6-4-2,0,0,0,0,1.0,3-5-1;3-5-6;3-5-4;3-5-2;3-1-5;3-1-6;3-1-4;3-1-2;3-6-5;3-6-1;3-6-4;3-6-2;3-4-5;3-4-1;3-4-6;3-4-2;3-2-5;3-2-1;3-2-6;3-2-4,3-5-1;3-5-6;3-1-5;3-1-6,3-5-1;3-5-6;3-5-4;3-1-5;3-1-6;3-1-4,3-5-1;3-5-6;3-5-4;3-5-2;3-1-5;3-1-6;3-1-4;3-1-2,0,79.16300000000001,1
3-2-1,0,0,2026-07-17,0.4,3,1,0.3004,1,0,0,1,2000,400,600,800,差し,3まくり,0.5,0.19999999999999996,2820,validation,0.52135,202607171204,5-2-6-4-1,2820,0,0,2820,0.8,3-5-2;3-5-6;3-5-4;3-5-1;3-2-5;3-2-6;3-2-4;3-2-1;3-6-5;3-6-2;3-6-4;3-6-1;3-4-5;3-4-2;3-4-6;3-4-1;3-1-5;3-1-2;3-1-6;3-1-4,3-5-2;3-5-6;3-2-5;3-2-6,3-5-2;3-5-6;3-5-4;3-2-5;3-2-6;3-2-4,3-5-2;3-5-6;3-5-4;3-5-1;3-2-5;3-2-6;3-2-4;3-2-1,-0.5,51.287,3
4-1-3,1,0,2026-07-17,0.8,3,0,0.2662,0,0,0,0,2000,400,600,800,差し,3まくり差し,0.5,0.8,2220,validation,0.5697,202607171302,4-6-1-2-5,0,0,0,0,0.19999999999999996,3-4-6;3-4-1;3-4-2;3-4-5;3-6-4;3-6-1;3-6-2;3-6-5;3-1-4;3-1-6;3-1-2;3-1-5;3-2-4;3-2-6;3-2-1;3-2-5;3-5-4;3-5-6;3-5-1;3-5-2,3-4-6;3-4-1;3-6-4;3-6-1,3-4-6;3-4-1;3-4-2;3-6-4;3-6-1;3-6-2,3-4-6;3-4-1;3-4-2;3-4-5;3-6-4;3-6-1;3-6-2;3-6-5,-0.5,55.805,4
