race_code,branch,confidence,status,points,rank,rank_col,actual_combo,hit,invest,return,payout100
202608120709,1逃げ,0.7576271103957606,UNSETTLED,,,,5-1-3,,,,1900
202608120710,1逃げ,0.6980142241367165,SETTLED,7,11,v110_rank20,1-6-2,0,700,0,7140
202608120711,1逃げ,0.5149331503182669,SETTLED,7,6,v110_rank20,1-2-3,1,700,1440,1440
202608120712,1逃げ,0.5734264634508183,SETTLED,7,1,v110_rank20,1-3-2,1,700,710,710
202608120801,1逃げ,0.7133864074282421,SETTLED,7,4,v110_rank20,1-3-2,1,700,1260,1260
202608120802,1逃げ,0.46472758375760104,SETTLED,7,1,v110_rank20,1-2-6,1,700,580,580
202608120803,1逃げ,0.4315401899960565,UNSETTLED,,,,6-1-3,,,,11470
202608120804,1逃げ,0.4433916961539912,SETTLED,7,1,v110_rank20,1-3-5,1,700,860,860
202608120805,1逃げ,0.8516717665020686,SETTLED,7,3,v110_rank20,1-5-3,1,700,670,670
202608120806,1逃げ,0.7786088761618355,UNSETTLED,,,,2-5-1,,,,35230
202608120807,4カド,0.1761399537637163,NO_SOURCE,,,,,,,,
202608120808,1逃げ,0.5163917330145206,UNSETTLED,,,,3-4-5,,,,10950
202608120809,1逃げ,0.5734941985566062,SETTLED,7,1,v110_rank20,1-3-2,1,700,750,750
202608120810,1逃げ,0.6437548618408976,SETTLED,7,1,v110_rank20,1-5-4,1,700,1050,1050
202608120811,1逃げ,0.7174157682447749,SETTLED,7,12,v110_rank20,1-5-4,0,700,0,3980
202608120812,1逃げ,0.5743679644097596,SETTLED,7,6,v110_rank20,1-5-3,1,700,2430,2430
202608121301,1逃げ,0.5641687139369802,UNSETTLED,,,,2-1-3,,,,16940
202608121303,1逃げ,0.5763200834425352,SETTLED,7,2,v110_rank20,1-4-5,1,700,760,760
202608121304,1逃げ,0.5562984085644037,SETTLED,7,1,v110_rank20,1-3-2,1,700,600,600
202608121305,1逃げ,0.4830100023720404,SETTLED,7,3,v110_rank20,1-3-6,1,700,2190,2190
202608121306,1逃げ,0.7253159293446682,UNSETTLED,,,,6-5-3,,,,8990
202608121307,1逃げ,0.7570779153761993,SETTLED,7,1,v110_rank20,1-2-4,1,700,660,660
202608121308,1逃げ,0.7372387989992584,UNSETTLED,,,,3-1-6,,,,960
202608121309,1逃げ,0.47860419350114586,UNSETTLED,,,,2-5-3,,,,32000
202608121310,1逃げ,0.8306761219869252,UNSETTLED,,,,4-6-1,,,,9630
202608121311,1逃げ,0.7766555909265452,SETTLED,7,10,v110_rank20,1-2-4,0,700,0,1510
202608121312,1逃げ,0.8119766468615437,UNSETTLED,,,,5-1-6,,,,11240
202608121601,4カド,0.2006302264879674,NO_SOURCE,,,,,,,,
202608121602,4カド,0.2835915727253278,UNSETTLED,,,,1-4-6,,,,1330
202608121603,3まくり差し,0.19993347679802878,NO_SOURCE,,,,,,,,
202608121604,1逃げ,0.6384997277035632,UNSETTLED,,,,4-3-6,,,,44770
202608121605,1逃げ,0.7054853415527744,SETTLED,7,4,v110_rank20,1-5-6,1,700,1150,1150
202608121606,1逃げ,0.5174574302830542,SETTLED,7,4,v110_rank20,1-4-5,1,700,1090,1090
202608121608,1逃げ,0.7785412479814376,UNSETTLED,,,,3-5-4,,,,88730
202608121609,1逃げ,0.6289921633978834,UNSETTLED,,,,2-1-4,,,,17950
202608121611,1逃げ,0.7319918621114003,SETTLED,7,6,v110_rank20,1-3-2,1,700,1010,1010
202608121612,1逃げ,0.7662647487191685,SETTLED,7,11,v110_rank20,1-3-5,0,700,0,3170
202608121901,1逃げ,0.5623371916589394,UNSETTLED,,,,3-1-4,,,,7210
202608121902,1逃げ,0.4942836559846143,SETTLED,7,6,v110_rank20,1-3-2,1,700,3410,3410
202608121904,1逃げ,0.6315341557812548,UNSETTLED,,,,4-5-2,,,,19930
202608121905,1逃げ,0.8647466173992618,SETTLED,7,12,v110_rank20,1-4-5,0,700,0,4700
202608121906,5頭,0.5126870453737945,NO_SOURCE,,,,,,,,
202608121908,1逃げ,0.7057324038823657,SETTLED,7,1,v110_rank20,1-3-5,1,700,640,640
202608121911,1逃げ,0.8431381283382655,SETTLED,7,13,v110_rank20,1-3-4,0,700,0,1140
202608121912,1逃げ,0.7485530207668012,UNSETTLED,,,,5-1-4,,,,29300
202608122002,1逃げ,0.4922212468033085,SETTLED,7,15,v110_rank20,1-3-4,0,700,0,14060
202608122003,1逃げ,0.6358911361375517,UNSETTLED,,,,6-1-3,,,,17170
202608122004,1逃げ,0.7533638933613421,SETTLED,7,1,v110_rank20,1-4-2,1,700,600,600
202608122005,1逃げ,0.6156451173503658,UNSETTLED,,,,3-1-4,,,,16530
202608122006,1逃げ,0.8631894141849655,UNSETTLED,,,,4-1-6,,,,2630
202608122007,1逃げ,0.6936780781446842,SETTLED,7,7,v110_rank20,1-4-6,1,700,3600,3600
202608122008,1逃げ,0.6907417963173578,UNSETTLED,,,,2-5-4,,,,16400
202608122009,1逃げ,0.42967147782377824,SETTLED,7,2,v110_rank20,1-4-2,1,700,1010,1010
202608122010,1逃げ,0.6758784687330204,SETTLED,7,2,v110_rank20,1-3-4,1,700,930,930
202608122011,1逃げ,0.6570621701349818,SETTLED,7,10,v110_rank20,1-2-6,0,700,0,2970
202608122012,1逃げ,0.7982259242311001,SETTLED,7,12,v110_rank20,1-2-3,0,700,0,930
202608122101,1逃げ,0.6115951979177772,SETTLED,7,16,v110_rank20,1-5-3,0,700,0,6650
202608122102,1逃げ,0.44185144586886016,UNSETTLED,,,,5-4-3,,,,14950
202608122103,1逃げ,0.6166461349085139,SETTLED,7,6,v110_rank20,1-2-3,1,700,1380,1380
202608122104,1逃げ,0.566377730365717,UNSETTLED,,,,4-5-6,,,,8660
202608122105,1逃げ,0.6987920482092663,SETTLED,7,6,v110_rank20,1-4-2,1,700,770,770
202608122106,5頭,0.34575427020012917,UNSETTLED,,,,1-5-6,,,,9890
202608122109,1逃げ,0.7063339350433215,UNSETTLED,,,,4-1-5,,,,5290
202608122110,1逃げ,0.7645217478417295,SETTLED,7,19,v110_rank20,1-6-4,0,700,0,14860
202608122111,1逃げ,0.7475022037188416,SETTLED,7,14,v110_rank20,1-4-3,0,700,0,3160
202608122112,1逃げ,0.7748269132633295,SETTLED,7,3,v110_rank20,1-3-2,1,700,1350,1350
202608122201,1逃げ,0.7949383242704194,SETTLED,7,3,v110_rank20,1-3-5,1,700,1280,1280
202608122202,1逃げ,0.5207044737454204,SETTLED,7,2,v110_rank20,1-3-4,1,700,620,620
202608122203,1逃げ,0.408890563368266,SETTLED,7,5,v110_rank20,1-3-5,1,700,800,800
202608122204,1逃げ,0.48463040372782074,SETTLED,7,10,v110_rank20,1-3-2,0,700,0,1350
202608122205,1逃げ,0.5850454453546194,UNSETTLED,,,,2-1-6,,,,4160
202608122206,3まくり,0.32267080950802274,NO_SOURCE,,,,,,,,
202608122207,1逃げ,0.5295926941575917,UNSETTLED,,,,3-2-1,,,,19450
202608122208,1逃げ,0.7606692834589869,SETTLED,7,13,v110_rank20,1-6-2,0,700,0,4760
202608122209,1逃げ,0.48254965577110437,UNSETTLED,,,,3-6-1,,,,61880
202608122210,1逃げ,0.6916765067208487,UNSETTLED,,,,3-4-6,,,,23570
202608122211,1逃げ,0.6402447363970536,UNSETTLED,,,,3-4-5,,,,5500
202608122212,1逃げ,0.5279401526966631,SETTLED,7,4,v110_rank20,1-2-3,1,700,610,610
202608122301,1逃げ,0.8316700662136927,SETTLED,7,5,v110_rank20,1-5-2,1,700,1210,1210
202608122302,1逃げ,0.6986903424987628,SETTLED,7,4,v110_rank20,1-3-5,1,700,890,890
