gate,threshold,n,floor,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
MIN_RATIO,1.2,8,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,8,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,8,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,8,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,10,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,10,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,10,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,10,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,10,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.2,10,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,2,4.5,10,288.47,5,101.92000000000002,960.0000000000073,15,226.28666666666666,189430.0,60.0,26.666666666666668,0,0.0,0.0
MIN_RATIO,1.3,2,5.0,10,288.47,5,101.92000000000002,960.0000000000073,15,226.28666666666666,189430.0,60.0,26.666666666666668,0,0.0,0.0
MIN_RATIO,1.3,2,5.5,10,288.47,3,0.0,-30000.0,13,221.9,158470.0,53.84615384615385,23.076923076923077,0,0.0,0.0
MIN_RATIO,1.3,2,6.0,10,288.47,3,0.0,-30000.0,13,221.9,158470.0,53.84615384615385,23.076923076923077,0,0.0,0.0
MIN_RATIO,1.3,2,6.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.3,2,7.0,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,54.54545454545454,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.3,3,4.5,10,288.47,4,112.7,5080.0,14,238.25,193550.0,57.14285714285714,28.57142857142857,0,0.0,0.0
MIN_RATIO,1.3,3,5.0,10,288.47,3,0.0,-30000.0,13,221.9,158470.0,53.84615384615385,23.076923076923077,0,0.0,0.0
MIN_RATIO,1.3,3,5.5,10,288.47,1,0.0,-10000.0,11,262.24545454545455,178470.0,63.63636363636363,27.27272727272727,0,0.0,0.0
MIN_RATIO,1.3,3,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,3,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,3,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,4,4.5,10,288.47,2,0.0,-20000.0,12,240.39166666666668,168470.0,58.333333333333336,25.0,0,0.0,0.0
MIN_RATIO,1.3,4,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,4,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,4,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,4,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,4,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,5,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,5,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,5,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,5,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,5,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,5,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,6,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,6,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,6,5.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,6,6.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,6,6.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,6,7.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,8,4.5,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
MIN_RATIO,1.3,8,5.0,10,288.47,0,,0.0,10,288.47,188470.0,60.0,30.0,0,,0.0
