q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.72,0.325,6012,4492,0.7471723220226214,1903,0.3165335994677312,0.7407035175879397,0.30478395061728397
0.72,0.35,5567,4167,0.7485180528112089,1819,0.3267469013831507,0.7387304507819688,0.3102880658436214
0.72,0.375,4636,3471,0.7487057808455565,1593,0.34361518550474546,0.7258064516129032,0.337890625
0.72,0.4,3377,2526,0.7480011844832691,1228,0.36363636363636365,0.7223264540337712,0.3515625
0.72,0.425,2238,1654,0.7390527256478999,850,0.37980339588918677,0.6918767507002801,0.33613445378151263
0.72,0.45,1344,999,0.7433035714285714,564,0.41964285714285715,0.7129186602870813,0.39712918660287083
0.72,0.475,697,503,0.7216642754662841,298,0.42754662840746055,0.6887417218543046,0.38636363636363635
0.72,0.5,321,235,0.7320872274143302,150,0.4672897196261682,0.6538461538461539,0.38461538461538464
0.73,0.3,5930,4440,0.7487352445193929,1852,0.31231028667790894,0.7381443298969073,0.2983555207517619
0.73,0.325,5794,4338,0.7487055574732482,1830,0.31584397652744217,0.7383474576271186,0.3016
0.73,0.35,5367,4026,0.7501397428731135,1750,0.32606670393143283,0.7392316647264261,0.30775788576300084
0.73,0.375,4472,3355,0.7502236135957067,1535,0.3432468694096601,0.7241867043847242,0.3346774193548387
0.73,0.4,3249,2437,0.7500769467528471,1183,0.3641120344721453,0.7224409448818898,0.35
0.73,0.425,2150,1594,0.7413953488372093,822,0.38232558139534883,0.6923076923076923,0.3343195266272189
0.73,0.45,1292,967,0.7484520123839009,545,0.4218266253869969,0.7171717171717171,0.3939393939393939
0.73,0.475,667,484,0.7256371814092953,285,0.4272863568215892,0.6917808219178082,0.3923076923076923
0.73,0.5,305,226,0.740983606557377,143,0.46885245901639344,0.6744186046511628,0.4
0.74,0.3,5711,4289,0.7510068289266328,1800,0.3151812292067939,0.7446351931330472,0.3000804505229284
0.74,0.325,5580,4190,0.7508960573476703,1779,0.3188172043010753,0.7450331125827815,0.30295566502463056
0.74,0.35,5176,3895,0.7525115919629057,1704,0.32921174652241114,0.746268656716418,0.3094405594405594
0.74,0.375,4315,3248,0.7527230590961761,1496,0.34669756662804174,0.7353801169590644,0.3385093167701863
0.74,0.4,3146,2369,0.7530197075651621,1160,0.3687221869040051,0.7322515212981744,0.3536754507628294
0.74,0.425,2078,1546,0.7439846005774784,807,0.3883541867179981,0.7042682926829268,0.3445121951219512
0.74,0.45,1252,938,0.7492012779552716,535,0.4273162939297125,0.7314487632508834,0.4083769633507853
0.74,0.475,646,470,0.7275541795665634,280,0.43343653250773995,0.6944444444444444,0.3888888888888889
0.74,0.5,295,217,0.735593220338983,139,0.4711864406779661,0.6666666666666666,0.375
0.75,0.3,5491,4131,0.7523219814241486,1725,0.3141504279730468,0.7443946188340808,0.2937759336099585
0.75,0.325,5364,4036,0.7524235645041014,1704,0.31767337807606266,0.7449152542372881,0.2966101694915254
0.75,0.35,4976,3752,0.7540192926045016,1632,0.3279742765273312,0.7487373737373737,0.30289330922242313
0.75,0.375,4146,3128,0.7544621321755909,1436,0.34635793535938253,0.7389312977099237,0.3319011815252417
0.75,0.4,3025,2283,0.7547107438016529,1111,0.36727272727272725,0.7351694915254238,0.3452722063037249
0.75,0.425,1992,1486,0.7459839357429718,771,0.3870481927710843,0.7070063694267515,0.3471337579617834
0.75,0.45,1196,900,0.7525083612040134,512,0.4280936454849498,0.7297297297297297,0.40540540540540543
0.75,0.475,614,449,0.7312703583061889,266,0.43322475570032576,0.7007299270072993,0.38333333333333336
0.75,0.5,282,209,0.7411347517730497,134,0.475177304964539,0.6666666666666666,0.375
0.76,0.3,5271,3969,0.7529880478087649,1647,0.3124644280022766,0.7456037514654161,0.294067067927773
0.76,0.325,5147,3877,0.7532543229065475,1626,0.3159121818535069,0.7463768115942029,0.2967515364354697
0.76,0.35,4778,3607,0.7549183758894935,1558,0.32607785684386775,0.7513227513227513,0.30337078651685395
0.76,0.375,3987,3012,0.7554552294958615,1376,0.345121645347379,0.7416267942583732,0.33296337402885684
0.76,0.4,2913,2199,0.7548918640576725,1064,0.3652591829728802,0.7362637362637363,0.34365781710914456
0.76,0.425,1921,1431,0.7449245184799583,737,0.38365434669443,0.7086092715231788,0.3443708609271523
0.76,0.45,1147,864,0.7532693984306887,488,0.42545771578029645,0.7318007662835249,0.4034090909090909
0.76,0.475,586,430,0.7337883959044369,252,0.4300341296928328,0.7054263565891473,0.39655172413793105
0.76,0.5,272,203,0.7463235294117647,129,0.4742647058823529,0.6739130434782609,0.391304347826087
0.77,0.3,5052,3816,0.7553444180522565,1589,0.31452889944576407,0.7444444444444445,0.2939068100358423
0.77,0.325,4932,3726,0.7554744525547445,1568,0.31792376317923765,0.7445997458703939,0.2967032967032967
0.77,0.35,4576,3465,0.7572115384615384,1501,0.32801573426573427,0.7510431154381085,0.302734375
0.77,0.375,3830,2896,0.7561357702349869,1328,0.3467362924281984,0.7395659432387313,0.33140877598152424
0.77,0.4,2804,2117,0.7549928673323824,1025,0.36554921540656204,0.7304147465437788,0.33890577507598785
0.77,0.425,1849,1379,0.7458085451595458,712,0.3850730124391563,0.6979166666666666,0.3368055555555556
