q,conf,R,head_hits,head_rate,exact3_hits,exact3_rate,worst_head_month,worst_exact3_month
0.96,0.375,690,561,0.8130434782608695,268,0.3884057971014493,0.75,0.3392857142857143
0.96,0.4,522,422,0.8084291187739464,211,0.4042145593869732,0.7108433734939759,0.2891566265060241
0.96,0.425,340,275,0.8088235294117647,145,0.4264705882352941,0.7142857142857143,0.30357142857142855
0.97,0.3,659,540,0.8194233687405159,230,0.3490136570561457,0.7983870967741935,0.29444444444444445
0.97,0.325,643,527,0.8195956454121306,229,0.3561430793157076,0.7899159663865546,0.30113636363636365
0.97,0.35,602,495,0.8222591362126246,221,0.36710963455149503,0.8073394495412844,0.30120481927710846
0.97,0.375,522,433,0.8295019157088123,202,0.38697318007662834,0.7865168539325843,0.32116788321167883
0.97,0.4,402,333,0.8283582089552238,164,0.4079601990049751,0.7692307692307693,0.33636363636363636
0.97,0.425,261,217,0.8314176245210728,113,0.4329501915708812,0.7555555555555555,0.35555555555555557
0.98,0.3,441,365,0.8276643990929705,153,0.3469387755102041,0.7886178861788617,0.2845528455284553
0.98,0.325,428,354,0.8271028037383178,152,0.35514018691588783,0.7983193277310925,0.29411764705882354
0.98,0.35,397,329,0.8287153652392947,144,0.36272040302267,0.8035714285714286,0.2857142857142857
0.98,0.375,345,290,0.8405797101449275,132,0.3826086956521739,0.8095238095238095,0.30434782608695654
0.98,0.4,276,232,0.8405797101449275,111,0.40217391304347827,0.7866666666666666,0.29333333333333333
