month,date,race_code,p3head,lambda,points,head3,pair_rank,pair_hit,actual_combo,pair_train_3wins,odds_source,hit,composite_odds,cost,return_yen,profit,actual_stake,wf_selected,regime,realized_profit,p_band,comp_band
2025-12,2025-12-22,202512220607,0.334713751834131,1.0,10,1,4,1,3-5-6,454,official_closing,1,4.324751720944247,10000,42480.0,32480.0,1200,1,Dec-Jun,32480.0,.30-.35,4-5
2025-12,2025-12-22,202512220608,0.3145867279502705,1.0,10,0,0,0,4-1-3,454,official_closing,0,4.533815635420424,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,4-5
2025-12,2025-12-22,202512220611,0.3020784556039924,1.0,10,0,0,0,4-3-1,454,official_closing,0,6.372012212983738,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,5-7
2025-12,2025-12-22,202512221408,0.3174300228444514,1.0,10,0,0,0,5-1-2,454,official_closing,0,5.275493002410708,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,5-7
2025-12,2025-12-22,202512221409,0.3209975686980106,1.0,10,0,0,0,5-1-3,454,official_closing,0,3.731651804817224,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-23,202512230604,0.3096662134101797,1.0,10,0,0,0,6-3-1,454,official_closing,0,3.5138588928142527,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-24,202512240910,0.345417227814309,1.0,10,0,0,0,1-3-5,454,official_closing,0,1.885266792167931,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-24,202512241008,0.3431442060757659,1.0,10,0,0,0,1-4-2,454,official_closing,0,3.312045561451836,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-24,202512241108,0.3154562368921205,1.0,10,0,0,0,4-1-6,454,official_closing,0,3.114309416714807,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-24,202512241504,0.3259052932622653,1.0,10,0,0,0,4-1-6,454,official_closing,0,7.743796954694302,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,>=7
2025-12,2025-12-25,202512251102,0.3266376666334242,1.0,10,0,0,0,1-4-2,454,official_closing,0,3.0891366557017927,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-26,202512261103,0.3397227599540764,1.0,10,0,0,0,4-2-3,454,official_closing,0,2.447737260739713,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-26,202512261106,0.3205385778974786,1.0,10,1,8,1,3-4-1,454,official_closing,1,2.0615592086894603,10000,21280.0,11280.0,800,1,Dec-Jun,11280.0,.30-.35,<3
2025-12,2025-12-26,202512261507,0.3000284320152859,1.0,10,0,0,0,1-3-4,454,official_closing,0,3.999961429499669,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,3-4
2025-12,2025-12-26,202512261805,0.3439314736520816,1.0,10,1,18,0,3-2-4,454,official_closing,0,2.757848049724624,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,<3
2025-12,2025-12-27,202512270202,0.308187625653023,1.0,10,0,0,0,6-2-5,454,official_closing,0,4.918748832938282,10000,0.0,-10000.0,0,1,Dec-Jun,-10000.0,.30-.35,4-5
