phase,grade,ev_threshold,odds_races,bet_races,bet_race_pct,tickets,avg_tickets_bet,hits,hit_rate_bet_pct,roi_pct,avg_selected_model_ev,fixed7_hits,fixed7_hit_pct,fixed7_roi_pct,point_hist
AUG_DIAGNOSTIC,A,1.3,1696,1691,99.70518867924528,14160,8.373743347131875,225,13.305736250739207,77.7316384180791,2.4086935096751994,826,48.70283018867924,80.60141509433963,0:5;1:25;2:28;3:47;4:109;5:139;6:189;7:145;8:250;9:157;10:144;11:144;12:115;13:76;14:51;15:31;16:28;17:8;18:5
AUG_DIAGNOSTIC,A,1.4,1696,1676,98.82075471698113,12830,7.655131264916467,178,10.620525059665871,75.00467653936087,2.518522438852734,826,48.70283018867924,80.60141509433963,0:20;1:38;2:44;3:86;4:138;5:161;6:178;7:189;8:217;9:154;10:135;11:105;12:89;13:58;14:43;15:17;16:19;17:2;18:3
AUG_DIAGNOSTIC,A,1.5,1696,1660,97.87735849056604,11594,6.98433734939759,151,9.096385542168674,75.33379334138347,2.6325167189696073,826,48.70283018867924,80.60141509433963,0:36;1:57;2:71;3:108;4:164;5:206;6:173;7:188;8:195;9:121;10:117;11:94;12:71;13:41;14:31;15:13;16:8;18:2
AUG_DIAGNOSTIC,A,1.75,1696,1587,93.57311320754717,8970,5.6521739130434785,99,6.238185255198488,74.67224080267559,2.92927977739785,826,48.70283018867924,80.60141509433963,0:109;1:126;2:140;3:163;4:212;5:187;6:175;7:134;8:173;9:92;10:70;11:48;12:33;13:20;14:8;15:3;16:1;17:1;18:1
AUG_DIAGNOSTIC,A,2.0,1696,1478,87.14622641509433,7033,4.7584573748308525,60,4.059539918809202,73.96416891795819,3.2212185940034934,826,48.70283018867924,80.60141509433963,0:218;1:177;2:199;3:189;4:209;5:171;6:141;7:116;8:129;9:59;10:34;11:31;12:13;13:5;14:2;15:1;17:2
AUG_DIAGNOSTIC,S,1.0,1059,1059,100.0,12028,11.357884796978281,237,22.379603399433428,69.69571000997672,2.0656583220954032,538,50.80264400377715,78.88304330230676,4:3;5:13;6:33;7:46;8:83;9:114;10:136;11:127;12:132;13:110;14:111;15:68;16:39;17:25;18:14;19:5
AUG_DIAGNOSTIC,S,1.05,1059,1059,100.0,11391,10.756373937677054,210,19.8300283286119,70.11324730050039,2.123832006594347,538,50.80264400377715,78.88304330230676,1:1;3:2;4:5;5:27;6:49;7:55;8:107;9:123;10:137;11:127;12:121;13:111;14:89;15:46;16:29;17:17;18:11;19:2
AUG_DIAGNOSTIC,S,1.1,1059,1058,99.90557129367328,10793,10.201323251417769,197,18.620037807183365,72.69433892337626,2.181921853597375,538,50.80264400377715,78.88304330230676,0:1;1:1;2:2;3:8;4:13;5:38;6:57;7:86;8:117;9:121;10:131;11:113;12:128;13:89;14:71;15:42;16:21;17:13;18:7
AUG_DIAGNOSTIC,S,1.15,1059,1058,99.90557129367328,10224,9.66351606805293,183,17.296786389413988,73.48200312989046,2.2407978545918317,538,50.80264400377715,78.88304330230676,0:1;1:2;2:9;3:7;4:26;5:50;6:69;7:102;8:125;9:127;10:118;11:117;12:107;13:84;14:55;15:31;16:18;17:6;18:5
AUG_DIAGNOSTIC,S,1.2,1059,1058,99.90557129367328,9680,9.149338374291116,168,15.879017013232515,73.82128099173553,2.3007258668955366,538,50.80264400377715,78.88304330230676,0:1;1:5;2:11;3:14;4:39;5:69;6:83;7:101;8:140;9:110;10:130;11:102;12:98;13:64;14:47;15:22;16:16;17:5;18:2
AUG_DIAGNOSTIC,S,1.25,1059,1058,99.90557129367328,9194,8.689981096408317,149,14.083175803402646,72.5505764629106,2.357582530370543,538,50.80264400377715,78.88304330230676,0:1;1:9;2:14;3:22;4:59;5:77;6:98;7:94;8:148;9:108;10:121;11:93;12:85;13:60;14:34;15:20;16:13;17:3
AUG_DIAGNOSTIC,S,1.3,1059,1057,99.81114258734655,8718,8.24787133396405,134,12.677388836329234,70.43587978894242,2.4167096743261847,538,50.80264400377715,78.88304330230676,0:2;1:18;2:18;3:29;4:70;5:85;6:109;7:99;8:153;9:106;10:96;11:104;12:68;13:44;14:28;15:19;16:9;17:2
AUG_DIAGNOSTIC,S,1.4,1059,1046,98.7724268177526,7890,7.54302103250478,109,10.420650095602294,70.69961977186311,2.528816050483484,538,50.80264400377715,78.88304330230676,0:13;1:29;2:26;3:48;4:94;5:95;6:112;7:113;8:136;9:109;10:94;11:66;12:53;13:38;14:16;15:11;16:5;17:1
AUG_DIAGNOSTIC,S,1.5,1059,1037,97.92256846081209,7159,6.903567984570878,90,8.678881388621022,70.49029194021512,2.6389675291480876,538,50.80264400377715,78.88304330230676,0:22;1:45;2:34;3:74;4:100;5:124;6:107;7:116;8:125;9:87;10:78;11:57;12:44;13:24;14:14;15:4;16:4
AUG_DIAGNOSTIC,S,1.75,1059,990,93.48441926345609,5566,5.622222222222222,60,6.0606060606060606,69.02263744160977,2.9304065732859423,538,50.80264400377715,78.88304330230676,0:69;1:85;2:84;3:91;4:134;5:120;6:109;7:80;8:121;9:63;10:38;11:29;12:20;13:9;14:6;15:1
AUG_DIAGNOSTIC,S,2.0,1059,911,86.02455146364495,4339,4.762897914379803,38,4.171240395170143,68.88684028578014,3.2306032128992976,538,50.80264400377715,78.88304330230676,0:148;1:105;2:109;3:128;4:121;5:114;6:89;7:80;8:83;9:38;10:20;11:16;12:3;13:4;14:1
