races,top1,top2,top3,top4,top6,top10,top20,second_top1,second_top2,third_top1,third_top2,family,l2,scope,objective,avg_features
54,7.4074074074074066,16.666666666666664,31.48148148148148,44.44444444444444,50.0,66.66666666666666,100.0,33.33333333333333,53.70370370370371,25.925925925925924,48.148148148148145,PLAYER_PRIOR,0.3,TUNE,35.0,34.0
87,16.091954022988507,31.03448275862069,36.7816091954023,40.229885057471265,50.57471264367817,70.11494252873564,100.0,41.37931034482759,62.06896551724138,22.988505747126435,49.42528735632184,PLAYER_PRIOR,0.3,HOLD,40.632183908045974,34.0
54,9.25925925925926,16.666666666666664,27.77777777777778,42.592592592592595,50.0,66.66666666666666,100.0,35.18518518518518,57.407407407407405,27.77777777777778,48.148148148148145,PLAYER_PRIOR,1.0,TUNE,34.44444444444444,34.0
87,17.24137931034483,28.735632183908045,36.7816091954023,40.229885057471265,48.275862068965516,71.26436781609196,100.0,42.5287356321839,62.06896551724138,24.137931034482758,48.275862068965516,PLAYER_PRIOR,1.0,HOLD,39.367816091954026,34.0
54,11.11111111111111,16.666666666666664,27.77777777777778,40.74074074074074,50.0,68.51851851851852,100.0,35.18518518518518,57.407407407407405,29.629629629629626,46.2962962962963,PLAYER_PRIOR,3.0,TUNE,34.074074074074076,34.0
87,17.24137931034483,27.586206896551722,35.63218390804598,40.229885057471265,49.42528735632184,68.96551724137932,100.0,43.67816091954023,60.91954022988506,24.137931034482758,44.827586206896555,PLAYER_PRIOR,3.0,HOLD,38.79310344827586,34.0
54,11.11111111111111,20.37037037037037,31.48148148148148,37.03703703703704,48.148148148148145,70.37037037037037,100.0,31.48148148148148,55.55555555555556,27.77777777777778,46.2962962962963,PLAYER_PRIOR,10.0,TUNE,34.53703703703704,34.0
87,19.54022988505747,26.436781609195403,36.7816091954023,42.5287356321839,49.42528735632184,72.41379310344827,100.0,42.5287356321839,62.06896551724138,27.586206896551722,44.827586206896555,PLAYER_PRIOR,10.0,HOLD,39.310344827586206,34.0
54,16.666666666666664,25.925925925925924,29.629629629629626,44.44444444444444,51.85185185185185,70.37037037037037,100.0,35.18518518518518,57.407407407407405,37.03703703703704,57.407407407407405,PLAYER_START,0.3,TUNE,39.81481481481482,25.0
87,19.54022988505747,31.03448275862069,34.48275862068966,40.229885057471265,49.42528735632184,71.26436781609196,100.0,41.37931034482759,62.06896551724138,26.436781609195403,48.275862068965516,PLAYER_START,0.3,HOLD,40.57471264367817,25.0
