variant,score,source,rule,cut,R,heads,head_rate,wilson_lo,wilson_hi,months_covered,worst_month_head_rate,min_month_R
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.900,0.9,5062,4503,0.8895693401817464,0.8806379544424261,0.8979099002545794,5,0.7129485179407177,641
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.920,0.92,4628,4161,0.8990924805531547,0.8900808619146303,0.907442117410427,5,0.7125,560
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.940,0.94,4152,3781,0.910645472061657,0.9015849438673241,0.9189468386342293,5,0.7139784946236559,465
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.950,0.95,3889,3556,0.914373875032142,0.9051656485907627,0.9227642925829482,5,0.7215496368038741,413
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.960,0.96,3570,3284,0.9198879551820728,0.910525049116477,0.9283482010106531,5,0.7175792507204611,347
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.970,0.97,3207,2974,0.927346429685064,0.9178424287119848,0.9358278739652264,5,0.7188612099644128,281
POST_LR_RECOVERED,p_raw,fixed_probability,>=0.980,0.98,2770,2592,0.935740072202166,0.9259912253247048,0.9442820169774412,5,0.7361111111111112,216
POST_LR_RECOVERED,p_cal,fixed_probability,>=0.750,0.75,6653,5730,0.8612655944686608,0.8527507457728942,0.8693634925991871,5,0.6970010341261634,967
POST_LR_RECOVERED,p_cal,fixed_probability,>=0.800,0.8,5925,5200,0.8776371308016878,0.8690473358041867,0.8857375629119485,5,0.7100840336134454,714
POST_LR_RECOVERED,p_cal,fixed_probability,>=0.820,0.82,5599,4949,0.8839078406858367,0.8752526787897841,0.8920365674964865,5,0.7101910828025477,628
POST_LR_RECOVERED,p_cal,fixed_probability,>=0.840,0.84,5281,4697,0.8894148835447832,0.8806717174886772,0.8975919318654909,5,0.7085610200364298,549
POST_LR_RECOVERED,p_cal,fixed_probability,>=0.860,0.86,4937,4418,0.8948754304233341,0.886010646739473,0.903126190071849,5,0.7161016949152542,472
