race_code,venue,venue_name,race,boat1_name,p109,grade,top7,entry_course,winner,head_hit,actual_combo,payout100,ticket7_hit,invest7,return7
202609040909,09,津,09,尾上 雅也,0.7265039816498263,S,1-2-4;1-4-2;1-2-5;1-2-3;1-3-2;1-5-2;1-4-5,1,5,0,5-4-3,28590,0,700,0
202609040910,09,津,10,柳生 泰二,0.7257024894372731,S,1-3-6;1-3-4;1-6-3;1-4-3;1-4-6;1-3-2;1-3-5,1,1,1,1-3-2,1940,1,700,1940
202609040911,09,津,11,山口 剛,0.6643795486723478,A,1-3-4;1-4-3;1-4-6;1-4-5;1-3-6;1-4-2;1-3-5,1,3,0,3-2-4,39360,0,700,0
202609040912,09,津,12,新田 雄史,0.7654557727608253,S,1-3-6;1-3-4;1-6-3;1-3-2;1-2-3;1-4-3;1-2-6,1,1,1,1-3-2,950,1,700,950
202609041001,10,三国,01,板橋 侑我,0.7998593643486485,S,1-2-4;1-4-2;1-4-3;1-3-4;1-2-3;1-3-2;1-4-6,1,1,1,1-4-5,1480,0,700,0
202609041002,10,三国,02,登玉 隼百,0.363032592988321,B,1-2-6;1-2-5;1-2-4;1-2-3;1-6-2;1-5-2;1-4-2,1,1,1,1-2-5,770,1,700,770
202609041003,10,三国,03,大橋 純一郎,0.7517525189638495,S,1-3-5;1-5-3;1-3-2;1-3-6;1-2-3;1-3-4;1-6-3,1,1,1,1-3-2,650,1,700,650
202609041004,10,三国,04,岡村 将也,0.448019442608136,B,1-6-4;1-4-6;1-6-3;1-6-5;1-6-2;1-3-6;1-2-6,1,6,0,6-5-1,13740,0,700,0
202609041005,10,三国,05,山崎 聖司,0.21401540322358908,B,1-2-6;1-6-2;1-6-3;1-2-3;1-3-6;1-3-2;1-6-4,1,3,0,3-2-6,2790,0,700,0
202609041006,10,三国,06,土性 雅也,0.17872003109354564,B,1-3-2;1-2-3;1-3-4;1-2-4;1-4-3;1-3-6;1-4-2,1,2,0,2-1-4,13600,0,700,0
202609041007,10,三国,07,中村 将隆,0.3113629383887594,B,1-5-4;1-5-3;1-4-5;1-3-5;1-4-3;1-3-4;1-5-6,1,4,0,4-3-1,10150,0,700,0
202609041008,10,三国,08,塩崎 優司,0.13507240418680486,B,1-2-6;1-2-3;1-3-2;1-2-4;1-6-2;1-2-5;1-3-6,1,4,0,4-5-1,134670,0,700,0
202609041009,10,三国,09,竹腰 正樹,0.5027025553241748,B,1-3-6;1-3-4;1-6-3;1-4-3;1-3-2;1-4-6;1-3-5,1,1,1,1-2-6,3130,0,700,0
202609041010,10,三国,10,熊本 英一,0.2156419401198839,B,1-4-6;1-6-4;1-3-6;1-6-3;1-3-4;1-4-3;1-2-6,1,1,1,1-4-3,5350,1,700,5350
202609041011,10,三国,11,間野 兼礼,0.42287887231924026,B,1-2-4;1-4-2;1-2-6;1-2-5;1-2-3;1-6-2;1-5-2,1,1,1,1-3-4,2600,0,700,0
202609041012,10,三国,12,吉田 拡郎,0.8861494805019758,S,1-2-6;1-2-5;1-5-6;1-3-6;1-6-5;1-5-2;1-6-2,1,1,1,1-5-3,1490,0,700,0
202609041101,11,びわこ,01,市川 健太,0.5498179787915023,B,1-5-4;1-5-3;1-4-5;1-3-5;1-3-4;1-4-3;1-5-2,1,6,0,6-1-5,60340,0,700,0
202609041102,11,びわこ,02,藤田 俊祐,0.533278124520627,B,1-2-4;1-2-3;1-4-2;1-3-2;1-2-5;1-4-3;1-3-4,1,1,1,1-5-3,11330,0,700,0
202609041103,11,びわこ,03,小川 竜太朗,0.39139618796104847,B,1-3-6;1-3-4;1-6-3;1-3-2;1-4-3;1-2-3;1-6-4,1,6,0,6-4-1,11050,0,700,0
202609041104,11,びわこ,04,金子 龍斗,0.5028582251711111,B,1-3-5;1-5-3;1-5-6;1-3-6;1-6-5;1-5-4;1-6-3,1,4,0,4-1-3,15270,0,700,0
202609041105,11,びわこ,05,塚越 海斗,0.7898270504683985,S,1-2-5;1-2-3;1-5-2;1-3-2;1-2-6;1-5-3;1-2-4,1,2,0,2-1-5,3640,0,700,0
202609041106,11,びわこ,06,大島 隆乃介,0.4086134092696909,B,1-5-4;1-5-3;1-4-5;1-5-2;1-3-5;1-4-3;1-2-5,1,5,0,5-1-4,1560,0,700,0
202609041107,11,びわこ,07,宮崎 心之介,0.6157373984852027,B,1-2-6;1-2-5;1-2-4;1-2-3;1-6-2;1-5-2;1-4-2,1,2,0,2-1-5,2170,0,700,0
202609041108,11,びわこ,08,仲 航太,0.6307978086676054,B,1-3-5;1-5-3;1-5-4;1-3-4;1-5-2;1-4-5;1-3-2,1,1,1,1-3-2,1540,1,700,1540
202609041109,11,びわこ,09,藤井 公人,0.636308379700044,B,1-2-4;1-4-2;1-4-3;1-3-4;1-2-3;1-3-2;1-4-6,1,4,0,,0,0,700,0
202609041110,11,びわこ,10,山崎 祥,0.5875969284523115,B,1-3-5;1-5-3;1-5-4;1-5-6;1-3-4;1-3-6;1-5-2,1,1,1,1-5-4,1740,1,700,1740
