feature,auc_oriented,direction,n,top10_n,top10_head_rate,overall_head_rate,lift_pt
history_pct_online,0.5489141545187212,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b6_gh_delta_display,0.5487568995612587,low,592,59,0.3728813559322034,0.23817567567567569,13.47056802565277
rel_pl_frame_races_4v6,0.5483165856803636,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_st_raw_strength_4v1,0.548277271940998,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b1_gh_delta_turn,0.5481671934707741,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
rel_pl_all_win_4v2,0.5479548992781997,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_vh_delta_straight_4v6,0.5479391737824535,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_vh_delta_display_4v5,0.5479391737824535,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b5_gh_p12_display,0.5479313110345803,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_gh_p12_turn,0.5478448208079759,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_st_raw_rank_4v1,0.5476718403547671,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_vh_delta_turn_4v2,0.5476561148590209,low,592,59,0.1694915254237288,0.23817567567567569,-6.868415025194688
b6_vh_p2_display,0.5475696246324164,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
opp_score_b5_v93,0.5475224481451777,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b5_vh_p2_display,0.5466496831312607,low,592,59,0.2033898305084746,0.23817567567567569,-3.4785845167201095
b5_pl_all_p2,0.5461779182588732,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
opp_direct_b1_v93,0.5461543300152537,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b6_vh_delta_display,0.5457690553694705,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
rel_vh_p12_turn_4v2,0.5455567611768961,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
opp_local_b3_v93,0.5453916434715604,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_corr_strength_b2,0.5450849963045086,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
opp_local_b5_v93,0.544990643330031,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_st_raw_4v1,0.5449505974264706,low,536,53,0.24528301886792453,0.23880597014925373,0.6477048718670803
b2_vh_p2_overall,0.5443852117438002,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b2_vh_p2_turn,0.5439527606107782,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rel_vh_p12_overall_4v5,0.543748329166077,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b4_gh_p1_straight,0.5437247409224576,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b1_vh_delta_overall,0.5436618389394725,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_gh_p12_overall,0.5430642701011149,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b2_gh_p2_display,0.5429699171266374,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
st_raw_strength_b2,0.5427890739255555,high,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b1_vh_p12_overall,0.5424509757670111,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
rel_pl_frame_p2_4v3,0.542073563869101,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b4_gh_p2_straight,0.5417511912063028,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
opp_grade_b5_v93,0.5408076614615276,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b5_pl_recent_p2,0.5406346810083188,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b2_pl_frame_p2,0.5403437593370131,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b1_gh_p12_overall,0.5399191709518643,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b2_vh_p12_turn,0.5394474060794767,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b4_vh_p12_display,0.5394395433316036,high,592,59,0.423728813559322,0.23817567567567569,18.555313788364632
rel_vh_delta_straight_4v5,0.5394395433316036,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b2_vh_p12_straight,0.5392351118869022,high,592,59,0.1864406779661017,0.23817567567567569,-5.173499770957399
b6_vh_p12_display,0.5390228176943278,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_corr_rank_b2,0.5387476215187683,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b4_gh_p2_turn,0.5381500526804108,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b5_vh_p12_display,0.5380871506974259,low,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b4_gh_p12_overall,0.5380635624538064,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b3_pl_frame_p2,0.537348052397352,low,592,59,0.1694915254237288,0.23817567567567569,-6.868415025194688
opp_national_b5_v93,0.5373087386579861,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b2_vh_p12_overall,0.5368841502728373,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b6_vh_delta_overall,0.5366561305845167,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_st_raw_4v2,0.5366228791425642,high,534,53,0.3584905660377358,0.23782771535580524,12.066285068193059
b2_vh_p1_turn,0.5362787186866066,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b1_vh_p1_straight,0.5360349735025398,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b5_vh_p12_overall,0.5360035225110471,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b1_vh_p12_turn,0.5359956597631741,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b5_gh_p1_display,0.5359091695365696,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
st_raw_b2,0.5355684961984175,low,534,53,0.3584905660377358,0.23782771535580524,12.066285068193059
b4_vh_delta_turn,0.5355238948907863,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
st_raw_rank_b2,0.5354845811514208,low,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b2_vh_p1_straight,0.5354609929078014,high,592,59,0.2033898305084746,0.23817567567567569,-3.4785845167201095
wind_speed,0.5353377139364304,high,537,53,0.2830188679245283,0.2383612662942272,4.465760163030111
b3_pl_recent_p2,0.5353273261939582,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_raw_b6,0.5350890663390664,high,535,53,0.16981132075471697,0.23925233644859814,-6.944101569388117
b5_vh_p2_overall,0.5350364045226528,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b5_vh_p2_turn,0.5348555613215706,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_pl_all_p2_4v2,0.5347926593385857,high,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
b4_gh_p12_turn,0.5347140318598544,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b5_vh_p1_overall,0.5346668553726156,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b6_vh_delta_turn,0.5346589926247425,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
rel_vh_p12_overall_4v1,0.5343444827098174,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b4_vh_p12_straight,0.5341243257693699,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b1_gh_p12_turn,0.5339434825682879,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b1_vh_delta_turn,0.5338648550895566,low,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b6_gh_p12_straight,0.5331100312937366,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
rank_b2_v93,0.532960639084147,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_vh_p12_turn_4v5,0.5328348351181771,high,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b4_gh_p12_display,0.5328033841266846,high,592,59,0.3559322033898305,0.23817567567567569,11.775652771415482
rel_vh_delta_display_4v1,0.5327562076394459,low,592,59,0.3389830508474576,0.23817567567567569,10.080737517178193
b1_vh_p12_straight,0.5327483448915726,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b2_gh_p1_turn,0.532520325203252,low,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
rel_vh_delta_straight_4v3,0.53246528596814,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
opp_nst_b3_v93,0.5321900897925806,low,592,59,0.288135593220339,0.23817567567567569,4.99599175446633
rel_vh_delta_overall_4v2,0.5321193250617225,low,592,59,0.2033898305084746,0.23817567567567569,-3.4785845167201095
b3_vh_delta_straight,0.5320878740702301,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
rel_pl_recent_p2_4v6,0.5319148936170213,high,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
b4_gh_p1_overall,0.5318755798776555,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
b5_vh_p12_straight,0.5317261876680662,low,592,59,0.2711864406779661,0.23817567567567569,3.3010765002290414
st_raw_strength_b3,0.5317183249201931,high,592,59,0.2542372881355932,0.23817567567567569,1.6061612459917525
b5_vh_p12_turn,0.5314509914925067,low,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b4_vh_p12_overall,0.5314352659967605,high,592,59,0.22033898305084745,0.23817567567567569,-1.7836692624828232
b1_vh_delta_straight,0.5311915208126936,low,592,59,0.3220338983050847,0.23817567567567569,8.385822262940904
b6_gh_p1_straight,0.5310578540988504,high,592,59,0.3050847457627119,0.23817567567567569,6.69090700870362
b6_gh_p12_display,0.5306568539573211,high,592,59,0.23728813559322035,0.23817567567567569,-0.08875400824553403
