scope,family,param,floor,R,added_R,head4_wins,hits,return_yen,profit_yen,roi_pct,base_R,base_roi_pct,rescue_roi_pct,min_month_roi_pct,min_added_per_month
S+A,FIXED,3,13.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,13.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,14.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,14.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,3,15.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,5.0,50,22,22,11,991290.0,491290.0,198.258,28,310.98214285714283,54.79090909090909,106.18333333333334,3
S+A,FIXED,4,5.5,45,17,22,11,991290.0,541290.0,220.28666666666666,28,310.98214285714283,70.90588235294118,127.42,3
S+A,FIXED,4,6.0,40,12,20,10,933330.0,533330.0,233.3325,28,310.98214285714283,52.15,110.975,2
S+A,FIXED,4,6.5,31,3,18,9,870750.0,560750.0,280.88709677419354,28,310.98214285714283,0.0,133.17,0
S+A,FIXED,4,7.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,7.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,8.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,8.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,9.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,9.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,10.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,10.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,11.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,11.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,12.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,12.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,13.0,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
S+A,FIXED,4,13.5,28,0,18,9,870750.0,590750.0,310.98214285714283,28,310.98214285714283,,166.4625,0
