date,head,head_hit,month,period,score
2026-06-09,3,0,2026-06,calibration,46.890666666666675
2026-06-09,3,1,2026-06,calibration,49.25
2026-06-09,3,0,2026-06,calibration,46.67766666666667
2026-06-09,3,0,2026-06,calibration,48.485
2026-06-09,3,0,2026-06,calibration,53.285
2026-06-09,3,0,2026-06,calibration,85.196
2026-06-09,3,1,2026-06,calibration,75.83100000000002
2026-06-09,3,1,2026-06,calibration,27.942999999999998
2026-06-09,3,0,2026-06,calibration,54.55433333333334
2026-06-09,3,0,2026-06,calibration,46.45
2026-06-09,3,0,2026-06,calibration,68.25
2026-06-09,3,0,2026-06,calibration,38.821000000000005
2026-06-09,3,1,2026-06,calibration,88.36300000000001
2026-06-09,3,0,2026-06,calibration,50.74700000000001
2026-06-09,3,0,2026-06,calibration,50.662000000000006
2026-06-09,3,0,2026-06,calibration,86.31900000000002
2026-06-09,3,0,2026-06,calibration,29.313000000000006
2026-06-09,3,0,2026-06,calibration,26.055
2026-06-09,3,0,2026-06,calibration,69.068
2026-06-09,3,0,2026-06,calibration,63.13900000000002
2026-06-09,3,0,2026-06,calibration,38.285999999999994
2026-06-09,3,0,2026-06,calibration,69.53599999999999
2026-06-10,3,0,2026-06,calibration,58.022000000000006
2026-06-10,3,0,2026-06,calibration,73.595
2026-06-10,3,0,2026-06,calibration,51.13200000000001
2026-06-10,3,0,2026-06,calibration,31.758999999999997
2026-06-10,3,0,2026-06,calibration,36.98033333333333
2026-06-10,3,0,2026-06,calibration,62.263666666666666
2026-06-10,3,0,2026-06,calibration,51.952000000000005
2026-06-10,3,0,2026-06,calibration,75.08000000000001
2026-06-10,3,1,2026-06,calibration,83.927
2026-06-10,3,0,2026-06,calibration,78.833
2026-06-10,3,0,2026-06,calibration,88.488
2026-06-10,3,1,2026-06,calibration,53.510000000000005
2026-06-10,3,0,2026-06,calibration,78.53099999999999
2026-06-10,3,0,2026-06,calibration,60.557
2026-06-10,3,0,2026-06,calibration,72.48100000000001
2026-06-10,3,0,2026-06,calibration,38.00900000000001
2026-06-10,3,0,2026-06,calibration,78.51
2026-06-10,3,0,2026-06,calibration,79.069
2026-06-10,3,0,2026-06,calibration,41.761
2026-06-11,3,0,2026-06,calibration,39.105000000000004
2026-06-11,3,0,2026-06,calibration,18.155
2026-06-11,3,0,2026-06,calibration,49.918000000000006
2026-06-11,3,0,2026-06,calibration,53.897666666666666
