grade,group,value_lambda,tickets_n,races,role_hit_rate_pct,hybrid_hit_rate_pct,hit_diff_pt,role_comp_rate_pct,hybrid_comp_rate_pct,comp_reduction_pt,role_roi_pct,hybrid_roi_pct,odds_races
A,4C,0.15,6,198,16.666666666666668,16.161616161616163,-0.5050505050505052,36.70107564228998,35.2060248208144,1.49505082147558,60.21885521885522,58.24915824915825,193
A,4C,0.15,7,198,16.666666666666668,17.171717171717173,0.5050505050505052,41.08715577366111,39.70918431782388,1.3779714558372262,51.61616161616162,54.42279942279942,193
A,4C,0.15,8,198,18.68686868686869,17.67676767676768,-1.0101010101010104,44.78758439789658,43.18066275198526,1.6069216459113207,59.26136363636363,48.73106060606061,193
A,4C,0.15,9,198,20.707070707070706,18.181818181818183,-2.5252525252525224,48.06588462708481,46.64222992522155,1.4236547018632635,59.71380471380471,43.77104377104377,193
A,4C,0.15,10,198,23.232323232323232,21.717171717171716,-1.5151515151515156,53.053257634432384,50.81203306023409,2.2412245741982915,68.22727272727273,60.48989898989899,193
A,4C,0.15,11,198,24.242424242424242,23.737373737373737,-0.5050505050505052,55.925012411526225,54.27265388541515,1.6523585261110725,68.87511478420569,67.8236914600551,193
A,4C,0.15,12,198,24.747474747474747,24.242424242424242,-0.5050505050505052,58.62696153925828,58.22931118259118,0.3976503566670999,66.28367003367003,63.13552188552188,193
A,4C,0.15,13,198,24.747474747474747,25.252525252525253,0.5050505050505052,61.92593567277802,60.80989960328283,1.1160360694951876,61.184926184926184,62.723387723387724,193
A,4C,0.15,14,198,25.757575757575758,25.757575757575758,0.0,64.00614739303437,63.70740666013259,0.29874073290177705,60.94516594516595,60.94516594516595,193
A,4C,0.15,15,198,25.757575757575758,25.757575757575758,0.0,66.59294351570242,65.80592558826572,0.7870179274366933,56.88215488215488,56.88215488215488,193
A,4C,0.15,16,198,26.767676767676768,26.262626262626263,-0.5050505050505052,68.99913605844615,68.45328772171759,0.545848336728568,59.92424242424242,56.94444444444444,193
A,4C,0.15,17,198,27.272727272727273,27.272727272727273,0.0,70.83556556749437,70.36527744086668,0.47028812662769326,72.33808674985146,72.33808674985146,193
A,4C,0.15,18,198,27.77777777777778,27.77777777777778,0.0,73.76177791469595,72.84280651366592,0.9189714010300349,70.59483726150393,70.59483726150393,193
A,4C,0.15,19,198,27.77777777777778,27.77777777777778,0.0,75.73292163999088,75.50841291765576,0.22450872233511632,66.87931951089845,66.87931951089845,193
A,4C,0.15,20,198,28.282828282828284,28.282828282828284,0.0,79.029992782237,79.029992782237,0.0,65.63383838383838,65.63383838383838,193
