R,head_hits,exact3_hits,exact3_rate,second_top1,second_top2,second_top3,worst_month_second_top2,outer456_top2,boat2_top2,boat3_top2,boat4_top2,boat5_top2,boat6_top2,config,mix,outer_weight,delta_top2_pp,delta_outer_pp,delta_exact3_pp
345,290,118,0.34202898550724636,0.3931034482758621,0.6862068965517242,0.8689655172413793,0.4666666666666667,0.45977011494252873,0.8596491228070176,0.6853932584269663,0.6428571428571429,0.3125,0.23076923076923078,MC_ow1.5_m1.00,1.0,1.5,-3.7931034482758585,19.54022988505747,-5.21739130434783
345,290,131,0.37971014492753624,0.44482758620689655,0.7206896551724138,0.8758620689655172,0.6,0.3333333333333333,0.956140350877193,0.797752808988764,0.47619047619047616,0.1875,0.23076923076923078,MC_ow2.0_m0.35,0.35,2.0,-0.34482758620689724,6.896551724137928,-1.4492753623188415
345,290,122,0.3536231884057971,0.4517241379310345,0.6862068965517242,0.8689655172413793,0.4,0.3793103448275862,0.8947368421052632,0.7191011235955056,0.5238095238095238,0.25,0.23076923076923078,MC_ow2.0_m0.50,0.5,2.0,-3.7931034482758585,11.494252873563216,-4.057971014492756
345,290,121,0.3507246376811594,0.41379310344827586,0.6724137931034483,0.8724137931034482,0.4,0.4482758620689655,0.868421052631579,0.6404494382022472,0.6190476190476191,0.3125,0.23076923076923078,MC_ow2.0_m0.65,0.65,2.0,-5.1724137931034475,18.39080459770115,-4.347826086956524
345,290,118,0.34202898550724636,0.40344827586206894,0.6586206896551724,0.8689655172413793,0.4666666666666667,0.5057471264367817,0.8245614035087719,0.5955056179775281,0.6666666666666666,0.40625,0.23076923076923078,MC_ow2.0_m0.80,0.8,2.0,-6.5517241379310365,24.13793103448276,-5.21739130434783
345,290,115,0.3333333333333333,0.39655172413793105,0.6448275862068965,0.8482758620689655,0.4666666666666667,0.5632183908045977,0.7982456140350878,0.5280898876404494,0.7380952380952381,0.46875,0.23076923076923078,MC_ow2.0_m1.00,1.0,2.0,-7.931034482758625,29.885057471264364,-6.086956521739134
345,290,123,0.3565217391304348,0.4482758620689655,0.6862068965517242,0.8793103448275862,0.4666666666666667,0.3793103448275862,0.9035087719298246,0.7078651685393258,0.5238095238095238,0.25,0.23076923076923078,MC_ow3.0_m0.35,0.35,3.0,-3.7931034482758585,11.494252873563216,-3.768115942028988
345,290,119,0.34492753623188405,0.40344827586206894,0.6655172413793103,0.8655172413793103,0.4,0.4827586206896552,0.8508771929824561,0.6067415730337079,0.6428571428571429,0.375,0.23076923076923078,MC_ow3.0_m0.50,0.5,3.0,-5.862068965517242,21.839080459770116,-4.927536231884061
345,290,113,0.32753623188405795,0.3931034482758621,0.6517241379310345,0.8620689655172413,0.5294117647058824,0.5517241379310345,0.7894736842105263,0.5730337078651685,0.7142857142857143,0.46875,0.23076923076923078,MC_ow3.0_m0.65,0.65,3.0,-7.241379310344831,28.735632183908045,-6.6666666666666705
345,290,110,0.3188405797101449,0.35172413793103446,0.6172413793103448,0.8482758620689655,0.5098039215686274,0.5977011494252874,0.7368421052631579,0.48314606741573035,0.7857142857142857,0.5,0.23076923076923078,MC_ow3.0_m0.80,0.8,3.0,-10.689655172413792,33.333333333333336,-7.536231884057976
345,290,96,0.2782608695652174,0.32413793103448274,0.593103448275862,0.8,0.47058823529411764,0.6896551724137931,0.6929824561403509,0.3707865168539326,0.9285714285714286,0.53125,0.3076923076923077,MC_ow3.0_m1.00,1.0,3.0,-13.103448275862073,42.52873563218391,-11.594202898550726
