date,race_code,venue,race,day_cat,head,combo,score,head_prob,combo_prob,odds_pre,ev_pre,market_within_head,stake,composite_odds_race,tickets_race,hit,payout,actual_combo,stake_v8,return_v8,profit_v8
2026-08-03,202608032110,21,10R,2日目,4,4-6-3,60.69,0.149,0.00236,539.8,1.276,0.01587,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032110,21,10R,2日目,4,4-6-5,60.69,0.149,0.00401,318.0,1.276,0.02693,100,8.56,20,0,0,5-1-6,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-1-2,61.65,0.065,0.00418,317.7,1.328,0.06433,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-1-3,61.65,0.065,0.00314,422.7,1.328,0.04835,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-1-4,61.65,0.065,0.0075,177.1,1.328,0.11541,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-1-6,61.65,0.065,0.0048,276.5,1.328,0.07392,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-2-1,61.65,0.065,0.00258,515.0,1.328,0.03969,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-2-3,61.65,0.065,0.00225,589.5,1.328,0.03467,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-2-4,61.65,0.065,0.00323,411.0,1.328,0.04973,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-2-6,61.65,0.065,0.00258,515.0,1.328,0.03969,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-3-1,61.65,0.065,0.00213,622.3,1.328,0.03284,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-3-2,61.65,0.065,0.00184,722.6,1.328,0.02829,100,20.44,20,0,0,1-2-4,300,0,-300
2026-08-03,202608032112,21,12R,2日目,5,5-3-4,61.65,0.065,0.00172,772.5,1.328,0.02646,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-3-6,61.65,0.065,0.00119,1120.0,1.328,0.01825,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-4-1,61.65,0.065,0.00637,208.4,1.328,0.09808,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-4-2,61.65,0.065,0.00276,481.7,1.328,0.04243,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-4-3,61.65,0.065,0.00252,527.1,1.328,0.03878,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-4-6,61.65,0.065,0.00486,273.2,1.328,0.07481,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-6-1,61.65,0.065,0.00338,393.0,1.328,0.05201,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-6-2,61.65,0.065,0.00267,497.8,1.328,0.04106,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-6-3,61.65,0.065,0.00136,974.0,1.328,0.02098,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032112,21,12R,2日目,5,5-6-4,61.65,0.065,0.00391,339.4,1.328,0.06022,100,20.44,20,0,0,1-2-4,200,0,-200
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-2,67.59,0.189,0.01598,83.1,1.328,0.08454,100,7.03,20,1,7540,4-1-2,300,22620,22320
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-3,67.59,0.189,0.00811,163.7,1.328,0.04292,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-5,67.59,0.189,0.02012,66.0,1.328,0.10645,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-1-6,67.59,0.189,0.01137,116.8,1.328,0.06015,100,7.03,20,0,0,4-1-2,300,0,-300
2026-08-03,202608032309,23,09R,3日目以降,4,4-2-1,67.59,0.189,0.01288,103.1,1.328,0.06814,100,7.03,20,0,0,4-1-2,300,0,-300
