combo,odds,pair_prob_model,second_prob,third_prob_cond,combo_prob,model_ev,stake,date,race_code,venue,race,score3,composite_odds,actual_combo,hit,payout100,return
3-5-4,7.1,0.1669930473800332,0.42927966782611865,0.38900758618662173,0.029429791376319334,0.20895151877186727,2900,2026-08-11,202608112310,23,10R,76.91,5.05,3-4-5,0,0,0
3-1-5,19.2,0.08856370697154178,0.17321266395938165,0.511300415033799,0.01560790380544665,0.29967175306457566,1600,2026-08-11,202608112310,23,10R,76.91,5.05,3-4-5,0,0,0
3-6-4,196.7,0.024563529552080347,0.07342617987371933,0.33453367170027754,0.004328920045028258,0.8514985728570583,500,2026-08-11,202608112310,23,10R,76.91,5.05,3-4-5,0,0,0
3-2-4,11.1,0.12639572740226623,0.30722997136316876,0.41140428728829015,0.02043639876580271,0.2268440263004101,1400,2026-08-14,202608140403,04,03R,70.09,5.07,2-3-1,0,0,0
3-1-2,26.2,0.10928936998849807,0.26872492959118977,0.4066960596278119,0.01767054307809025,0.46296822864596454,1300,2026-08-14,202608140403,04,03R,70.09,5.07,2-3-1,0,0,0
3-5-2,24.9,0.0921482651354601,0.18306798758711712,0.5033554274015779,0.01489906922163425,0.3709868236186928,1100,2026-08-14,202608140403,04,03R,70.09,5.07,2-3-1,0,0,0
3-1-5,46.5,0.0800523881094309,0.26872492959118977,0.2978971405117281,0.012943337240763414,0.6018651816954987,900,2026-08-14,202608140403,04,03R,70.09,5.07,2-3-1,0,0,0
3-2-6,136.1,0.022949826595178927,0.30722997136316876,0.07469917890286334,0.0037106618834703716,0.5050210823403175,300,2026-08-14,202608140403,04,03R,70.09,5.07,2-3-1,0,0,0
3-5-2,11.3,0.14603798824361594,0.35900976540507784,0.40677998850209096,0.02296165998720819,0.25946675785545253,2100,2026-08-15,202608150506,05,06R,69.23,5.0,1-3-5,0,0,0
3-1-5,10.2,0.12775178412803456,0.2673801827623098,0.4777907727050989,0.0200865067040896,0.2048823683817139,1800,2026-08-15,202608150506,05,06R,69.23,5.0,1-3-5,0,0,0
3-4-2,87.6,0.056269395613815255,0.17272870619586184,0.32576748157894403,0.008847278337022774,0.775021582323195,900,2026-08-15,202608150506,05,06R,69.23,5.0,1-3-5,0,0,0
3-6-1,490.7,0.007597643341006754,0.033040513551914584,0.22994931144363212,0.001194583034170904,0.5861818948676626,200,2026-08-15,202608150506,05,06R,69.23,5.0,1-3-5,0,0,0
3-1-5,28.1,0.1148543354232236,0.27828275089613913,0.4127253128458889,0.019252710224105317,0.5410011572973594,1000,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-5-2,30.4,0.08542337485121922,0.26753541382894286,0.3192974478729658,0.014319280820487897,0.43530613694283204,800,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-5-1,36.8,0.07213000826782792,0.26753541382894286,0.26960919765914243,0.012090951051395979,0.444946998691372,600,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-5-4,20.4,0.06511172537152489,0.26753541382894286,0.24337609903545745,0.010914495967002226,0.2226557177268454,600,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-1-2,85.6,0.06186505956356244,0.27828275089613913,0.22231007622406232,0.01037026648045406,0.8876948107268674,600,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-4-2,78.5,0.060665099103061275,0.22504160974202195,0.2695728099910285,0.01016912047284988,0.7982759571187156,600,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-4-1,40.5,0.05394963909854996,0.22504160974202195,0.2397318396379919,0.009043426740767366,0.36625878300107834,500,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-6-1,370.3,0.02454873136844342,0.08915508014193506,0.2753486546068019,0.004115035010776612,1.5237974644905794,300,2026-08-15,202608150602,06,02R,71.58,5.09,1-3-5,0,0,0
3-4-6,18.8,0.2657140150967965,0.4847484149101299,0.5481482907913348,0.04589100034997625,0.8627508065795535,1400,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-6-4,30.8,0.1325408226504278,0.2146235506938323,0.6175502279314246,0.022890892437198558,0.7050394870657156,800,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-4-2,98.4,0.08612596430610413,0.4847484149101299,0.1776714717511175,0.014874663862475043,1.4636669240675442,500,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-4-1,37.6,0.07711702593119406,0.4847484149101299,0.1590867005629945,0.013318745955904307,0.500784847942002,500,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-1-4,54.4,0.06748913611577712,0.15454045453480292,0.4367085389966831,0.011655930034328334,0.6340825938674614,400,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-4-5,125.7,0.05579140957603519,0.4847484149101299,0.11509353689455315,0.009635636251429205,1.211199476804651,400,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-1-6,50.0,0.05020627530199851,0.15454045453480292,0.3248746449797191,0.008671037531142992,0.4335518765571496,400,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-2-4,124.5,0.03864379267273169,0.0761508021509494,0.5074640263950247,0.006674101486226499,0.8309256350351991,300,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-6-1,90.4,0.0349673952777142,0.2146235506938323,0.16292431638872829,0.00603915735623795,0.5459398250039107,300,2026-08-15,202608151904,19,04R,73.55,5.32,1-2-4,0,0,0
3-1-2,15.2,0.10363072664771954,0.3366534302274601,0.3078261420883232,0.018265832783229224,0.27764065830508416,1300,2026-08-15,202608152405,24,05R,74.79,5.22,1-2-3,0,0,0
3-1-6,29.0,0.09690517706093997,0.3366534302274601,0.287848476682581,0.017080395142277053,0.49533145912603455,1200,2026-08-15,202608152405,24,05R,74.79,5.22,1-2-3,0,0,0
3-1-5,31.4,0.07545030158099574,0.3366534302274601,0.2241186181587922,0.013298783446801308,0.41758180022956104,1000,2026-08-15,202608152405,24,05R,74.79,5.22,1-2-3,0,0,0
3-1-4,35.9,0.06066722493780487,0.3366534302274601,0.18020676307030353,0.010693135346850171,0.3838835589519211,800,2026-08-15,202608152405,24,05R,74.79,5.22,1-2-3,0,0,0
3-4-2,31.6,0.0541679549721081,0.16951043885982106,0.31955527539459094,0.00954758149186238,0.30170357514285123,700,2026-08-15,202608152405,24,05R,74.79,5.22,1-2-3,0,0,0
3-1-5,10.7,0.2170293287370878,0.4574662624030101,0.4744160314622138,0.034083127587753816,0.3646894651889658,1900,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-1-2,16.2,0.11657410060344053,0.4574662624030101,0.25482556897440284,0.01830724892075721,0.29657743251626684,1000,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-1-4,53.6,0.0807946038905254,0.4574662624030101,0.17661325114145457,0.012688297977176698,0.680092771576671,800,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-5-4,65.9,0.04959674259973433,0.25620560800095293,0.19358179934745945,0.0077888648313128115,0.5132861923835144,500,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-1-6,137.9,0.0430682291719564,0.4574662624030101,0.09414514842192875,0.006763601760131896,0.9327006827221885,400,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-6-1,458.7,0.011786503848401094,0.03371704515616434,0.3495710787766412,0.0018509982812749512,0.8490529116208201,200,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-6-5,704.5,0.008505451215047165,0.03371704515616434,0.2522596857361965,0.0013357290493445138,0.94102111526321,200,2026-08-16,202608160403,04,03R,69.21,5.0,2-5-1,0,0,0
3-1-5,20.4,0.2398298838249328,0.463884811302966,0.5170030964180425,0.03828543899490702,0.7810229554961032,1300,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-5-1,30.9,0.10609167857912492,0.2876543025129451,0.36881658870494577,0.016936031587595293,0.5233233760566945,700,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-1-2,62.9,0.09771769878584315,0.463884811302966,0.2106507831359521,0.015599244497483114,0.9811924788916878,600,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-5-2,168.0,0.09122238960035364,0.2876543025129451,0.31712506575926647,0.01456236052119081,2.446476567560056,600,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-1-6,75.4,0.08389047083583599,0.463884811302966,0.1808433231521491,0.013391923692811825,1.0097510464380117,500,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-5-6,140.8,0.05791079078723742,0.2876543025129451,0.20132078776965728,0.00924463629165594,1.3016447898651564,400,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-1-4,144.9,0.04244675785635404,0.463884811302966,0.09150279729385621,0.006776022789667413,0.9818457022228081,300,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-2-5,197.1,0.03844738214656816,0.10967104871756633,0.35057002368584017,0.006137579188258297,1.2097168580057103,300,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-2-1,154.0,0.03487882524246974,0.10967104871756633,0.3180312913054427,0.005567909698064802,0.8574580935019795,300,2026-08-16,202608161805,18,05R,69.64,7.04,1-2-3,0,0,0
3-1-5,48.5,0.10215029664739102,0.27409826024938583,0.37267765419032756,0.01670549438934055,0.8102164778830168,1100,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-1-4,37.3,0.06920344811983746,0.27409826024938583,0.2524767871816236,0.01131742003921524,0.4221397674627284,700,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-4-5,25.9,0.06647780707474762,0.23876261031818646,0.27842637080469224,0.01087167310865782,0.28157633351423755,700,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-5-4,34.6,0.06416382902202816,0.2164566101521034,0.2964281339199594,0.010493248878425792,0.36306641119353245,700,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-4-2,23.5,0.06366717370263535,0.23876261031818646,0.26665470618615467,0.01041202667032793,0.24468262675270636,700,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-5-2,28.6,0.06357730585315573,0.2164566101521034,0.2937184769200633,0.010397329827494022,0.297363633066329,700,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-6-4,184.6,0.03142666342170502,0.09985110718026151,0.31473525240907313,0.005139465735270538,0.9487453747309413,400,2026-08-18,202608180501,05,01R,70.48,5.05,2-1-4,0,0,0
3-4-5,6.8,0.14672783219059565,0.3985782017877094,0.36812809012758246,0.02468097127671944,0.16783060468169217,2400,2026-08-18,202608181101,11,01R,71.82,5.0,3-2-5,0,0,0
3-4-2,21.7,0.10112192275430114,0.3985782017877094,0.2537066058824779,0.01700963773323922,0.3691091388112911,1700,2026-08-18,202608181101,11,01R,71.82,5.0,3-2-5,0,0,0
3-6-4,400.8,0.022079165793496523,0.05349735827665532,0.41271506677613323,0.00371391881572514,1.4885386613426361,500,2026-08-18,202608181101,11,01R,71.82,5.0,3-2-5,0,0,0
3-5-6,238.5,0.02013820281484841,0.21144077550285628,0.09524275895675746,0.0033874309857750405,0.8079022901073472,400,2026-08-18,202608181101,11,01R,71.82,5.0,3-2-5,0,0,0
3-1-6,9.3,0.18630569747949602,0.4159195613116457,0.44793684839434245,0.02839917649398764,0.26411234139408507,2800,2026-08-18,202608181507,15,07R,68.02,5.04,3-1-6,1,830,23240
3-6-1,11.9,0.10873123621763403,0.25026802676193843,0.4344591581451277,0.01657425193931006,0.1972335980777897,1700,2026-08-18,202608181507,15,07R,68.02,5.04,3-1-6,0,0,0
3-5-1,149.6,0.027616717099013817,0.09424265816186274,0.2930383929916517,0.004209704983207695,0.6297718654878711,500,2026-08-18,202608181507,15,07R,68.02,5.04,3-1-6,0,0,0
3-4-2,18.2,0.1653903558693688,0.47027607919308345,0.35168779188844035,0.027432416413231634,0.49926997872081574,1600,2026-08-18,202608181811,18,11R,71.02,5.02,4-3-1,0,0,0
