rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.990,0.99,,0.45,2026-04,2,2,1.0,1,0.5,0.34238022750665303,0.09453120573423074,0.4865447235261942
HGB_q0.990,0.99,,0.45,2026-05,7,7,1.0,4,0.5714285714285714,0.6456695649333126,0.2504583645276572,0.48915488706173643
HGB_q0.990,0.99,,0.45,2026-06,6,4,0.6666666666666666,4,0.6666666666666666,0.299993315138392,0.299993315138392,0.47351034906754924
HGB_q0.990,0.99,,0.5,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.5,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.5,2026-04,1,1,1.0,0,0.0,0.20654931437723745,0.0,0.5025275071479602
HGB_q0.990,0.99,,0.5,2026-05,3,3,1.0,1,0.3333333333333333,0.4385029682449546,0.06149194472039621,0.5116119089711822
HGB_q0.990,0.99,,0.5,2026-06,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.5064044388946933
HGB_q0.990,0.99,,0.55,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.55,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.55,2026-04,0,0,,0,,,,
HGB_q0.990,0.99,,0.55,2026-05,0,0,,0,,,,
HGB_q0.990,0.99,,0.55,2026-06,0,0,,0,,,,
HGB_q0.990,0.99,,0.6,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.6,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.6,2026-04,0,0,,0,,,,
HGB_q0.990,0.99,,0.6,2026-05,0,0,,0,,,,
HGB_q0.990,0.99,,0.6,2026-06,0,0,,0,,,,
HGB_q0.990,0.99,,0.65,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.65,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.65,2026-04,0,0,,0,,,,
HGB_q0.990,0.99,,0.65,2026-05,0,0,,0,,,,
HGB_q0.990,0.99,,0.65,2026-06,0,0,,0,,,,
HGB_q0.990,0.99,,0.7,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.7,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.7,2026-04,0,0,,0,,,,
HGB_q0.990,0.99,,0.7,2026-05,0,0,,0,,,,
HGB_q0.990,0.99,,0.7,2026-06,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-04,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-05,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.0,2026-02,1,1,1.0,0,0.0,0.20654931437723745,0.0,0.44277674346577256
HGB_q0.995,0.995,,0.0,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.0,2026-04,2,2,1.0,1,0.5,0.34238022750665303,0.09453120573423074,0.40901518648338725
HGB_q0.995,0.995,,0.0,2026-05,18,17,0.9444444444444444,13,0.7222222222222222,0.7424269921812741,0.4912734343970254,0.40369101324163414
HGB_q0.995,0.995,,0.0,2026-06,8,7,0.875,4,0.5,0.5291118177871464,0.21521606221387757,0.41727050088567497
HGB_q0.995,0.995,,0.45,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.45,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.45,2026-04,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.4705619399044282
HGB_q0.995,0.995,,0.45,2026-05,3,3,1.0,3,1.0,0.4385029682449546,0.4385029682449546,0.48220439121756886
HGB_q0.995,0.995,,0.45,2026-06,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.4589288744269012
HGB_q0.995,0.995,,0.5,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.5,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.5,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.5,2026-05,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.5021943298869785
HGB_q0.995,0.995,,0.5,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.55,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.55,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.55,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.55,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.55,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.6,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.6,2026-03,0,0,,0,,,,
HGB_q0.995,0.995,,0.6,2026-04,0,0,,0,,,,
HGB_q0.995,0.995,,0.6,2026-05,0,0,,0,,,,
HGB_q0.995,0.995,,0.6,2026-06,0,0,,0,,,,
