month,date,race_code,actual2,actual3,cond_rank,cond,nfeat3,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-02,2026-02-12,202602121507,2,6,4,1>2:0.381600000968|1>3:0.149617198568|1>5:0.29324483046|1>6:0.175537970004|2>1:0.296284448285|2>3:0.23977950905|2>5:0.290212964385|2>6:0.173723078279|3>1:0.227640103188|3>2:0.469871206521|3>5:0.189220348129|3>6:0.113268342162|5>1:0.216311019468|5>2:0.275717669821|5>3:0.0917379141798|5>6:0.416233396531|6>1:0.169111228794|6>2:0.215555148593|6>3:0.0717203933121|6>5:0.5436132293,69,1:0.371317675584|2:0.294443279956|3:0.146249034675|5:0.0893264928704|6:0.0986635169143,8,2,4,0,9
2026-02,2026-02-13,202602131809,1,6,3,1>2:0.291958625668|1>3:0.244733046483|1>5:0.228126162346|1>6:0.235182165503|2>1:0.542660775739|2>3:0.210847630826|2>5:0.121368811827|2>6:0.125122781607|3>1:0.540837152115|3>2:0.25068913143|3>5:0.102649371976|3>6:0.10582434448|5>1:0.445129046305|5>2:0.127412142759|5>3:0.0906344358171|5>6:0.336824375119|6>1:0.449673219948|6>2:0.128712850735|6>3:0.0915596924766|6>5:0.33005423684,69,1:0.436648446679|2:0.0659747754428|3:0.115086144677|5:0.0148101670228|6:0.367480466179,5,1,3,0,2
2026-02,2026-02-15,202602150102,2,5,2,1>2:0.0669409337029|1>3:0.118847407823|1>5:0.44045780434|1>6:0.373753854134|2>1:0.402898270139|2>3:0.114155168341|2>5:0.261255878477|2>6:0.221690683043|3>1:0.459388138722|3>2:0.0733131712122|3>5:0.252790970082|3>6:0.214507719985|5>1:0.327568472404|5>2:0.0322819841577|5>3:0.0486372799051|5>6:0.591512263533|6>1:0.296289929236|6>2:0.0291994731101|6>3:0.0439930501111|6>5:0.630517547542,69,1:0.181946392906|2:0.199843061545|3:0.292891972652|5:0.179994982435|6:0.145323590462,4,2,2,0,19
2026-02,2026-02-15,202602151108,3,5,1,1>2:0.138831791751|1>3:0.03539806358|1>5:0.725578427224|1>6:0.100191717444|2>1:0.297860167845|2>3:0.0455765083228|2>5:0.576901680152|2>6:0.0796616436793|3>1:0.288126674024|3>2:0.172910557094|3>5:0.473569746621|3>6:0.065393022261|5>1:0.429465382113|5>2:0.159155665574|5>3:0.0344368794096|5>6:0.376942072903|6>1:0.128090229177|6>2:0.0474689847594|6>3:0.010270974005|6>5:0.814169812059,69,1:0.212581948653|2:0.297950757749|3:0.105519402366|5:0.27035325589|6:0.113594635343,8,5,1,0,10
2026-02,2026-02-18,202602180807,6,1,1,1>2:0.801580823748|1>3:0.0313986508291|1>5:0.064687198517|1>6:0.102333326906|2>1:0.809713840073|2>3:0.0444091215553|2>5:0.0564983071172|2>6:0.0893787312544|3>1:0.391689406492|3>2:0.548426936897|3>5:0.0231929936357|3>6:0.0366906629759|5>1:0.443335187575|5>2:0.38332315247|5>3:0.0127420653986|5>6:0.160599594557|6>1:0.471172520527|6>2:0.407392286891|6>3:0.0135421487824|6>5:0.107893043799,69,1:0.245918927676|2:0.461113034863|3:0.0934221591229|5:0.0656425814903|6:0.133903296848,5,3,1,0,3
2026-02,2026-02-18,202602181305,2,1,2,1>2:0.419471696979|1>3:0.110365990143|1>5:0.0614296837062|1>6:0.408732629172|2>1:0.229817965978|2>3:0.212131471068|2>5:0.0729128401732|2>6:0.485137722781|3>1:0.152233255561|3>2:0.534069849895|3>5:0.0409864859084|3>6:0.272710408636|5>1:0.0945370088439|5>2:0.20480769976|5>3:0.0457288196161|5>6:0.65492647178|6>1:0.213159102771|6>2:0.461794021785|6>3:0.103107918046|6>5:0.221938957397,69,1:0.122510907839|2:0.589984148213|3:0.0697197925842|5:0.079934786661|6:0.137850364703,2,1,2,0,3
2026-02,2026-02-19,202602191309,1,6,2,1>2:0.0830382365366|1>3:0.45252006486|1>5:0.150305847169|1>6:0.314135851435|2>1:0.0214295255301|2>3:0.598955241881|2>5:0.122853717278|2>6:0.256761515311|3>1:0.0472550608934|3>2:0.24236528753|3>5:0.229897995082|3>6:0.480481656494|5>1:0.0172012103874|5>2:0.054479987078|5>3:0.251946209816|5>6:0.676372592718|6>1:0.0265756673239|6>2:0.0841709379625|6>3:0.389253924858|6>5:0.499999469855,69,1:0.330199732437|2:0.223734244064|3:0.0773442690962|5:0.211792136723|6:0.156929617679,3,1,2,0,5
2026-02,2026-02-21,202602211506,1,2,2,1>2:0.325506767792|1>3:0.0386610736517|1>5:0.545198667145|1>6:0.0906334914117|2>1:0.0908714666547|2>3:0.0814920343146|2>5:0.709662620991|2>6:0.117973878039|3>1:0.0614270844473|3>2:0.463803088691|3>5:0.407094660631|3>6:0.0676751662312|5>1:0.096217300624|5>2:0.448624305614|5>3:0.045217630167|5>6:0.409940763595|6>1:0.03148445315|6>2:0.146799908545|6>3:0.0147962201113|6>5:0.806919418193,69,1:0.537886173318|2:0.107977950083|3:0.055096576721|5:0.27564576715|6:0.0233935327281,2,1,2,0,5
2026-02,2026-02-21,202602211905,3,5,1,1>2:0.0899438783742|1>3:0.237057963519|1>5:0.66160013118|1>6:0.0113980269275|2>1:0.115989231024|2>3:0.321092480646|2>5:0.55338459536|2>6:0.00953369296941|3>1:0.162105122552|3>2:0.170265346363|3>5:0.656322428263|3>6:0.0113071028223|5>1:0.29681837097|5>2:0.192520154358|5>3:0.430596257056|5>6:0.0800652176153|6>1:0.0533142933961|6>2:0.0345803258759|6>3:0.0773433770588|6>5:0.834762003669,69,1:0.403671224653|2:0.158327640953|3:0.0667412143308|5:0.252907813007|6:0.118352107056,10,5,1,0,5
2026-02,2026-02-22,202602220606,5,2,2,1>2:0.469429263751|1>3:0.282610653256|1>5:0.1509807655|1>6:0.0969793174929|2>1:0.773585934573|2>3:0.146849272112|2>5:0.0484463194907|2>6:0.0311184738248|3>1:0.712963204747|3>2:0.224808113427|3>5:0.0378905100565|3>6:0.0243381717703|5>1:0.701159929617|5>2:0.136526780646|5>3:0.0697505006545|5>6:0.0925627890831|6>1:0.666792020738|6>2:0.129834812439|6>3:0.0663316246613|6>5:0.137041542162,69,1:0.102381279457|2:0.530618133221|3:0.0151062782006|5:0.330763980067|6:0.021130329055,4,2,2,0,1
