role,feature,category,n_long,races,direction,auc_oriented,top1_pct,top2_pct,month_positive,month_seen,month_consistency,month_auc
SECOND,pref_vh_p1_straight,PRIOR_EXHIBITION,705,141,low,0.5187742065288466,21.98581560283688,44.680851063829785,4,5,0.8,2026-02:0.505;2026-03:0.605;2026-04:0.537;2026-05:0.571;2026-06:0.368
SECOND,pref_vh_p1_overall,PRIOR_EXHIBITION,705,141,high,0.5185478597656052,22.69503546099291,43.262411347517734,1,5,0.2,2026-02:0.490;2026-03:0.490;2026-04:0.476;2026-05:0.471;2026-06:0.667
SECOND,pref_gh_delta_turn,PRIOR_EXHIBITION,705,141,low,0.5176550475328203,23.404255319148938,41.843971631205676,3,5,0.6,2026-02:0.570;2026-03:0.489;2026-04:0.522;2026-05:0.539;2026-06:0.463
SECOND,pref_gh_p1_overall,PRIOR_EXHIBITION,705,141,high,0.5173972637191288,21.27659574468085,42.5531914893617,2,5,0.4,2026-02:0.505;2026-03:0.495;2026-04:0.481;2026-05:0.467;2026-06:0.629
SECOND,pref_vh_p12_display,PRIOR_EXHIBITION,705,141,high,0.5140146370906896,24.113475177304963,48.93617021276596,4,5,0.8,2026-02:0.535;2026-03:0.518;2026-04:0.501;2026-05:0.410;2026-06:0.631
SECOND,pref_gh_delta_straight,PRIOR_EXHIBITION,705,141,low,0.5137002665861878,21.27659574468085,37.5886524822695,3,5,0.6,2026-02:0.505;2026-03:0.484;2026-04:0.557;2026-05:0.567;2026-06:0.456
SECOND,pref_vh_delta_straight,PRIOR_EXHIBITION,705,141,low,0.513568230974297,22.69503546099291,43.97163120567376,4,5,0.8,2026-02:0.500;2026-03:0.505;2026-04:0.527;2026-05:0.576;2026-06:0.441
SECOND,pref_vh_p12_straight,PRIOR_EXHIBITION,705,141,low,0.5120718273728686,23.404255319148938,42.5531914893617,3,5,0.6,2026-02:0.491;2026-03:0.629;2026-04:0.521;2026-05:0.555;2026-06:0.358
SECOND,pref_gh_p2_straight,PRIOR_EXHIBITION,705,141,high,0.5116442834867462,21.27659574468085,42.5531914893617,4,5,0.8,2026-02:0.519;2026-03:0.352;2026-04:0.510;2026-05:0.553;2026-06:0.608
SECOND,pref_gh_p12_display,PRIOR_EXHIBITION,705,141,high,0.5103302147779286,21.98581560283688,45.39007092198582,3,5,0.6,2026-02:0.525;2026-03:0.531;2026-04:0.463;2026-05:0.442;2026-06:0.593
SECOND,pref_gh_p1_display,PRIOR_EXHIBITION,705,141,low,0.508462853981188,23.404255319148938,41.13475177304964,2,5,0.4,2026-02:0.440;2026-03:0.499;2026-04:0.564;2026-05:0.611;2026-06:0.416
SECOND,pref_gh_p12_straight,PRIOR_EXHIBITION,705,141,high,0.5051242392233791,19.148936170212767,39.00709219858156,2,5,0.4,2026-02:0.528;2026-03:0.360;2026-04:0.496;2026-05:0.489;2026-06:0.641
SECOND,pref_gh_p1_straight,PRIOR_EXHIBITION,705,141,low,0.5048538805895075,19.858156028368793,43.262411347517734,3,5,0.6,2026-02:0.483;2026-03:0.602;2026-04:0.538;2026-05:0.547;2026-06:0.362
SECOND,pref_vh_delta_overall,PRIOR_EXHIBITION,705,141,high,0.5029802323826769,29.078014184397162,42.5531914893617,2,5,0.4,2026-02:0.495;2026-03:0.508;2026-04:0.495;2026-05:0.438;2026-06:0.608
SECOND,pref_vh_delta_turn,PRIOR_EXHIBITION,705,141,low,0.501942809717821,22.69503546099291,42.5531914893617,3,5,0.6,2026-02:0.513;2026-03:0.495;2026-04:0.525;2026-05:0.544;2026-06:0.415
SECOND,v93_motor,V93_BASE_CONTEXT,705,141,low,0.5012008953271968,24.113475177304963,39.00709219858156,4,5,0.8,2026-02:0.532;2026-03:0.516;2026-04:0.517;2026-05:0.417;2026-06:0.573
SECOND,pref_vh_p2_straight,PRIOR_EXHIBITION,705,141,high,0.5008488003621547,21.98581560283688,47.5177304964539,3,5,0.6,2026-02:0.541;2026-03:0.369;2026-04:0.493;2026-05:0.521;2026-06:0.575
SECOND,pref_vh_p1_display,PRIOR_EXHIBITION,705,141,low,0.5008110759016147,22.69503546099291,40.42553191489362,2,5,0.4,2026-02:0.437;2026-03:0.499;2026-04:0.534;2026-05:0.650;2026-06:0.363
THIRD,v93_rank,V93_BASE_CONTEXT,705,141,low,0.624113475177305,31.20567375886525,51.06382978723404,5,5,1.0,2026-02:0.565;2026-03:0.685;2026-04:0.543;2026-05:0.611;2026-06:0.705
THIRD,v93_national,V93_BASE_CONTEXT,705,141,high,0.6132048186710929,30.49645390070922,51.773049645390074,5,5,1.0,2026-02:0.593;2026-03:0.618;2026-04:0.576;2026-05:0.560;2026-06:0.717
THIRD,v93_score,V93_BASE_CONTEXT,705,141,high,0.612167396006237,31.20567375886525,51.06382978723404,5,5,1.0,2026-02:0.571;2026-03:0.634;2026-04:0.557;2026-05:0.580;2026-06:0.723
