month,feature,beta
2026-06,t_cur_orig_lap__abs4,-0.187577771360463
2026-06,t_cur_orig_turn__vs4,-0.07409576284093712
2026-06,t_cur_orig_turn__abs4,0.10279337953055376
2026-06,t_cur_orig_straight__vs4,0.40419124360578734
2026-06,t_cur_orig_straight__abs4,-0.0624727295867389
2026-06,t_cur_orig_avg__vs4,-0.13921470152361293
2026-06,t_cur_orig_avg__abs4,0.14534600303904327
2026-06,t_h4_attack_x_is_inner123,0.2802757783243322
2026-06,t_h4_attack_x_is_outer56,-0.2806499070697499
2026-06,t_h4_attack_x_is_inner_edge3,0.15980072547244129
2026-06,t_h4_attack_x_is_outer_edge5,0.3595829643545396
2026-06,t_h4_attack_x_cur_orig_lap,-0.4965424613415803
2026-06,t_h4_attack_x_cur_orig_turn,0.33595067773810733
2026-06,t_h4_attack_x_cur_orig_straight,-0.8747828902012165
2026-06,t_h4_attack_x_cur_st,0.8969692236353566
2026-06,pair_same_side4,0.180118996299642
2026-06,pair_second_inner,-1.2523416367821157e-15
2026-06,pair_second_outer,1.2523416367821157e-15
2026-06,pair_third_inner,-0.0809895214289782
2026-06,pair_third_outer,0.0809895214289761
2026-06,pair_adjacent,0.18046667049160134
2026-06,pair_distance,0.24183539343088298
2026-06,pair_third_minus_second,0.02130818450480905
2026-06,pair_second_is1,1.1732731245903844e-15
2026-06,pair_second_is2,-1.0786075911666612e-15
2026-06,pair_second_is3,1.0930191737872737e-16
2026-06,pair_second_is5,-3.971939258343476e-16
2026-06,pair_second_is6,7.322522141054809e-16
