pre_cut,post_cut,n,R,head4_rate_pct,trifecta_hits,trifecta_hit_rate_pct,avg_comp_odds,cost_yen,return_yen,profit_yen,roi_pct,R_feb_jun,roi_feb_jun_pct,hit_feb_jun_pct
0.38,0.35,4,26,57.692307692307686,7,26.923076923076923,4.956784444957713,260000,263470.0,3470.0,101.33461538461539,18,94.69444444444444,22.22222222222222
0.38,0.35,5,26,57.692307692307686,8,30.76923076923077,4.18479373891665,260000,276140.0,16140.0,106.20769230769231,18,107.45555555555555,27.77777777777778
0.38,0.35,6,26,57.692307692307686,9,34.61538461538461,3.661354870168833,260000,281490.0,21490.0,108.26538461538462,18,96.2388888888889,27.77777777777778
0.38,0.35,7,26,57.692307692307686,10,38.46153846153847,3.3526843768281824,260000,298800.0,38800.0,114.92307692307692,18,107.15555555555555,33.33333333333333
0.38,0.35,8,26,57.692307692307686,11,42.30769230769231,3.0580847640501565,260000,300150.0,40150.0,115.4423076923077,18,92.33888888888889,33.33333333333333
0.38,0.35,9,26,57.692307692307686,11,42.30769230769231,2.880380437502109,260000,288020.0,28020.0,110.77692307692308,18,87.85555555555555,33.33333333333333
0.38,0.35,10,26,57.692307692307686,11,42.30769230769231,2.6975346541509833,260000,261480.0,1480.0,100.56923076923077,18,78.67777777777778,33.33333333333333
0.38,0.35,11,26,57.692307692307686,13,50.0,2.50741868187531,260000,293630.0,33630.0,112.93461538461538,18,98.36111111111111,44.44444444444444
0.38,0.35,12,26,57.692307692307686,13,50.0,2.364876767033366,260000,288780.0,28780.0,111.06923076923077,18,96.96666666666667,44.44444444444444
0.38,0.35,13,26,57.692307692307686,14,53.84615384615385,2.2550116036439034,260000,313880.0,53880.0,120.72307692307692,18,92.5111111111111,44.44444444444444
0.38,0.35,14,26,57.692307692307686,14,53.84615384615385,2.1521688408669433,260000,291710.0,31710.0,112.19615384615385,18,87.63888888888889,44.44444444444444
0.38,0.35,15,26,57.692307692307686,15,57.692307692307686,2.0911393155142495,260000,316350.0,56350.0,121.67307692307692,18,101.32777777777778,50.0
0.38,0.35,16,26,57.692307692307686,15,57.692307692307686,2.0457530833434476,260000,309310.0,49310.0,118.96538461538462,18,97.41666666666667,50.0
0.38,0.35,17,26,57.692307692307686,15,57.692307692307686,2.003311606775933,260000,301420.0,41420.0,115.93076923076923,18,94.76666666666667,50.0
0.38,0.35,18,26,57.692307692307686,15,57.692307692307686,1.9464549075600874,260000,292810.0,32810.0,112.61923076923077,18,91.66111111111111,50.0
0.38,0.35,19,26,57.692307692307686,15,57.692307692307686,1.9156103658264625,260000,289190.0,29190.0,111.22692307692307,18,91.66111111111111,50.0
0.38,0.35,20,26,57.692307692307686,15,57.692307692307686,1.8848958009781105,260000,279370.0,19370.0,107.45,18,87.88333333333334,50.0
0.38,0.38,2,22,59.09090909090909,5,22.727272727272727,9.958347483711188,220000,392990.0,172990.0,178.63181818181818,15,129.92666666666668,20.0
0.38,0.38,3,22,59.09090909090909,6,27.27272727272727,6.43773723015388,220000,289920.0,69920.0,131.78181818181818,15,103.52,20.0
0.38,0.38,4,22,59.09090909090909,6,27.27272727272727,4.893503918806719,220000,218470.0,-1530.0,99.30454545454545,15,83.63333333333334,20.0
0.38,0.38,5,22,59.09090909090909,7,31.818181818181817,4.0933478659583935,220000,235640.0,15640.0,107.10909090909091,15,101.94666666666667,26.666666666666668
0.38,0.38,6,22,59.09090909090909,8,36.36363636363637,3.553626903097977,220000,245490.0,25490.0,111.58636363636364,15,91.48666666666666,26.666666666666668
0.38,0.38,7,22,59.09090909090909,9,40.909090909090914,3.2265037238050684,220000,265050.0,45050.0,120.47727272727273,15,106.08666666666667,33.33333333333333
0.38,0.38,8,22,59.09090909090909,10,45.45454545454545,2.924841830502096,220000,270900.0,50900.0,123.13636363636364,15,91.30666666666667,33.33333333333333
0.38,0.38,9,22,59.09090909090909,10,45.45454545454545,2.7499792280392175,220000,258770.0,38770.0,117.62272727272727,15,85.92666666666666,33.33333333333333
0.38,0.38,10,22,59.09090909090909,10,45.45454545454545,2.5783960547568605,220000,234480.0,14480.0,106.58181818181818,15,76.41333333333333,33.33333333333333
0.38,0.38,11,22,59.09090909090909,12,54.54545454545454,2.4422393896725296,220000,268880.0,48880.0,122.21818181818182,15,101.53333333333333,46.666666666666664
0.38,0.38,12,22,59.09090909090909,12,54.54545454545454,2.3316884281580617,220000,264030.0,44030.0,120.01363636363637,15,99.86,46.666666666666664
0.38,0.38,13,22,59.09090909090909,12,54.54545454545454,2.23527429960126,220000,255140.0,35140.0,115.97272727272727,15,96.01333333333334,46.666666666666664
0.38,0.38,14,22,59.09090909090909,12,54.54545454545454,2.132061997692762,220000,235990.0,15990.0,107.26818181818182,15,90.16666666666667,46.666666666666664
0.38,0.38,15,22,59.09090909090909,13,59.09090909090909,2.067810727184569,220000,260630.0,40630.0,118.46818181818182,15,106.59333333333333,53.333333333333336
0.38,0.38,16,22,59.09090909090909,13,59.09090909090909,2.020396752764636,220000,255840.0,35840.0,116.2909090909091,15,103.4,53.333333333333336
0.38,0.38,17,22,59.09090909090909,13,59.09090909090909,1.9798556831426757,220000,247950.0,27950.0,112.70454545454545,15,100.22,53.333333333333336
0.38,0.38,18,22,59.09090909090909,13,59.09090909090909,1.9272656657688048,220000,242360.0,22360.0,110.16363636363636,15,96.49333333333334,53.333333333333336
0.38,0.38,19,22,59.09090909090909,13,59.09090909090909,1.896240622280965,220000,238740.0,18740.0,108.51818181818182,15,96.49333333333334,53.333333333333336
0.38,0.38,20,22,59.09090909090909,13,59.09090909090909,1.8659334411504909,220000,234190.0,14190.0,106.45,15,93.46,53.333333333333336
0.38,0.4,2,20,55.00000000000001,3,15.0,9.810335234867823,200000,164560.0,-35440.0,82.28,14,77.25714285714285,14.285714285714285
0.38,0.4,3,20,55.00000000000001,4,20.0,6.45288292490896,200000,163440.0,-36560.0,81.72,14,62.614285714285714,14.285714285714285
0.38,0.4,4,20,55.00000000000001,4,20.0,4.925641064987294,200000,127780.0,-72220.0,63.89,14,52.857142857142854,14.285714285714285
0.38,0.4,5,20,55.00000000000001,5,25.0,4.122716163182702,200000,160310.0,-39690.0,80.155,14,78.77857142857142,21.428571428571427
0.38,0.4,6,20,55.00000000000001,6,30.0,3.5934896312312774,200000,182580.0,-17420.0,91.29,14,71.77142857142857,21.428571428571427
0.38,0.4,7,20,55.00000000000001,7,35.0,3.2587880743761404,200000,206550.0,6550.0,103.275,14,90.56428571428572,28.57142857142857
0.38,0.4,8,20,55.00000000000001,8,40.0,2.963573404367987,200000,219750.0,19750.0,109.875,14,79.97857142857143,28.57142857142857
