model,score,rule,cut,R,heads,head_rate,wilson_lo,wilson_hi,months_covered,worst_month_head_rate,min_month_R
LR_V109_FULL_POST,p_raw,>=0.800,0.8,1869,1536,0.8218298555377207,0.8038268730832299,0.8385126022279983,5,0.7880299251870324,249
LR_V109_FULL_POST,p_raw,>=0.820,0.82,1302,1093,0.8394777265745008,0.8185438620805485,0.8584142740153455,5,0.7900355871886121,175
LR_V109_FULL_POST,p_raw,>=0.840,0.84,821,696,0.8477466504263094,0.8215560134818108,0.8706982299171321,5,0.7840909090909091,104
LR_V109_FULL_POST,p_raw,>=0.860,0.86,467,399,0.854389721627409,0.8195082331184517,0.883488484352113,5,0.8103448275862069,58
LR_V109_FULL_POST,p_raw,>=0.880,0.88,221,185,0.8371040723981901,0.7827346844803535,0.8799544867317228,5,0.7647058823529411,24
LR_V109_FULL_POST,p_raw,>=0.900,0.9,88,74,0.8409090909090909,0.7504987505642383,0.9028009767096988,5,0.7083333333333334,10
LR_V109_FULL_POST,p_raw,>=0.920,0.92,20,17,0.85,0.6395811352592431,0.9476312541037835,5,0.5,2
LR_V109_FULL_POST,p_raw,>=0.940,0.94,2,2,1.0,0.34238022750665303,1.0,1,1.0,2
LR_V109_FULL_POST,p_raw,>=0.950,0.95,1,1,1.0,0.20654931437723745,1.0,1,1.0,1
LR_V109_FULL_POST,p_raw,>=0.960,0.96,0,0,,,,0,,0
LR_V109_FULL_POST,p_raw,>=0.970,0.97,0,0,,,,0,,0
LR_V109_FULL_POST,p_raw,>=0.980,0.98,0,0,,,,0,,0
LR_V109_FULL_POST,p_cal,>=0.700,0.7,6035,4587,0.76006628003314,0.7491289065372239,0.770672784135577,5,0.7466442953020134,1037
LR_V109_FULL_POST,p_cal,>=0.750,0.75,3930,3092,0.7867684478371502,0.773685972829579,0.7992908549340177,5,0.7691292875989446,660
LR_V109_FULL_POST,p_cal,>=0.800,0.8,2110,1728,0.818957345971564,0.8019527765247092,0.8348026406724394,5,0.7913486005089059,333
LR_V109_FULL_POST,p_cal,>=0.820,0.82,1500,1252,0.8346666666666667,0.8150171643349838,0.8526064033696413,5,0.7890909090909091,232
LR_V109_FULL_POST,p_cal,>=0.840,0.84,981,833,0.8491335372069317,0.825376574938441,0.8701668486906358,5,0.7816091954022989,161
LR_V109_FULL_POST,p_cal,>=0.860,0.86,594,509,0.8569023569023569,0.8264458892171116,0.8827722383386207,5,0.8155339805825242,91
LR_V109_FULL_POST,p_cal,>=0.880,0.88,305,257,0.8426229508196721,0.7975250884066476,0.8791975277798674,5,0.7647058823529411,50
LR_V109_FULL_POST,p_cal,>=0.900,0.9,120,102,0.85,0.775324706432755,0.9029618770741527,5,0.7142857142857143,13
LR_V109_FULL_POST,p_cal,>=0.920,0.92,36,29,0.8055555555555556,0.6497195700482261,0.9024690458107127,5,0.625,2
LR_V109_FULL_POST,p_cal,>=0.940,0.94,5,5,1.0,0.5655175352168251,1.0,3,1.0,1
LR_V109_FULL_POST,p_cal,>=0.950,0.95,2,2,1.0,0.34238022750665303,1.0,1,1.0,2
LR_V109_FULL_POST,p_cal,>=0.960,0.96,1,1,1.0,0.20654931437723745,1.0,1,1.0,1
LR_V109_FULL_POST,p_cal,>=0.970,0.97,0,0,,,,0,,0
LR_V109_FULL_POST,p_cal,>=0.980,0.98,0,0,,,,0,,0
