date,month,race_code,layer,model,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,tickets
2026-05-05,2026-05,202605050702,S,v283,6,4,5,2,1,0,0.0,-10000.0,2.959793990130931,4-2-6|4-2-1|4-1-6|4-1-2|4-2-5|4-1-5
2026-05-05,2026-05,202605050702,S,v283,8,4,5,2,1,0,0.0,-10000.0,2.643782314858979,4-2-6|4-2-1|4-1-6|4-1-2|4-2-5|4-1-5|4-2-3|4-5-6
2026-05-05,2026-05,202605050702,S,v283,10,4,5,2,1,0,0.0,-10000.0,2.4122160137309185,4-2-6|4-2-1|4-1-6|4-1-2|4-2-5|4-1-5|4-2-3|4-5-6|4-6-1|4-1-3
2026-05-05,2026-05,202605050702,S,v284,4,4,5,2,1,0,0.0,-10000.0,4.939183476265249,4-2-1|4-2-5|4-1-5|4-1-6
2026-05-05,2026-05,202605050702,S,v284,6,4,5,2,1,0,0.0,-10000.0,2.959793990130931,4-2-1|4-2-5|4-1-5|4-1-6|4-2-6|4-1-2
2026-05-05,2026-05,202605050702,S,v284,8,4,5,2,1,0,0.0,-10000.0,2.643782314858979,4-2-1|4-2-5|4-1-5|4-1-6|4-2-6|4-1-2|4-2-3|4-5-6
2026-05-05,2026-05,202605050702,S,v284,10,4,5,2,1,0,0.0,-10000.0,2.406200140919049,4-2-1|4-2-5|4-1-5|4-1-6|4-2-6|4-1-2|4-2-3|4-5-6|4-6-2|4-1-3
2026-05-05,2026-05,202605050904,S,v283,4,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v283,6,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v283,8,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v283,10,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v284,4,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v284,6,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v284,8,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605050904,S,v284,10,1,3,5,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v283,4,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v283,6,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v283,8,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v283,10,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v284,4,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v284,6,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v284,8,2,4,1,0,0,0.0,-10000.0,,
2026-05-05,2026-05,202605051303,S,v284,10,2,4,1,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v283,4,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v283,6,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v283,8,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v283,10,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v284,4,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v284,6,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v284,8,1,4,6,0,0,0.0,-10000.0,,
2026-05-09,2026-05,202605091805,S,v284,10,1,4,6,0,0,0.0,-10000.0,,
2026-05-10,2026-05,202605102010,A,v283,4,1,4,2,0,0,0.0,-10000.0,,
