scope,family,nparam,floor,conf,base_R,base_roi_pct,added_R,added_roi_pct,added_profit_yen,R,roi_pct,profit_yen,head_rate_pct,hit_rate_pct,min_added_month_R,min_added_month_roi_pct,min_combined_month_roi_pct
S+A,P2R_FIXED,2,6.5,2.0,28,310.98214285714283,15,110.46,15690.0,43,241.03255813953487,606440.0,51.162790697674424,25.581395348837212,3,0.0,147.81333333333333
S+A,JM4_FIXED,2,6.5,0.3,28,310.98214285714283,40,58.905,-164380.0,68,162.70147058823528,426370.0,41.17647058823529,17.647058823529413,11,0.0,92.38333333333334
S+A,JM4_FIXED,2,6.5,0.35,28,310.98214285714283,29,81.24827586206897,-54380.0,57,194.1,536370.0,42.10526315789473,21.052631578947366,8,0.0,138.575
S+A,JM4_FIXED,2,6.5,0.4,28,310.98214285714283,12,64.28333333333333,-42860.0,40,236.9725,547890.0,52.5,25.0,2,0.0,133.17
S+A,JM4_FIXED,2,6.5,0.45,28,310.98214285714283,2,0.0,-20000.0,30,290.25,570750.0,60.0,30.0,0,0.0,160.12
S+A,JM4_FIXED,2,6.5,0.5,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,JM4_FIXED,2,6.5,0.55,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.5,0.7,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.5,0.75,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.5,0.8,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.5,0.85,28,310.98214285714283,0,,0.0,28,310.98214285714283,590750.0,64.28571428571429,32.142857142857146,0,,166.4625
S+A,ENT_FIXED,2,6.5,0.9,28,310.98214285714283,2,0.0,-20000.0,30,290.25,570750.0,60.0,30.0,0,0.0,160.12
S+A,P2R_FIXED,2,7.0,1.25,28,310.98214285714283,29,57.13448275862069,-124310.0,57,181.83157894736843,466440.0,45.614035087719294,19.298245614035086,8,0.0,116.69473684210526
S+A,P2R_FIXED,2,7.0,1.5,28,310.98214285714283,22,75.31363636363636,-54310.0,50,207.288,536440.0,48.0,22.0,6,0.0,123.17777777777778
S+A,P2R_FIXED,2,7.0,1.75,28,310.98214285714283,17,97.46470588235294,-4310.0,45,230.32,586440.0,51.11111111111111,24.444444444444443,3,0.0,138.575
S+A,P2R_FIXED,2,7.0,2.0,28,310.98214285714283,14,118.35,25690.0,42,246.77142857142857,616440.0,52.38095238095239,26.190476190476193,3,0.0,158.37142857142857
S+A,JM4_FIXED,2,7.0,0.3,28,310.98214285714283,37,44.78108108108108,-204310.0,65,159.4523076923077,386440.0,41.53846153846154,16.923076923076923,10,0.0,96.4
