combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,period,race_code,return,stake,train_pair_count
3-4-6,0.009891207600775113,2026-08-26,0.3313554546259663,0,0.039904900871671374,3攻め頭,33.5,0.049345515041986615,latest_month,202608261301,0,700,2
3-1-5,0.050551591625900276,2026-08-26,1.0363076283309556,0,0.08507578100110068,3攻め頭,20.5,0.18469374995763416,latest_month,202608261503,0,1800,8
3-1-2,0.034682758748120886,2026-08-26,0.5063682777225649,0,0.11945571989880574,3攻め頭,14.6,0.126715867216818,latest_month,202608261503,0,1200,5
3-1-4,0.019660611475091013,2026-08-26,0.7294086857258766,0,0.04700952858551385,3攻め頭,37.1,0.07183140912093852,latest_month,202608261503,0,700,3
3-4-1,0.018331249391255022,2026-08-26,1.7304699425344743,0,0.018475143119942413,3攻め頭,94.4,0.06697449244594765,latest_month,202608261503,0,700,3
3-6-2,0.014990726322936137,2026-08-26,0.3642746496473481,0,0.07177174940422074,3攻め頭,24.3,0.05476965947305885,latest_month,202608261503,0,600,2
5-1-6,0.005586793843189139,2026-08-26,1.550335291484986,0,0.032131000801909095,5まくり差し,277.5,0.11427709149229749,latest_month,202608261507,0,500,1
5-3-4,0.0053153126520442545,2026-08-26,1.9347738053441086,0,0.024495474512444434,5まくり差し,364.0,0.10872398146359592,latest_month,202608261507,0,400,1
5-3-6,0.005247570673790162,2026-08-26,2.0712161449449766,0,0.022590201982593802,5まくり差し,394.7,0.10733832871461366,latest_month,202608261507,0,400,1
5-2-3,0.0051050077941684055,2026-08-26,0.317020984017858,0,0.14358055913896575,5まくり差し,62.1,0.1044222248283387,latest_month,202608261507,0,400,0
5-1-2,0.00440306922247025,2026-08-26,0.31702098401785794,0,0.12383823225735796,5まくり差し,72.0,0.09006416891444213,latest_month,202608261507,0,400,0
5-2-1,0.0039283888973712265,2026-08-26,0.317020984017858,0,0.11048764216269855,5まくり差し,80.7,0.08035464884559892,latest_month,202608261507,0,400,0
5-3-2,0.0035862102264463576,2026-08-26,0.31702098401785805,0,0.10086371858065354,5まくり差し,88.4,0.07335543169502075,latest_month,202608261507,0,300,0
5-1-3,0.0035421338996408716,2026-08-26,0.317020984017858,0,0.0996240527656958,5まくり差し,89.5,0.07245385655686966,latest_month,202608261507,0,300,0
5-3-1,0.002670774928541348,2026-08-26,0.317020984017858,0,0.07511670364389025,5まくり差し,118.7,0.05463032992282926,latest_month,202608261507,0,300,0
5-2-4,0.0016747014475322662,2026-08-26,0.317020984017858,0,0.04710170482054819,5まくり差し,189.3,0.034255785324035046,latest_month,202608261507,0,200,0
5-2-6,0.0014820990370166339,2026-08-26,0.317020984017858,0,0.04168467845969973,5まくり差し,213.9,0.030316129788872527,latest_month,202608261507,0,200,0
5-1-4,0.0013576915803762658,2026-08-26,0.31702098401785805,0,0.038185664764581476,5まくり差し,233.5,0.02777139255605925,latest_month,202608261507,0,200,0
5-4-1,0.000803194791025736,2026-08-26,0.317020984017858,0,0.022590201982593802,5まくり差し,394.7,0.016429237805522762,latest_month,202608261507,0,200,0
5-4-2,0.000803194791025736,2026-08-26,0.317020984017858,0,0.022590201982593802,5まくり差し,394.7,0.016429237805522762,latest_month,202608261507,0,200,0
5-4-3,0.000610830412365815,2026-08-26,0.317020984017858,0,0.017179870370962955,5まくり差し,519.0,0.012494451178882145,latest_month,202608261507,0,100,0
5-6-3,0.00057682129552012,2026-08-26,0.317020984017858,0,0.016223349204020694,5まくり差し,549.6,0.011798799421105956,latest_month,202608261507,0,100,0
5-6-1,0.0005542324895417099,2026-08-26,0.31702098401785805,0,0.015588029235191913,5まくり差し,572.0,0.011336748534685026,latest_month,202608261507,0,100,0
5-6-4,0.0005542324895417099,2026-08-26,0.31702098401785805,0,0.015588029235191913,5まくり差し,572.0,0.011336748534685026,latest_month,202608261507,0,100,0
5-4-6,0.0005429371194003392,2026-08-26,0.31702098401785805,0,0.015270342049203245,5まくり差し,583.9,0.011105703308511449,latest_month,202608261507,0,100,0
5-6-2,0.0005429371194003392,2026-08-26,0.31702098401785805,0,0.015270342049203245,5まくり差し,583.9,0.011105703308511449,latest_month,202608261507,0,100,0
3-1-5,0.04749007780726433,2026-08-26,4.1601308159163555,0,0.02303713813276045,3攻め頭,87.6,0.17413398095876773,latest_month,202608261706,0,1200,8
