policy,month,cut,switch,races,head3,head_rate,hits,hit_rate,coverage,investment,return_yen,roi
p3>=0.30_7to10@0.35,2026-07,0.3,0.35,87,26,29.885057471264368,19,21.839080459770116,73.07692307692308,70800,78760.0,111.24293785310735
p3>=0.30_7to10@0.35,2026-08,0.3,0.35,110,48,43.63636363636363,29,26.363636363636363,60.416666666666664,88000,88750.0,100.85227272727273
p3>=0.30_7to10@0.40,2026-06,0.3,0.4,73,30,41.0958904109589,15,20.54794520547945,50.0,54400,32290.0,59.356617647058826
p3>=0.30_7to10@0.40,2026-07,0.3,0.4,87,26,29.885057471264368,19,21.839080459770116,73.07692307692308,63900,78760.0,123.25508607198748
p3>=0.30_7to10@0.40,2026-08,0.3,0.4,110,48,43.63636363636363,27,24.545454545454547,56.25,79000,68960.0,87.29113924050633
p3>=0.30_7to10@0.45,2026-06,0.3,0.45,73,30,41.0958904109589,15,20.54794520547945,50.0,52300,32290.0,61.73996175908222
p3>=0.30_7to10@0.45,2026-07,0.3,0.45,87,26,29.885057471264368,19,21.839080459770116,73.07692307692308,61200,78760.0,128.69281045751634
p3>=0.30_7to10@0.45,2026-08,0.3,0.45,110,48,43.63636363636363,27,24.545454545454547,56.25,77500,68960.0,88.98064516129033
p3>=0.30_7to10@0.50,2026-06,0.3,0.5,73,30,41.0958904109589,15,20.54794520547945,50.0,51700,32290.0,62.456479690522244
p3>=0.30_7to10@0.50,2026-07,0.3,0.5,87,26,29.885057471264368,19,21.839080459770116,73.07692307692308,61200,78760.0,128.69281045751634
p3>=0.30_7to10@0.50,2026-08,0.3,0.5,110,48,43.63636363636363,27,24.545454545454547,56.25,76600,68960.0,90.0261096605744
p3>=0.35_7pt,2026-06,0.35,,25,10,40.0,7,28.0,70.0,17500,13030.0,74.45714285714286
p3>=0.35_7pt,2026-07,0.35,,33,10,30.303030303030305,8,24.242424242424242,80.0,23100,22040.0,95.41125541125541
p3>=0.35_7pt,2026-08,0.35,,40,17,42.5,9,22.5,52.94117647058823,27300,23200.0,84.98168498168498
p3>=0.35_10pt,2026-06,0.35,,25,10,40.0,7,28.0,70.0,25000,13030.0,52.12
p3>=0.35_10pt,2026-07,0.35,,33,10,30.303030303030305,8,24.242424242424242,80.0,33000,22040.0,66.78787878787878
p3>=0.35_10pt,2026-08,0.35,,40,17,42.5,11,27.5,64.70588235294117,39000,42990.0,110.23076923076923
p3>=0.35_7to10@0.40,2026-06,0.35,0.4,25,10,40.0,7,28.0,70.0,20800,13030.0,62.64423076923077
p3>=0.35_7to10@0.40,2026-07,0.35,0.4,33,10,30.303030303030305,8,24.242424242424242,80.0,26100,22040.0,84.44444444444444
p3>=0.35_7to10@0.40,2026-08,0.35,0.4,40,17,42.5,9,22.5,52.94117647058823,30000,23200.0,77.33333333333333
p3>=0.35_7to10@0.45,2026-06,0.35,0.45,25,10,40.0,7,28.0,70.0,18700,13030.0,69.67914438502673
p3>=0.35_7to10@0.45,2026-07,0.35,0.45,33,10,30.303030303030305,8,24.242424242424242,80.0,23400,22040.0,94.1880341880342
p3>=0.35_7to10@0.45,2026-08,0.35,0.45,40,17,42.5,9,22.5,52.94117647058823,28500,23200.0,81.40350877192982
p3>=0.35_7to10@0.50,2026-06,0.35,0.5,25,10,40.0,7,28.0,70.0,18100,13030.0,71.98895027624309
p3>=0.35_7to10@0.50,2026-07,0.35,0.5,33,10,30.303030303030305,8,24.242424242424242,80.0,23400,22040.0,94.1880341880342
p3>=0.35_7to10@0.50,2026-08,0.35,0.5,40,17,42.5,9,22.5,52.94117647058823,27600,23200.0,84.05797101449275
p3>=0.40_7pt,2026-06,0.4,,11,6,54.54545454545455,4,36.36363636363637,66.66666666666667,7700,9600.0,124.67532467532467
p3>=0.40_7pt,2026-07,0.4,,10,4,40.0,3,30.0,75.0,7000,5800.0,82.85714285714286
p3>=0.40_7pt,2026-08,0.4,,9,4,44.44444444444444,2,22.22222222222222,50.0,6300,2450.0,38.888888888888886
p3>=0.40_10pt,2026-06,0.4,,11,6,54.54545454545455,4,36.36363636363637,66.66666666666667,11000,9600.0,87.27272727272727
p3>=0.40_10pt,2026-07,0.4,,10,4,40.0,3,30.0,75.0,10000,5800.0,58.0
p3>=0.40_10pt,2026-08,0.4,,9,4,44.44444444444444,2,22.22222222222222,50.0,9000,2450.0,27.22222222222222
p3>=0.40_7to10@0.45,2026-06,0.4,0.45,11,6,54.54545454545455,4,36.36363636363637,66.66666666666667,8900,9600.0,107.86516853932584
p3>=0.40_7to10@0.45,2026-07,0.4,0.45,10,4,40.0,3,30.0,75.0,7300,5800.0,79.45205479452055
p3>=0.40_7to10@0.45,2026-08,0.4,0.45,9,4,44.44444444444444,2,22.22222222222222,50.0,7500,2450.0,32.666666666666664
p3>=0.40_7to10@0.50,2026-06,0.4,0.5,11,6,54.54545454545455,4,36.36363636363637,66.66666666666667,8300,9600.0,115.66265060240964
p3>=0.40_7to10@0.50,2026-07,0.4,0.5,10,4,40.0,3,30.0,75.0,7300,5800.0,79.45205479452055
p3>=0.40_7to10@0.50,2026-08,0.4,0.5,9,4,44.44444444444444,2,22.22222222222222,50.0,6600,2450.0,37.121212121212125
