actual_combo,actual_rank20,actual_second_rank,actual_third_rank,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,has_orig,has_stt,has_tkz,head,head_hit,history_adjust_online,history_pct_online,kimarite,model,payout100,period_v88,period_v89,preview_comp,production_buy,race_code,ranked_others,relative_deg,relative_wind,route_hit,score,score_v88,score_v89,score_wind_v83,ticket20_hit,ticket6_hit,tickets20_display,tickets6,tilt,tilt_bonus,valid_payout,valid_result,venue_code_v83,venue_dash_adj_v88,venue_dash_diff_pt_v88,venue_dash_feature_v88,venue_dash_global_rate_v88,venue_dash_shrunk_rate_v88,venue_dash_venue_n_v88,venue_dash_window_days_v88,venue_strength_bucket_v89,venue_v83,wind_adjust_points,wind_bin,wind_bucket_n_v89,wind_bucket_rate_v89,wind_cell,wind_cell_n_v89,wind_cell_shrunk_rate_v89,wind_class_old_only,wind_code,wind_interaction_adj_v89,wind_interaction_cell_v89,wind_interaction_lift_pt_v89,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
4-2-5,14,3,4,1,1,0,0,2026-02-07,1,4,1,backfill,same,A,1,1,1,4,1,-1.9824,0.0044,まくり,4カドまくり,6020,prior7,prior7,0.675,0,202602070111,6-1-2-5-3,270,左横,1,64.3276,65.223,65.223,66.3276,1,0,4-6-1;4-1-6;4-6-2;4-2-6;4-6-5;4-1-2;4-2-1;4-6-3;4-5-6;4-1-5;4-5-1;4-1-3;4-3-6;4-2-5;4-5-2;4-3-1;4-2-3;4-3-2;4-5-3;4-3-5,4-6-1;4-6-2;4-6-5;4-1-6;4-1-2;4-1-5,-0.5,-1.19,1,1,1,0.896,1.792,4attack,0.075641,0.093557,648,180,strong,桐生,2.0,3-4m,30,0.233333,左横_3-4m,1,0.0,favorable,1,0.0,strong|左横_3-4m,0.0,32.6087,9.0373,23.5714,46,backfill,3.0,4
1-3-2,0,3,2,1,1,1,1,2026-02-07,1,4,1,backfill,same,S,1,1,1,4,0,1.9121,0.978,逃げ,4カドまくり,710,prior7,prior7,0.723,0,202602071109,1-2-3-6-5,0,追い,0,77.2121,77.64,76.854,75.2121,0,0,4-1-2;4-2-1;4-1-3;4-3-1;4-1-6;4-2-3;4-3-2;4-1-5;4-6-1;4-2-6;4-6-2;4-2-5;4-5-1;4-3-6;4-6-3;4-5-2;4-3-5;4-5-3;4-6-5;4-5-6,4-1-2;4-1-3;4-1-6;4-2-1;4-2-3;4-2-6,0.5,3.0,1,1,11,0.428,0.855,4attack,0.075641,0.084194,504,180,neutral,びわこ,-2.0,0-2m,291,0.206186,追い_0-2m,49,0.166906,unfavorable,1,-0.786,neutral|追い_0-2m,-3.928,15.0,-8.5714,23.5714,100,backfill,2.0,1
1-4-2,0,0,2,0,0,0,0,2026-02-07,1,4,1,backfill,same,B,1,1,1,4,0,-1.8242,0.044,逃げ,4カドまくり,900,prior7,prior7,0.539,0,202602071206,6-2-1-5-3,0,追い,0,50.8858,50.681,49.895,48.8858,0,0,4-6-2;4-2-6;4-6-1;4-1-6;4-6-5;4-2-1;4-1-2;4-6-3;4-5-6;4-2-5;4-5-2;4-2-3;4-3-6;4-1-5;4-5-1;4-3-2;4-1-3;4-3-1;4-5-3;4-3-5,4-6-2;4-6-1;4-6-5;4-2-6;4-2-1;4-2-5,-0.5,-1.19,1,1,12,-0.204,-0.409,4attack,0.075641,0.071555,660,180,neutral,住之江,-2.0,0-2m,291,0.206186,追い_0-2m,49,0.166906,unfavorable,1,-0.786,neutral|追い_0-2m,-3.928,15.0,-8.5714,23.5714,100,backfill,0.0,1
1-4-6,0,0,1,1,1,0,0,2026-02-08,1,4,1,backfill,same,A,1,1,1,4,0,0.8646,0.7162,逃げ,4カドまくり,1090,prior7,prior7,0.672,0,202602080206,6-2-1-5-3,0,追い,0,66.8746,67.684,67.684,64.8746,0,0,4-6-2;4-2-6;4-6-1;4-1-6;4-6-5;4-2-1;4-1-2;4-6-3;4-5-6;4-2-5;4-5-2;4-2-3;4-3-6;4-1-5;4-5-1;4-3-2;4-1-3;4-3-1;4-5-3;4-3-5,4-6-2;4-6-1;4-6-5;4-2-6;4-2-1;4-2-5,-0.5,-1.19,1,1,2,0.809,1.618,4attack,0.075985,0.092164,696,180,strong,戸田,-2.0,0-2m,31,0.258065,追い_0-2m,8,0.0,unfavorable,1,0.0,strong|追い_0-2m,0.0,15.0,-8.5714,23.5714,100,backfill,0.0,1
1-5-4,0,3,0,0,0,0,0,2026-02-08,1,4,1,backfill,same,B,1,1,1,4,0,1.5808,0.8952,逃げ,4カドまくり,1480,prior7,prior7,0.389,0,202602081106,1-6-5-2-3,45,右横,0,40.4408,40.796,40.753,40.4408,0,0,4-1-6;4-6-1;4-1-5;4-5-1;4-1-2;4-6-5;4-5-6;4-1-3;4-2-1;4-6-2;4-2-6;4-6-3;4-3-1;4-5-2;4-2-5;4-3-6;4-5-3;4-3-5;4-2-3;4-3-2,4-1-6;4-1-5;4-1-2;4-6-1;4-6-5;4-6-2,0,-0.04,1,1,11,0.355,0.71,4attack,0.075985,0.083083,516,180,neutral,びわこ,0.0,0-2m,293,0.204778,右横_0-2m,25,0.202606,neutral,2,-0.043,neutral|右横_0-2m,-0.217,22.8571,-0.7143,23.5714,70,backfill,1.0,1
5-1-4,0,1,0,0,0,0,0,2026-02-08,1,4,1,backfill,same,B,1,1,1,4,0,-1.9651,0.0087,まくり差し,4カドまくり,35350,prior7,prior7,0.306,0,202602081110,1-6-2-5-3,0,追い,0,27.4449,27.8,26.95,25.4449,0,0,4-1-6;4-6-1;4-1-2;4-2-1;4-1-5;4-6-2;4-2-6;4-1-3;4-5-1;4-6-5;4-5-6;4-6-3;4-3-1;4-2-5;4-5-2;4-3-6;4-2-3;4-3-2;4-5-3;4-3-5,4-1-6;4-1-2;4-1-5;4-6-1;4-6-2;4-6-5,-0.5,-1.19,1,1,11,0.355,0.71,4attack,0.075985,0.083083,516,180,neutral,びわこ,-2.0,0-2m,293,0.204778,追い_0-2m,51,0.162264,unfavorable,1,-0.85,neutral|追い_0-2m,-4.251,15.0,-8.5714,23.5714,100,backfill,0.0,5
1-4-2,0,0,2,0,0,0,0,2026-02-08,1,4,1,backfill,same,B,1,1,1,4,0,0.6725,0.6681,逃げ,4カドまくり,570,prior7,prior7,0.359,0,202602082005,1-2-3-6-5,0,追い,0,35.3825,35.136,35.136,35.3825,0,0,4-1-2;4-2-1;4-1-3;4-3-1;4-1-6;4-2-3;4-3-2;4-1-5;4-6-1;4-2-6;4-6-2;4-2-5;4-5-1;4-3-6;4-6-3;4-5-2;4-3-5;4-5-3;4-6-5;4-5-6,4-1-2;4-1-3;4-1-6;4-2-1;4-2-3;4-2-6,-0.5,-1.19,1,1,20,-0.247,-0.494,4attack,0.075985,0.071048,612,180,neutral,若松,0.0,5m+,293,0.204778,追い_5m+,15,0.0,neutral,1,0.0,neutral|追い_5m+,0.0,19.3548,-4.2166,23.5714,31,backfill,5.0,1
1-4-3,0,0,5,0,0,0,0,2026-02-09,1,4,1,backfill,same,B,1,1,1,4,0,-1.5931,0.1017,逃げ,4カドまくり,1090,prior7,prior7,0.477,0,202602090207,1-5-2-6-3,90,右横,0,44.9169,45.822,45.822,44.9169,0,0,4-1-5;4-5-1;4-1-2;4-2-1;4-1-6;4-5-2;4-2-5;4-1-3;4-6-1;4-5-6;4-6-5;4-5-3;4-3-1;4-2-6;4-6-2;4-3-5;4-2-3;4-3-2;4-6-3;4-3-6,4-1-5;4-1-2;4-1-6;4-5-1;4-5-2;4-5-6,-0.5,-1.19,1,1,2,0.905,1.81,4attack,0.075922,0.094025,708,180,strong,戸田,0.0,0-2m,32,0.25,右横_0-2m,0,0.0,neutral,3,0.0,strong|右横_0-2m,0.0,22.8571,-0.7143,23.5714,70,backfill,2.0,1
1-4-2,0,0,2,0,0,0,0,2026-02-10,1,4,1,backfill,same,B,0,1,1,4,0,-1.4644,0.1339,逃げ,4カドまくり,1280,prior7,prior7,0.558,0,202602100303,1-2-3-5-6,160,向かい,0,54.2956,54.236,54.236,52.2956,0,0,4-1-2;4-2-1;4-1-3;4-3-1;4-1-5;4-2-3;4-3-2;4-1-6;4-5-1;4-2-5;4-5-2;4-2-6;4-6-1;4-3-5;4-5-3;4-6-2;4-3-6;4-6-3;4-5-6;4-6-5,4-1-2;4-1-3;4-1-5;4-2-1;4-2-3;4-2-5,0,-0.04,1,1,3,-0.06,-0.12,4attack,0.075662,0.074464,636,180,neutral,江戸川,-2.0,0-2m,296,0.202703,向かい_0-2m,18,0.0,unfavorable,1,0.0,neutral|向かい_0-2m,0.0,15.9091,-7.6623,23.5714,44,backfill,2.0,1
4-6-5,3,1,3,1,1,1,1,2026-02-10,1,4,1,backfill,same,S,1,1,1,4,1,0.6695,0.6674,まくり,4カドまくり,3150,prior7,prior7,0.685,0,202602101308,6-2-5-3-1,0,追い,1,67.9795,68.175,68.976,67.9795,1,1,4-6-2;4-2-6;4-6-5;4-5-6;4-6-3;4-2-5;4-5-2;4-6-1;4-3-6;4-2-3;4-3-2;4-2-1;4-1-6;4-5-3;4-3-5;4-1-2;4-5-1;4-1-5;4-3-1;4-1-3,4-6-2;4-6-5;4-6-3;4-2-6;4-2-5;4-2-3,-0.5,-1.19,1,1,13,0.195,0.39,4attack,0.075662,0.079567,488,180,neutral,尼崎,0.0,3-4m,296,0.202703,追い_3-4m,28,0.242777,neutral,1,0.801,neutral|追い_3-4m,4.007,22.2222,-1.3492,23.5714,81,backfill,3.0,4
