date,race_code,venue,venue_name,race,boat1_name,p109,grade,top7,entry_course,winner,head_hit,actual_combo,payout100,ticket7_hit,invest7,return7
2026-09-01,202609011301,13,尼崎,01,中野 孝二,0.46646138667654524,B,1-3-4;1-3-2;1-4-3;1-2-3;1-3-6;1-3-5;1-2-4,1,3,0,3-4-2,3030,0,700,0
2026-09-01,202609011302,13,尼崎,02,橋本 年光,0.4968798901792139,B,1-2-4;1-4-2;1-2-3;1-2-6;1-3-2;1-2-5;1-4-3,1,1,1,1-3-2,3530,1,700,3530
2026-09-01,202609011303,13,尼崎,03,成貞 琳平,0.2652492176780521,B,1-2-4;1-2-5;1-4-2;1-2-6;1-2-3;1-5-2;1-4-5,1,2,0,2-4-1,2150,0,700,0
2026-09-01,202609011304,13,尼崎,04,峰重 侑治,0.5353276778520554,B,1-6-3;1-3-6;1-6-2;1-2-6;1-2-3;1-3-2;1-6-4,1,3,0,3-2-4,13930,0,700,0
2026-09-01,202609011305,13,尼崎,05,奥平 拓也,0.3058925316764204,B,1-2-5;1-5-2;1-2-6;1-5-6;1-2-3;1-5-3;1-6-5,1,2,0,2-5-1,1020,0,700,0
2026-09-01,202609011306,13,尼崎,06,中野 希一,0.8119998338190348,S,1-4-5;1-4-3;1-5-4;1-3-4;1-4-6;1-4-2;1-3-5,1,4,0,4-1-5,3950,0,700,0
2026-09-01,202609011307,13,尼崎,07,木村 亮太,0.610538599762709,B,1-4-2;1-2-4;1-4-5;1-4-6;1-4-3;1-5-4;1-2-5,1,4,0,4-2-1,2660,0,700,0
2026-09-01,202609011308,13,尼崎,08,高橋 直哉,0.3250077375065761,B,1-5-3;1-3-5;1-5-6;1-5-4;1-5-2;1-3-6;1-3-4,1,4,0,4-1-2,30950,0,700,0
2026-09-01,202609011309,13,尼崎,09,久田 武,0.526956611485511,B,1-5-4;1-4-5;1-5-3;1-5-6;1-3-5;1-4-3;1-5-2,1,4,0,4-3-1,19280,0,700,0
2026-09-01,202609011310,13,尼崎,10,渡邉 英児,0.7855289559816517,S,1-2-3;1-3-2;1-2-5;1-2-4;1-3-5;1-5-2;1-3-4,1,1,1,1-2-5,1450,1,700,1450
2026-09-01,202609011311,13,尼崎,11,中 亮太,0.7639786931801374,S,1-4-3;1-3-4;1-4-5;1-3-5;1-4-2;1-4-6;1-5-4,1,1,1,1-4-3,530,1,700,530
2026-09-01,202609011312,13,尼崎,12,平田 忠則,0.7069725681378503,A,1-3-4;1-4-3;1-4-2;1-2-4;1-4-6;1-3-2;1-2-3,1,4,0,4-1-5,3690,0,700,0
2026-09-01,202609011601,16,児島,01,中村 日向,0.8635655620915249,S,1-3-6;1-6-3;1-3-4;1-4-3;1-6-4;1-3-2;1-3-5,1,1,1,1-3-4,610,1,700,610
2026-09-01,202609011602,16,児島,02,岡部 浩,0.30071657368483334,B,1-2-4;1-4-2;1-2-3;1-2-6;1-3-2;1-2-5;1-6-2,1,6,0,6-4-1,8070,0,700,0
