pre_cut,post_cut,target_comp,R,avg_n,avg_comp,hit_pct,roi_pct,profit_yen,R_feb_jun,roi_feb_jun_pct
0.15,0.28,15.0,136,2.1176470588235294,9.187416683993856,12.5,98.67058823529412,-18080.0,107,84.103738317757
0.15,0.29,10.0,121,2.5041322314049586,7.800461924392264,14.049586776859504,105.800826446281,70190.0,93,90.1268817204301
0.15,0.29,10.5,121,2.4214876033057853,8.014658376346317,14.049586776859504,109.97520661157024,120700.0,93,95.55806451612904
0.15,0.29,11.0,121,2.3801652892561984,8.1642286541747,14.049586776859504,109.97520661157024,120700.0,93,95.55806451612904
0.15,0.29,11.5,121,2.330578512396694,8.298034006818522,14.049586776859504,109.97520661157024,120700.0,93,95.55806451612904
0.15,0.29,12.0,121,2.28099173553719,8.465432715483567,14.049586776859504,111.60661157024794,140440.0,93,97.68064516129033
0.15,0.29,12.5,121,2.2479338842975207,8.542865832339192,14.049586776859504,111.60661157024794,140440.0,93,97.68064516129033
0.15,0.29,13.0,121,2.231404958677686,8.57537503223026,14.049586776859504,111.60661157024794,140440.0,93,97.68064516129033
0.15,0.29,13.5,121,2.190082644628099,8.724511312805326,13.223140495867769,103.09256198347107,37420.0,93,86.60322580645162
0.15,0.29,14.0,121,2.1818181818181817,8.766295927593733,13.223140495867769,103.09256198347107,37420.0,93,86.60322580645162
0.15,0.29,14.5,121,2.1404958677685952,8.961339452609016,13.223140495867769,106.79669421487603,82240.0,93,91.42258064516129
0.15,0.29,15.0,121,2.1074380165289255,9.114520144542663,13.223140495867769,106.79669421487603,82240.0,93,91.42258064516129
0.15,0.3,10.0,112,2.482142857142857,7.821975879753097,14.285714285714285,106.84553571428572,76670.0,87,86.74252873563218
0.15,0.3,10.5,112,2.4017857142857144,7.9742566079794255,14.285714285714285,111.35535714285714,127180.0,87,92.54827586206896
0.15,0.3,11.0,112,2.375,8.065876682996189,14.285714285714285,111.35535714285714,127180.0,87,92.54827586206896
0.15,0.3,11.5,112,2.330357142857143,8.17601149696004,14.285714285714285,111.35535714285714,127180.0,87,92.54827586206896
0.15,0.3,12.0,112,2.2767857142857144,8.356861887571382,14.285714285714285,113.11785714285715,146920.0,87,94.81724137931035
0.15,0.3,12.5,112,2.2410714285714284,8.440517308460048,14.285714285714285,113.11785714285715,146920.0,87,94.81724137931035
