month,date,race_code,p2_concentration,p2_top1,p2_top2mass,p2_ratio,p2_margin,p2_probs,nfeat2,calibration_domain,layer
2026-03,2026-03-13,202603131102,0.21150288802128236,0.5651912965339414,0.7093872842409905,3.9196048761231355,0.4209953088268923,1:0.565191296534|2:0.0660564664428|3:0.0932243178535|5:0.131331931463|6:0.144195987707,25,1,CAL
2026-03,2026-03-13,202603132206,0.07616556402899388,0.3340776403879443,0.626877098365663,1.1409776599155002,0.04127818241022563,1:0.292799457978|2:0.177935083418|3:0.0911580766078|5:0.334077640388|6:0.104029741608,25,1,CAL
2026-03,2026-03-16,202603160306,0.01631002458216313,0.2802650992555929,0.500747677658063,1.271143966504217,0.059782520853122745,1:0.169110811977|2:0.280265099256|3:0.147262454833|5:0.182879055532|6:0.220482578402,25,1,CAL
2026-03,2026-03-18,202603180807,0.3345367575240895,0.6528621213698602,0.8052519065097792,4.284159340276154,0.5004723362299413,1:0.15238978514|2:0.65286212137|3:0.0609704694645|5:0.10748582132|6:0.0262918027055,25,1,CAL
2026-03,2026-03-19,202603192010,0.19038329087047778,0.46252760554606615,0.7543860367455129,1.5847669832432887,0.17066917434661938,1:0.462527605546|2:0.291858431199|3:0.113794585402|5:0.0315573193586|6:0.100262058494,25,1,CAL
2026-03,2026-03-20,202603202006,0.22240303948637352,0.546566358915386,0.7601595312662541,2.5589130630896055,0.33297318656451785,1:0.113730277995|2:0.546566358915|3:0.213593172351|5:0.0469026088187|6:0.0792075819202,25,1,CAL
2026-03,2026-03-21,202603210505,0.14818048168328768,0.44316619879562824,0.6323674705262896,2.342300317233069,0.25396492706496687,1:0.189201271731|2:0.16876349619|3:0.174576412089|5:0.443166198796|6:0.0242926211946,25,1,CAL
2026-03,2026-03-22,202603221607,0.17921104009078503,0.4708657230740927,0.7430258230758013,1.7301056366129217,0.19870562307238399,1:0.470865723074|2:0.272160100002|3:0.132997805911|5:0.0545855593428|6:0.0693908116705,25,1,CAL
2026-03,2026-03-22,202603221907,0.08371743716211921,0.3952272544235797,0.6135302162504992,1.8104530104219736,0.17692429259666015,1:0.218302961827|2:0.160722827669|3:0.147338887336|5:0.395227254424|6:0.0784080687449,25,1,CAL
2026-03,2026-03-23,202603230203,0.042279326261627004,0.3035790343810281,0.5677884942888918,1.1490089510303438,0.03936957447316447,1:0.133718266908|2:0.303579034381|3:0.264209459908|5:0.185709574987|6:0.112783663816,25,1,CAL
2026-03,2026-03-23,202603231905,0.12871785084689769,0.4263288423402099,0.642580367408492,1.9714489514263318,0.21007731727192777,1:0.42632884234|2:0.152862182903|3:0.168057581889|5:0.0364998678003|6:0.216251525068,25,1,CAL
2026-03,2026-03-24,202603240908,0.007581954582741135,0.23164050311099244,0.45192177152806745,1.0515669569888717,0.01135923469391742,1:0.211415636818|2:0.191521330062|3:0.231640503111|5:0.145141261592|6:0.220281268417,25,1,CAL
2026-03,2026-03-24,202603241306,0.2865689541998788,0.5272599808568181,0.8289293526986578,1.747807467618065,0.22559060901497852,1:0.527259980857|2:0.301669371842|3:0.0725332400214|5:0.0893392645092|6:0.00919814277082,25,1,CAL
2026-03,2026-03-24,202603241608,0.1726505411617142,0.5104909811879901,0.7111955380375259,2.543494722796428,0.30978642433845427,1:0.510490981188|2:0.20070455685|3:0.127707563266|5:0.0661066259049|6:0.0949902727915,25,1,CAL
2026-03,2026-03-24,202603241803,0.17772625891124327,0.46697054564035667,0.6865871341828285,2.1262990593720517,0.24735395709788488,1:0.46697054564|2:0.219616588542|3:0.20920527568|5:0.0483050774275|6:0.0559025127099,25,1,CAL
2026-03,2026-03-27,202603270909,0.2804879731164095,0.592511816927182,0.779552653972799,3.1678206015656123,0.40547097988156505,1:0.592511816927|2:0.0354961703376|3:0.138985409495|5:0.0459657661948|6:0.187040837046,25,1,CAL
2026-03,2026-03-28,202603280408,0.19675312372158027,0.4549263397297438,0.7731231164518997,1.4297012823828128,0.13672956300758793,1:0.45492633973|2:0.318196776722|3:0.103236324391|5:0.0391974326065|6:0.0844431265508,25,1,CAL
2026-03,2026-03-29,202603290502,0.162422177189412,0.49264179190942453,0.6829048702212631,2.5892663793759887,0.30237871359758595,1:0.170454253485|2:0.492641791909|3:0.190263078312|5:0.0639410715506|6:0.0826998047429,25,1,CAL
2026-03,2026-03-29,202603291711,0.08026444440731406,0.3958186521573902,0.6269353984447117,1.7126351011592786,0.1647019058700687,1:0.395818652157|2:0.111254540702|3:0.115674488596|5:0.231116746287|6:0.146135572258,25,1,CAL
2026-03,2026-03-29,202603291907,0.05202021491907993,0.3547121890010678,0.580170331579664,1.5732950912492008,0.12925404642247162,1:0.354712189001|2:0.164123862717|3:0.13426879729|5:0.225458142579|6:0.121437008413,25,1,CAL
2026-03,2026-03-29,202603292408,0.06317144094399874,0.3613227618642977,0.5913633696482338,1.5706912155425505,0.1312821540803616,1:0.169416407931|2:0.230040607784|3:0.0910878870586|5:0.148132335362|6:0.361322761864,25,1,CAL
2026-03,2026-03-30,202603301507,0.10997948732843954,0.4141863149170942,0.6254911360053939,1.9601366063674177,0.20288149382879445,1:0.204595532184|2:0.414186314917|3:0.104820071561|5:0.0650932602499|6:0.211304821088,25,1,CAL
2026-03,2026-03-30,202603302104,0.10092353966052325,0.3810898089268814,0.6161048406735876,1.62155503881816,0.14607477718017514,1:0.381089808927|2:0.0457841628234|3:0.235015031747|5:0.19211705492|6:0.145993941583,25,1,CAL
2026-03,2026-03-30,202603302109,0.043277648315697026,0.2761358776054086,0.550375081411211,1.0069161293253652,0.001896673799606119,1:0.274239203806|2:0.276135877605|3:0.0928234655867|5:0.145680582961|6:0.211120870041,25,1,CAL
2026-03,2026-03-31,202603310809,0.009134075011302034,0.25331220628113393,0.46449293148145165,1.1995043867798632,0.042131481080816185,1:0.253312206281|2:0.163444739554|3:0.210706703006|5:0.161355625958|6:0.2111807252,25,1,CAL
2026-03,2026-03-31,202603311704,0.13393531547591797,0.4827957091069828,0.6531132113826814,2.8346805387356206,0.31247820683128413,1:0.482795709107|2:0.170317502276|3:0.105516847826|5:0.0920846268229|6:0.149285313968,25,1,CAL
2026-04,2026-04-01,202604010206,0.08069014622637061,0.32610492637120514,0.5698514940615742,1.3378852037229743,0.08235835868083607,1:0.24374656769|2:0.326104926371|3:0.20604662654|5:0.181206949199|6:0.0428949301991,25,0,A
2026-04,2026-04-01,202604010603,0.07004560615667921,0.40259343538406,0.584134511246739,2.217643767235296,0.22105235952138105,1:0.402593435384|2:0.152214764271|3:0.135697407718|5:0.181541075863|6:0.127953316765,25,0,S
2026-04,2026-04-01,202604010804,0.150994787520072,0.41413835932935417,0.67273383687697,1.6014911136761771,0.1555428817817383,1:0.414138359329|2:0.258595477548|3:0.0886515143196|5:0.206169921644|6:0.032444727159,25,0,S
2026-04,2026-04-02,202604020108,0.2615418481388506,0.45131138301977863,0.8390077225662576,1.1640847152380018,0.06361504347329966,1:0.387696339546|2:0.0794945571249|3:0.0398526356183|5:0.45131138302|6:0.0416450846906,25,0,S
2026-04,2026-04-02,202604022209,0.14539382073417362,0.4269874153947216,0.720105062190157,1.456710027740885,0.13386976859928623,1:0.426987415395|2:0.103986309242|3:0.0576824218772|5:0.293117646795|6:0.118226206691,25,0,S
2026-04,2026-04-03,202604030402,0.3678179594422253,0.6354202127485613,0.8647149364000136,2.771194219516602,0.406125489097109,1:0.0772376249329|2:0.635420212749|3:0.0467605183965|5:0.229294723651|6:0.0112869202705,25,0,A
2026-04,2026-04-03,202604031806,0.11172597372903337,0.38508236190767764,0.6252939286289162,1.6030966666753361,0.14487079518643908,1:0.240211566721|2:0.122898123135|3:0.0427037314597|5:0.209104216777|6:0.385082361908,25,0,A
2026-04,2026-04-04,202604042202,0.16361026915679355,0.4857530630394935,0.7010133205287351,2.256584976275849,0.2704928055502519,1:0.156744697241|2:0.0601124580256|3:0.215260257489|5:0.485753063039|6:0.0821295242043,25,0,S
2026-04,2026-04-07,202604070808,0.18405800267980388,0.4587777399347189,0.7307191437886369,1.6870463027438294,0.1868363360808009,1:0.458777739935|2:0.123848043136|3:0.122999724731|5:0.271941403854|6:0.0224330883446,25,0,S
2026-04,2026-04-07,202604072403,0.0276684319825532,0.26561793349573554,0.5033256809806653,1.117413867684625,0.027910186010805776,1:0.237707747485|2:0.210380707829|3:0.0999990870851|5:0.265617933496|6:0.186294524105,25,0,S
2026-04,2026-04-09,202604090703,0.19393182494416883,0.5204680847091309,0.704491299569745,2.8282740582667922,0.3364448698485168,1:0.147478939753|2:0.184023214861|3:0.0349202137148|5:0.113109546962|6:0.520468084709,25,0,A
2026-04,2026-04-14,202604140304,0.11343341037431443,0.43855486107122305,0.6721016579983473,1.8778029364627482,0.2050080641440988,1:0.233546796927|2:0.438554861071|3:0.110778583674|5:0.104954488351|6:0.112165269977,25,0,A
2026-04,2026-04-15,202604150307,0.13137192857968938,0.4654952200143509,0.67591387928873,2.2122335615082513,0.25507656073997176,1:0.210418659274|2:0.128403948829|3:0.118310594296|5:0.465495220014|6:0.0773715775861,25,0,S
