date,race_code,model,target,history_pct,history_adjust,band,winner,trifecta_payout,head_hit,payout_missing
2026-08-22,202608220309,4カドまくり,0,0.5691,0.276,中,1,1580,0,0
2026-08-22,202608220312,4カドまくり,0,0.1081,-1.568,低,1,1510,0,0
2026-08-22,202608220404,4カドまくり,0,0.2244,-1.103,低,1,1740,0,0
2026-08-22,202608220711,4カドまくり,0,0.8495,1.398,高,5,121970,0,0
2026-08-22,202608220807,4カドまくり,0,0.5116,0.047,中,1,15250,0,0
2026-08-22,202608222102,4カドまくり,0,0.7743,1.097,高,5,6750,0,0
2026-08-22,202608222306,4カドまくり,0,0.5294,0.118,中,4,1760,1,0
2026-08-23,202608230405,4カドまくり,0,0.8906,1.562,高,2,2990,0,0
2026-08-23,202608230604,4カドまくり,0,0.8782,1.513,高,4,16970,1,0
2026-08-23,202608232403,4カドまくり,0,0.6648,0.659,中,1,770,0,0
2026-08-23,202608232408,4カドまくり,0,0.5212,0.085,中,4,16650,1,0
2026-08-24,202608240706,4カドまくり,1,0.7401,0.96,高,4,1270,1,0
2026-08-24,202608241311,4カドまくり,0,0.5116,0.047,中,1,2940,0,0
2026-08-24,202608241808,4カドまくり,1,0.6703,0.681,中,4,5290,1,0
2026-08-24,202608242007,4カドまくり,0,0.8646,1.458,高,1,10750,0,0
2026-08-24,202608242009,4カドまくり,0,0.7756,1.103,高,6,6600,0,0
2026-08-25,202608251305,4カドまくり,0,0.5294,0.118,中,1,630,0,0
2026-08-25,202608251306,4カドまくり,0,0.8536,1.415,高,3,49910,0,0
2026-08-25,202608251505,4カドまくり,0,0.5472,0.189,中,5,3150,0,0
2026-08-25,202608251707,4カドまくり,0,0.814,1.256,高,1,4450,0,0
2026-08-25,202608251708,4カドまくり,0,0.5116,0.047,中,1,1300,0,0
2026-08-25,202608252005,4カドまくり,0,0.5964,0.386,中,1,600,0,0
2026-08-26,202608260902,4カドまくり,0,0.197,-1.212,低,1,2220,0,0
2026-08-26,202608260905,4カドまくり,1,0.9767,1.907,高,4,3890,1,0
2026-08-26,202608261010,4カドまくり,0,0.8892,1.557,高,4,19890,1,0
2026-08-26,202608261403,4カドまくり,0,0.5116,0.047,中,1,620,0,0
2026-08-20,202608200912,5頭展開,0,0.5,0.0,中,2,5260,0,0
2026-08-20,202608201110,5頭展開,0,0.5,0.0,中,3,106480,0,0
2026-08-20,202608201305,5頭展開,0,0.5,0.0,中,4,5220,0,0
2026-08-20,202608201612,5頭展開,0,0.5,0.0,中,1,650,0,0
2026-08-20,202608201803,5頭展開,0,0.5,0.0,中,1,630,0,0
2026-08-20,202608201906,5頭展開,0,0.5,0.0,中,1,1180,0,0
2026-08-20,202608202012,5頭展開,0,0.5,0.0,中,1,3130,0,0
2026-08-21,202608210211,5頭展開,0,0.5,0.0,中,1,1890,0,0
2026-08-21,202608210310,5頭展開,1,0.5,0.0,中,5,17490,1,0
2026-08-21,202608211311,5頭展開,0,0.5,0.0,中,4,70070,0,0
2026-08-21,202608212106,5頭展開,0,0.5,0.0,中,3,14490,0,0
2026-08-21,202608212308,5頭展開,1,0.5,0.0,中,5,7440,1,0
2026-08-22,202608220205,5頭展開,0,0.5,0.0,中,4,7830,0,0
2026-08-22,202608220206,5頭展開,0,0.5,0.0,中,4,930,0,0
2026-08-22,202608220401,5頭展開,1,0.5,0.0,中,5,2950,1,0
2026-08-22,202608220807,5頭展開,0,0.5,0.0,中,1,15250,0,0
2026-08-22,202608221605,5頭展開,0,0.5,0.0,中,1,1610,0,0
2026-08-22,202608222012,5頭展開,0,0.5,0.0,中,1,1220,0,0
2026-08-22,202608222212,5頭展開,0,0.5,0.0,中,4,8170,0,0
2026-08-22,202608222306,5頭展開,0,0.5,0.0,中,4,1760,0,0
2026-08-23,202608231804,5頭展開,0,0.5,0.0,中,3,109410,0,0
2026-08-23,202608231911,5頭展開,0,0.5,0.0,中,1,1140,0,0
2026-08-24,202608240712,5頭展開,0,0.5,0.0,中,1,5600,0,0
2026-08-24,202608241001,5頭展開,0,0.5,0.0,中,2,6820,0,0
2026-08-24,202608241311,5頭展開,0,0.5,0.0,中,1,2940,0,0
2026-08-24,202608241502,5頭展開,0,0.5,0.0,中,4,4930,0,0
2026-08-24,202608241505,5頭展開,0,0.5,0.0,中,1,3080,0,0
2026-08-24,202608241806,5頭展開,0,0.5,0.0,中,4,1590,0,0
2026-08-24,202608241911,5頭展開,0,0.5,0.0,中,3,17080,0,0
2026-08-24,202608242009,5頭展開,0,0.5,0.0,中,6,6600,0,0
2026-08-24,202608242109,5頭展開,0,0.5,0.0,中,1,1520,0,0
2026-08-24,202608242205,5頭展開,0,0.5,0.0,中,1,6260,0,0
2026-08-25,202608250107,5頭展開,0,0.5,0.0,中,3,9820,0,0
2026-08-25,202608250605,5頭展開,0,0.5,0.0,中,6,8670,0,0
2026-08-25,202608250903,5頭展開,0,0.5,0.0,中,3,6610,0,0
2026-08-25,202608251311,5頭展開,0,0.5,0.0,中,1,950,0,0
2026-08-25,202608251505,5頭展開,1,0.5,0.0,中,5,3150,1,0
2026-08-25,202608251511,5頭展開,0,0.5,0.0,中,1,1410,0,0
2026-08-26,202608261403,5頭展開,0,0.5,0.0,中,1,620,0,0
2026-08-26,202608261512,5頭展開,0,0.5,0.0,中,1,1330,0,0
2026-08-26,202608261809,5頭展開,0,0.5,0.0,中,1,2210,0,0
