scope,key,rule,R,head,hit,cov,cost,ret,roi
jcd,23,turn>=-0.2,3,33.33333333333333,0.0,0.0,3000.0,0.0,0.0
jcd,23,turn>=0.0,1,0.0,0.0,0.0,1000.0,0.0,0.0
jcd,21,BASE,8,50.0,50.0,100.0,8000.0,8740.0,109.25
jcd,21,turn>=-0.2,2,0.0,0.0,0.0,2000.0,0.0,0.0
jcd,21,turn>=0.0,1,0.0,0.0,0.0,1000.0,0.0,0.0
jcd,24,BASE,6,33.33333333333333,33.33333333333333,100.0,6000.0,2030.0,33.833333333333336
jcd,24,turn>=-0.2,0,0.0,0.0,0.0,0.0,0.0,0.0
jcd,24,turn>=0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
jcd,08,BASE,6,50.0,50.0,100.0,6000.0,4850.0,80.83333333333333
jcd,08,turn>=-0.2,1,0.0,0.0,0.0,1000.0,0.0,0.0
jcd,08,turn>=0.0,1,0.0,0.0,0.0,1000.0,0.0,0.0
jcd,16,BASE,5,20.0,20.0,100.0,5000.0,1190.0,23.8
jcd,16,turn>=-0.2,1,100.0,100.0,100.0,1000.0,1190.0,119.0
jcd,16,turn>=0.0,1,100.0,100.0,100.0,1000.0,1190.0,119.0
jcd,12,BASE,2,0.0,0.0,0.0,2000.0,0.0,0.0
jcd,12,turn>=-0.2,0,0.0,0.0,0.0,0.0,0.0,0.0
jcd,12,turn>=0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
