date,race_code,boat,tilt,band,delta,up,down,same,win,makuri,ms,attack,stfast,strength,turn,stretch
2026-06-01,202606010803,3,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.20700000000000007,0.37994753410283316,0.2485414480587618
2026-06-01,202606010803,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.7782,0.19052465897166843,0.21458551941238196
2026-06-01,202606010803,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.49500000000000005,0.4098426023084995,0.6256243441762854
2026-06-01,202606010804,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.0,0.0,0.2094753410283316,0.36541448058761805
2026-06-01,202606010804,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.06750000000000002,0.2003672612801679,0.2602098635886673
2026-06-01,202606010804,5,-0.5,-0.5以下,,0,0,0,1,0,1,1,0.9166666666666667,0.8409,0.6094753410283317,0.5254144805876181
2026-06-01,202606010805,3,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.12599999999999997,0.7142130115424974,0.888121720881427
2026-06-01,202606010805,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.02269999999999997,0.6653672612801679,0.12020986358866736
2026-06-01,202606010805,5,0.0,0,,0,0,0,0,0,0,0,0.8333333333333334,0.6123,0.4098426023084995,0.5056243441762854
2026-06-01,202606010806,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.6385000000000001,0.6189506820566631,0.7508289611752361
2026-06-01,202606010806,4,0.0,0,,0,0,0,0,0,0,0,1.0,0.0,0.6105771248688352,0.6460440713536202
2026-06-01,202606010806,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.75,0.3737999999999999,0.4200524658971668,0.5514585519412383
2026-06-01,202606010807,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.06150000000000002,0.38104931794333685,0.06917103882476391
2026-06-01,202606010807,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.6094999999999999,0.8,0.6200000000000001
2026-06-01,202606010807,5,0.0,0,,0,0,0,0,0,0,0,0.0,0.26360000000000006,0.48505246589716683,0.37145855194123817
2026-06-01,202606010808,3,0.0,0,,0,0,0,0,0,0,0,0.5,0.7782,0.19052465897166843,0.21458551941238196
2026-06-01,202606010808,4,0.0,0,,0,0,0,0,0,0,0,0.75,0.5681,0.39052465897166844,0.4745855194123819
2026-06-01,202606010808,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.3612000000000001,0.38104931794333685,0.2491710388247639
2026-06-01,202606010809,3,-0.5,-0.5以下,,0,0,0,1,0,0,0,0.4166666666666666,0.5010999999999999,0.4287932843651626,0.7764533053515215
2026-06-01,202606010809,4,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.551,0.2094753410283316,0.48541448058761805
2026-06-01,202606010809,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.25,0.0,0.9901573976915006,0.8943756558237146
2026-06-01,202606010810,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.6167,0.5704721930745016,0.22312696747114374
2026-06-01,202606010810,4,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.35640000000000005,0.5058394543546694,0.7033368310598112
2026-06-01,202606010810,5,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.22799999999999992,0.6102098635886675,0.8258342077649528
2026-06-01,202606010811,3,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.345,0.580682056663169,0.3289611752360965
2026-06-01,202606010811,4,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.29180000000000006,0.009842602308499473,0.2856243441762854
2026-06-01,202606010811,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.45469999999999994,0.3806820566631689,0.2489611752360965
2026-06-01,202606010812,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.6666666666666666,0.7384999999999999,1.0,0.94
2026-06-01,202606010812,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.6524,0.4189506820566632,0.6708289611752362
2026-06-01,202606010812,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.645,0.6189506820566631,0.6908289611752361
2026-06-01,202606010901,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.1875,0.3806820566631689,0.12896117523609651
2026-06-01,202606010901,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.3333333333333334,0.1849,0.38031479538300106,0.06875131164742918
2026-06-01,202606010901,5,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.10500000000000002,0.019685204616998953,0.3912486883525708
2026-06-01,202606010902,3,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.5492999999999999,0.4098426023084995,0.6856243441762854
2026-06-01,202606010902,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.3333333333333334,0.2591,0.09526232948583419,0.07729275970619096
2026-06-01,202606010902,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.3333333333333334,0.6336,0.7043704092339979,0.7824973767051417
2026-06-01,202606010903,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.5818,0.3051049317943337,0.2629171038824764
2026-06-01,202606010903,4,0.0,0,,0,0,0,0,0,0,0,0.08333333333333341,0.0547,0.19052465897166843,0.03458551941238196
2026-06-01,202606010903,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.6147,0.38942287513116475,0.3539559286463798
2026-06-01,202606010904,3,0.0,0,,0,0,0,0,0,0,0,0.5,0.6036999999999999,0.32479013641133264,0.6541657922350473
2026-06-01,202606010904,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.24219999999999997,0.3908919202518363,0.4147953830010493
2026-06-01,202606010904,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.2723000000000001,0.6956295907660021,0.6775026232948584
2026-06-01,202606010905,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.18519999999999998,0.7704721930745015,0.36312696747114376
2026-06-01,202606010905,4,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.10500000000000002,0.019685204616998953,0.3912486883525708
2026-06-01,202606010905,5,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.261,0.5047376705141657,0.6427072402938091
2026-06-01,202606010906,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.3333333333333334,0.20540000000000003,0.23900314795383001,0.6822875131164743
2026-06-01,202606010906,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.5328,0.7897901364113327,0.7541657922350472
2026-06-01,202606010906,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.27349999999999997,0.7149475341028331,0.7685414480587618
2026-06-01,202606010907,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.001499999999999968,0.33426547743966417,0.6995802728226652
2026-06-01,202606010907,4,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.5492999999999999,0.4098426023084995,0.6856243441762854
2026-06-01,202606010907,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.5818,0.3051049317943337,0.2629171038824764
2026-06-01,202606010908,3,0.0,0,,0,0,0,0,0,0,0,0.5833333333333334,0.6028,0.4200524658971668,0.6114585519412382
2026-06-01,202606010908,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.10799999999999996,0.39963273871983207,0.45979013641133265
2026-06-01,202606010908,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5833333333333334,0.1875,0.3806820566631689,0.12896117523609651
2026-06-01,202606010909,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.8035000000000001,0.39963273871983207,0.5197901364113326
2026-06-01,202606010909,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.5507,0.8098426023084995,0.7256243441762854
2026-06-01,202606010909,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.7016,0.7905246589716683,0.634585519412382
2026-06-01,202606010910,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.26669999999999994,0.4956295907660021,0.4175026232948584
2026-06-01,202606010910,4,0.0,0,,0,0,0,0,0,0,0,0.08333333333333341,0.13999999999999999,0.3047376705141658,0.32270724029380904
2026-06-01,202606010910,5,0.0,0,,0,0,0,0,0,0,0,0.75,0.6857000000000001,0.6653672612801679,0.18020986358866736
2026-06-01,202606010911,3,0.0,0,,0,0,0,0,0,0,0,0.75,0.8079999999999998,0.8558919202518365,0.27479538300104933
2026-06-01,202606010911,4,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.32099999999999995,0.4857869884575026,0.2518782791185729
2026-06-01,202606010911,5,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.2738999999999999,0.2857869884575026,0.11187827911857291
2026-06-01,202606010912,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.6666666666666666,0.6033,0.9901573976915006,0.7743756558237147
2026-06-01,202606010912,4,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.1666666666666666,0.1429,0.23900314795383001,0.8622875131164743
2026-06-01,202606010912,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.5,0.32549999999999996,0.419685204616999,0.49124868835257085
2026-06-01,202606011101,3,0.0,0,,0,0,0,0,0,0,0,0.25,0.02849999999999999,0.4291605456453305,0.8366631689401889
2026-06-01,202606011101,4,0.0,0,,0,0,0,0,0,0,0,0.25,0.7464999999999999,0.5905246589716685,0.314585519412382
2026-06-01,202606011101,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.2505,0.20984260230849944,0.24562434417628543
2026-06-01,202606011102,3,0.0,0,,0,0,0,0,0,0,0,0.4166666666666666,0.43750000000000006,0.019685204616998953,0.2712486883525708
2026-06-01,202606011102,4,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.35129999999999995,0.8657345225603359,0.44041972717733474
2026-06-01,202606011102,5,0.0,0,,0,0,0,0,0,0,0,0.0,0.0,0.6846852046169989,0.6312486883525709
2026-06-01,202606011103,3,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.4166666666666666,0.5700000000000001,0.6657345225603357,0.12041972717733473
2026-06-01,202606011103,4,0.0,0,,0,0,0,0,0,0,0,0.75,0.0664,0.04921301154249738,0.768121720881427
2026-06-01,202606011103,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.3023,0.6200524658971669,0.9314585519412383
2026-06-01,202606011104,3,0.0,0,,0,0,0,0,0,0,0,0.6666666666666666,0.9928,1.0,0.94
2026-06-01,202606011104,4,0.5,+0.5,,0,0,0,0,0,0,0,0.5833333333333334,0.07799999999999993,0.6196852046169989,0.8712486883525709
2026-06-01,202606011104,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.3839,0.48468520461699893,0.4912486883525708
2026-06-01,202606011105,3,0.0,0,,0,0,0,0,0,0,0,0.5,0.47850000000000004,0.6,0.66
2026-06-01,202606011105,4,0.0,0,,0,0,0,0,0,0,0,0.5,0.3457,0.22989506820566633,0.4570828961175236
2026-06-01,202606011105,5,-0.5,-0.5以下,,0,0,0,0,0,0,0,0.25,0.1245,0.20984260230849944,0.24562434417628543
2026-06-01,202606011106,3,-0.5,-0.5以下,,0,0,0,1,0,0,0,0.5833333333333334,0.7062999999999999,0.7708394543546695,0.30333683105981113
2026-06-01,202606011106,4,0.0,0,,0,0,0,0,0,0,0,0.6666666666666666,0.43279999999999996,0.9704721930745015,0.3831269674711438
2026-06-01,202606011106,5,0.0,0,,0,0,0,0,0,0,0,0.5,0.3143,0.9047376705141659,0.922707240293809
2026-06-01,202606011107,3,0.0,0,,0,0,0,1,1,0,1,0.5833333333333334,0.8402000000000001,0.5897901364113327,0.6141657922350472
2026-06-01,202606011107,4,0.0,0,,0,0,0,0,0,0,0,0.3333333333333334,0.23790000000000006,0.19015739769150047,0.15437565582371457
