actual_combo,approved_A,approved_S,date,ex_head,head_boat,head_hit,history_adjust,history_pct,hit_20,hit_4,hit_6,hit_8,invest_20,invest_4,invest_6,invest_8,kimarite,method_hit,model,orig_straight_head,orig_turn_head,pair_weight,payout,period,preview_comp,prior1,prior2,race_code,return_20,return_4,return_6,return_8,st_head,tickets_20,tickets_4,tickets_6,tickets_8,tilt,v53_score,winner
1-5-3,0,0,2026-07-16,0.8,3,0,-1.308,0.1731,0,0,0,0,2000,400,600,800,逃げ,0,3まくり差し,0.5,0.4,,1130,validation,0.5198,0.3752747252747253,0.3752747252747253,202607161212,0,0,0,0,0.8,3-1-5;3-1-4;3-1-2;3-1-6;3-2-5;3-2-4;3-2-1;3-6-5;3-5-1;3-4-5;3-5-4;3-5-2;3-6-1;3-4-1;3-2-6;3-6-4;3-6-2;3-4-2;3-5-6;3-4-6,3-1-5;3-1-4;3-1-2;3-1-6,3-1-5;3-1-4;3-1-2;3-1-6;3-2-5;3-2-4,3-1-5;3-1-4;3-1-2;3-1-6;3-2-5;3-2-4;3-2-1;3-6-5,0,50.62200000000001,1
3-4-2,0,0,2026-07-16,0.6,3,1,0.382,0.5955,1,0,0,0,2000,400,600,800,差し,0,3まくり差し,0.5,0.4,,3140,validation,0.5337,0.54,0.4957802197802198,202607161303,3140,0,0,0,1.0,3-1-5;3-2-5;3-1-4;3-1-2;3-2-4;3-4-5;3-5-4;3-6-5;3-5-2;3-1-6;3-4-2;3-6-4;3-2-6;3-5-1;3-2-1;3-6-2;3-5-6;3-4-1;3-4-6;3-6-1,3-1-5;3-2-5;3-1-4;3-1-2,3-1-5;3-2-5;3-1-4;3-1-2;3-2-4;3-4-5,3-1-5;3-2-5;3-1-4;3-1-2;3-2-4;3-4-5;3-5-4;3-6-5,0,53.702,3
5-3-2,1,1,2026-07-16,0.8,3,0,0.19,0.5475,0,0,0,0,2000,400,600,800,抜き,0,3まくり差し,0.5,1.0,,39860,validation,0.9497,0.5089010989010989,0.6011208791208791,202607161307,0,0,0,0,1.0,3-1-4;3-1-5;3-1-2;3-2-4;3-2-5;3-1-6;3-4-5;3-4-2;3-2-1;3-5-4;3-5-2;3-2-6;3-6-4;3-6-5;3-6-2;3-4-1;3-5-1;3-6-1;3-4-6;3-5-6,3-1-4;3-1-5;3-1-2;3-2-4,3-1-4;3-1-5;3-1-2;3-2-4;3-2-5;3-1-6,3-1-4;3-1-5;3-1-2;3-2-4;3-2-5;3-1-6;3-4-5;3-4-2,-0.5,94.92999999999999,5
2-4-5,1,1,2026-07-16,0.8,3,0,-1.627,0.0931,0,0,0,0,2000,400,600,800,まくり差し,0,3まくり差し,0.0,0.6,,12750,validation,0.6927500000000001,0.275781741867786,0.42378174186778594,202607161704,0,0,0,0,1.0,3-1-4;3-2-4;3-1-5;3-2-5;3-1-2;3-4-2;3-4-5;3-5-4;3-6-4;3-5-2;3-1-6;3-2-6;3-2-1;3-6-2;3-6-5;3-4-1;3-4-6;3-5-1;3-5-6;3-6-1,3-1-4;3-2-4;3-1-5;3-2-5,3-1-4;3-2-4;3-1-5;3-2-5;3-1-2;3-4-2,3-1-4;3-2-4;3-1-5;3-2-5;3-1-2;3-4-2;3-4-5;3-5-4,0,67.59800000000001,2
4-6-3,1,1,2026-07-16,0.8,4,1,1.415,0.8536,1,0,0,0,2000,400,600,800,まくり差し,0,4カドまくり,1.0,1.0,,3980,validation,0.802,0.6494505494505494,0.7475604395604395,202607160105,3980,0,0,0,0.6,4-5-2;4-5-1;4-6-2;4-6-1;4-5-6;4-2-1;4-2-6;4-1-2;4-5-3;4-3-2;4-3-1;4-6-3;4-6-5;4-1-6;4-2-3;4-2-5;4-3-6;4-1-3;4-1-5;4-3-5,4-5-2;4-5-1;4-6-2;4-6-1,4-5-2;4-5-1;4-6-2;4-6-1;4-5-6;4-2-1,4-5-2;4-5-1;4-6-2;4-6-1;4-5-6;4-2-1;4-2-6;4-1-2,0,81.575,4
4-1-2,0,0,2026-07-16,0.19999999999999996,4,1,0.977,0.7442,1,0,1,1,2000,400,600,800,まくり,1,4カドまくり,0.6,0.6,,2890,validation,0.436,0.7126373626373625,0.5918021978021977,202607160112,2890,0,2890,2890,0.4,4-5-1;4-5-2;4-6-1;4-2-1;4-1-2;4-5-6;4-6-2;4-3-1;4-1-5;4-1-6;4-5-3;4-6-5;4-2-5;4-2-6;4-1-3;4-3-2;4-6-3;4-2-3;4-3-5;4-3-6,4-5-1;4-5-2;4-6-1;4-2-1,4-5-1;4-5-2;4-6-1;4-2-1;4-1-2;4-5-6,4-5-1;4-5-2;4-6-1;4-2-1;4-1-2;4-5-6;4-6-2;4-3-1,-0.5,43.387,4
4-5-2,0,0,2026-07-16,0.0,4,0,0.249,0.5622,1,1,1,1,2000,400,600,800,,0,4カドまくり,0.5,0.5,,19240,validation,0.4083,0.5349999999999999,0.521,202607160302,19240,19240,19240,19240,0.6,4-5-1;4-5-2;4-6-1;4-6-2;4-2-1;4-5-6;4-1-2;4-3-1;4-2-6;4-5-3;4-1-6;4-3-2;4-2-5;4-6-5;4-1-5;4-2-3;4-6-3;4-1-3;4-3-6;4-3-5,4-5-1;4-5-2;4-6-1;4-6-2,4-5-1;4-5-2;4-6-1;4-6-2;4-2-1;4-5-6,4-5-1;4-5-2;4-6-1;4-6-2;4-2-1;4-5-6;4-1-2;4-3-1,0.5,44.079,0
2-4-3,1,1,2026-07-16,0.8,4,0,0.791,0.6977,0,0,0,0,2000,400,600,800,,0,4カドまくり,0.5,0.5,,1640,validation,0.6923,0.675,0.563,202607160304,0,0,0,0,0.8,4-5-1;4-5-2;4-6-1;4-6-2;4-5-6;4-2-1;4-1-2;4-5-3;4-2-6;4-6-5;4-2-5;4-3-1;4-3-2;4-1-6;4-1-5;4-6-3;4-2-3;4-3-6;4-3-5;4-1-3,4-5-1;4-5-2;4-6-1;4-6-2,4-5-1;4-5-2;4-6-1;4-6-2;4-5-6;4-2-1,4-5-1;4-5-2;4-6-1;4-6-2;4-5-6;4-2-1;4-1-2;4-5-3,0.5,73.021,0
1-6-4,0,0,2026-07-16,0.19999999999999996,4,0,-1.081,0.2298,0,0,0,0,2000,400,600,800,逃げ,0,4カドまくり,0.4,1.0,,2500,validation,0.46135,0.3671878279118572,0.4977502623294858,202607160511,0,0,0,0,0.6,4-5-1;4-6-1;4-5-2;4-5-6;4-6-2;4-2-1;4-1-6;4-1-2;4-6-5;4-1-5;4-3-1;4-2-6;4-5-3;4-2-5;4-6-3;4-1-3;4-3-6;4-3-2;4-3-5;4-2-3,4-5-1;4-6-1;4-5-2;4-5-6,4-5-1;4-6-1;4-5-2;4-5-6;4-6-2;4-2-1,4-5-1;4-6-1;4-5-2;4-5-6;4-6-2;4-2-1;4-1-6;4-1-2,0,45.013999999999996,1
1-2-6,0,0,2026-07-16,0.19999999999999996,4,0,-0.731,0.3174,0,0,0,0,2000,400,600,800,逃げ,0,4カドまくり,0.4,0.6,,1080,validation,0.454,0.5157817418677859,0.47278069254984256,202607160702,0,0,0,0,0.6,4-5-1;4-5-2;4-6-1;4-5-6;4-6-2;4-2-1;4-6-5;4-1-2;4-2-6;4-2-5;4-5-3;4-1-6;4-1-5;4-3-1;4-3-2;4-6-3;4-3-6;4-2-3;4-3-5;4-1-3,4-5-1;4-5-2;4-6-1;4-5-6,4-5-1;4-5-2;4-6-1;4-5-6;4-6-2;4-2-1,4-5-1;4-5-2;4-6-1;4-5-6;4-6-2;4-2-1;4-6-5;4-1-2,-0.5,43.479,1
