rule,head_q,guard_q,conf_cut,R,heads,head_rate,hit5,trifecta5_rate,months,worst_head_month,worst_tri5_month,min_month_R,head_wilson_lo,head_wilson_hi,tri5_wilson_lo,tri5_wilson_hi
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.990_AND_LR_q0.975,0.99,0.975,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.0,29,27,0.9310344827586207,18,0.6206896551724138,4,0.875,0.0,1,0.7803541984972431,0.9808787338305667,0.4400254420598852,0.7731197789919015
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.45,5,5,1.0,5,1.0,3,1.0,1.0,1,0.5655175352168251,1.0,0.5655175352168251,1.0
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.5,1,1,1.0,1,1.0,1,1.0,1.0,1,0.20654931437723745,1.0,0.20654931437723745,1.0
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.900,0.995,0.9,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.0,26,24,0.9230769230769231,16,0.6153846153846154,4,0.8571428571428571,0.0,1,0.7585844622837095,0.9786449115277238,0.4253485008511553,0.7757140556428721
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.45,5,5,1.0,5,1.0,3,1.0,1.0,1,0.5655175352168251,1.0,0.5655175352168251,1.0
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.5,1,1,1.0,1,1.0,1,1.0,1.0,1,0.20654931437723745,1.0,0.20654931437723745,1.0
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.950,0.995,0.95,0.75,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.0,23,21,0.9130434782608695,15,0.6521739130434783,4,0.8571428571428571,0.0,1,0.7320401892425634,0.9758199955157796,0.44890335377263,0.8118872406120227
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.45,5,5,1.0,5,1.0,3,1.0,1.0,1,0.5655175352168251,1.0,0.5655175352168251,1.0
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.5,1,1,1.0,1,1.0,1,1.0,1.0,1,0.20654931437723745,1.0,0.20654931437723745,1.0
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.55,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.6,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.65,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.7,0,0,,0,,0,,,0,,,,
HGB_q0.995_AND_LR_q0.975,0.995,0.975,0.75,0,0,,0,,0,,,0,,,,
