date,race_code,venue,boat,racer_id,racer_name,ex_course,actual_course,course_same,ex_st,actual_st,delta_actual_minus_ex,inside_ex_st,outside_ex_st,inside_bucket,outside_bucket,own_bucket
2026-05-01,202605010206,02,6,5454,谷島 咲希,6,6,1,0.08,0.35,0.26999999999999996,-0.03,,F,missing,.06-.10
2026-05-01,202605010207,02,1,5112,砂長 知輝,1,1,1,0.01,0.12,0.11,,-0.09,missing,F,<=.05
2026-05-01,202605010207,02,2,3503,堂原 洋史,2,2,1,-0.09,0.17,0.26,0.01,-0.01,<=.05,F,F
2026-05-01,202605010207,02,3,3992,関口 智久,3,3,1,-0.01,0.13,0.14,-0.09,-0.18,F,F,F
2026-05-01,202605010207,02,4,3381,滝沢 芳行,4,4,1,-0.18,0.08,0.26,-0.01,0.01,F,<=.05,F
2026-05-01,202605010207,02,5,5167,小川 竜太朗,5,5,1,0.01,0.23,0.22,-0.18,-0.09,F,F,<=.05
2026-05-01,202605010207,02,6,3880,浅見 宗孝,6,6,1,-0.09,0.15,0.24,0.01,,<=.05,missing,F
2026-05-01,202605010208,02,1,3664,鈴木 賢一,1,1,1,0.13,0.07,-0.06,,0.09,missing,.06-.10,.11-.15
2026-05-01,202605010208,02,2,4547,中田 竜太,2,2,1,0.09,0.11,0.020000000000000004,0.13,0.06,.11-.15,.06-.10,.06-.10
2026-05-01,202605010208,02,3,3983,須藤 博倫,3,3,1,0.06,0.08,0.020000000000000004,0.09,0.21,.06-.10,>.20,.06-.10
2026-05-01,202605010208,02,4,5327,西田 和加,4,4,1,0.21,0.1,-0.10999999999999999,0.06,0.17,.06-.10,.16-.20,>.20
2026-05-01,202605010208,02,5,3629,浅見 昌克,5,5,1,0.17,0.08,-0.09000000000000001,0.21,0.08,>.20,.06-.10,.16-.20
2026-05-01,202605010208,02,6,5220,青木 蓮,6,6,1,0.08,0.03,-0.05,0.17,,.16-.20,missing,.06-.10
2026-05-01,202605010209,02,1,4738,清埜 翔子,1,1,1,0.09,0.18,0.09,,-0.08,missing,F,.06-.10
2026-05-01,202605010209,02,2,5287,滝沢 織寧,2,2,1,-0.08,0.16,0.24,0.09,0.11,.06-.10,.11-.15,F
2026-05-01,202605010209,02,3,5045,平川 香織,3,3,1,0.11,0.21,0.09999999999999999,-0.08,0.06,F,.06-.10,.11-.15
2026-05-01,202605010209,02,4,5322,根岸 真優,4,4,1,0.06,0.16,0.1,0.11,0.06,.11-.15,.06-.10,.06-.10
2026-05-01,202605010209,02,5,5357,田中 瀬里奈,6,5,0,0.12,0.1,-0.01999999999999999,0.06,,.06-.10,missing,.11-.15
2026-05-01,202605010209,02,6,5360,高木 茉白,5,6,0,0.06,0.13,0.07,0.06,0.12,.06-.10,.11-.15,.06-.10
2026-05-01,202605010210,02,1,3952,中澤 和志,1,1,1,-0.02,0.15,0.16999999999999998,,0.03,missing,<=.05,F
2026-05-01,202605010210,02,2,4159,向後 龍一,2,2,1,0.03,0.14,0.11000000000000001,-0.02,0.07,F,.06-.10,<=.05
2026-05-01,202605010210,02,3,4144,石塚 久也,3,3,1,0.07,0.18,0.10999999999999999,0.03,0.32,<=.05,>.20,.06-.10
2026-05-01,202605010210,02,4,4532,秋元 哲,4,4,1,0.32,0.22,-0.1,0.07,0.13,.06-.10,.11-.15,>.20
2026-05-01,202605010210,02,5,5005,石田 貴洋,5,5,1,0.13,0.44,0.31,0.32,0.04,>.20,<=.05,.11-.15
2026-05-01,202605010210,02,6,5246,楠 将太郎,6,6,1,0.04,0.32,0.28,0.13,,.11-.15,missing,<=.05
2026-05-01,202605010211,02,1,4109,谷津 幸宏,1,1,1,0.03,0.13,0.1,,0.05,missing,<=.05,<=.05
2026-05-01,202605010211,02,2,4432,黄金井 力良,2,2,1,0.05,0.12,0.06999999999999999,0.03,0.27,<=.05,>.20,<=.05
2026-05-01,202605010211,02,3,5051,松本 純平,3,3,1,0.27,0.29,0.019999999999999962,0.05,0.14,<=.05,.11-.15,>.20
2026-05-01,202605010211,02,4,3412,鈴木 博,4,4,1,0.14,0.14,0.0,0.27,0.11,>.20,.11-.15,.11-.15
2026-05-01,202605010211,02,5,3596,河上 年昭,5,5,1,0.11,0.16,0.05,0.14,0.13,.11-.15,.11-.15,.11-.15
2026-05-01,202605010211,02,6,4700,金子 和之,6,6,1,0.13,0.09,-0.04000000000000001,0.11,,.11-.15,missing,.11-.15
2026-05-01,202605010212,02,1,4444,桐生 順平,1,1,1,-0.09,0.16,0.25,,-0.04,missing,F,F
2026-05-01,202605010212,02,2,4573,佐藤 翼,2,2,1,-0.04,0.14,0.18000000000000002,-0.09,-0.02,F,F,F
2026-05-01,202605010212,02,3,4547,中田 竜太,3,3,1,-0.02,0.16,0.18,-0.04,0.14,F,.11-.15,F
2026-05-01,202605010212,02,4,5112,砂長 知輝,4,4,1,0.14,0.1,-0.04000000000000001,-0.02,0.04,F,<=.05,.11-.15
2026-05-01,202605010212,02,5,5042,畑田 汰一,5,5,1,0.04,0.09,0.049999999999999996,0.14,0.15,.11-.15,.11-.15,<=.05
2026-05-01,202605010212,02,6,5132,中野 希一,6,6,1,0.15,0.11,-0.039999999999999994,0.04,,<=.05,missing,.11-.15
2026-05-01,202605010501,05,1,5201,村上 宗太郎,1,1,1,0.08,0.23,0.15000000000000002,,0.09,missing,.06-.10,.06-.10
2026-05-01,202605010501,05,2,4114,深澤 達徳,2,2,1,0.09,0.21,0.12,0.08,0.16,.06-.10,.16-.20,.06-.10
2026-05-01,202605010501,05,3,4627,藤原 菜希,3,3,1,0.16,0.19,0.03,0.09,0.32,.06-.10,>.20,.16-.20
2026-05-01,202605010501,05,4,5190,大月 遊雅,4,4,1,0.32,0.24,-0.08000000000000002,0.16,0.2,.16-.20,.16-.20,>.20
2026-05-01,202605010501,05,5,4906,鈴木 雅希,5,5,1,0.2,0.19,-0.010000000000000009,0.32,0.27,>.20,>.20,.16-.20
2026-05-01,202605010501,05,6,4759,今泉 友吾,6,6,1,0.27,0.18,-0.09000000000000002,0.2,,.16-.20,missing,>.20
2026-05-01,202605010502,05,1,3812,山崎 聖司,1,1,1,0.15,0.25,0.1,,0.07,missing,.06-.10,.11-.15
2026-05-01,202605010502,05,2,5228,若林 樹蘭,2,2,1,0.07,0.18,0.10999999999999999,0.15,0.14,.11-.15,.11-.15,.06-.10
2026-05-01,202605010502,05,3,3256,三角 哲男,3,3,1,0.14,0.19,0.04999999999999999,0.07,0.11,.06-.10,.11-.15,.11-.15
2026-05-01,202605010502,05,4,5096,上原 崚,4,4,1,0.11,0.17,0.06000000000000001,0.14,0.11,.11-.15,.11-.15,.11-.15
2026-05-01,202605010502,05,5,3859,多羅尾 達之,5,5,1,0.11,0.22,0.11,0.11,0.16,.11-.15,.16-.20,.11-.15
2026-05-01,202605010502,05,6,5433,米本 圭佑,6,6,1,0.16,0.31,0.15,0.11,,.11-.15,missing,.16-.20
2026-05-01,202605010503,05,1,4863,三浦 裕貴,1,1,1,0.05,0.19,0.14,,-0.01,missing,F,<=.05
2026-05-01,202605010503,05,2,5314,中曽 瑠華,2,2,1,-0.01,0.37,0.38,0.05,0.13,<=.05,.11-.15,F
2026-05-01,202605010503,05,3,3377,塚田 修二,3,3,1,0.13,0.39,0.26,-0.01,0.1,F,.06-.10,.11-.15
2026-05-01,202605010503,05,4,4818,伏見 俊介,4,5,0,0.1,0.11,0.009999999999999995,0.13,0.17,.11-.15,.16-.20,.06-.10
2026-05-01,202605010503,05,5,4928,栗城 匠,5,4,0,0.17,0.11,-0.06000000000000001,0.1,0.29,.06-.10,>.20,.16-.20
2026-05-01,202605010503,05,6,4688,永井 彪也,6,6,1,0.29,0.14,-0.14999999999999997,0.17,,.16-.20,missing,>.20
2026-05-01,202605010504,05,1,4286,平田 さやか,1,1,1,0.23,0.14,-0.09,,0.36,missing,>.20,>.20
2026-05-01,202605010504,05,2,2538,高橋 二朗,2,2,1,0.36,0.31,-0.04999999999999999,0.23,0.21,>.20,>.20,>.20
2026-05-01,202605010504,05,3,4297,山田 哲也,3,3,1,0.21,0.11,-0.09999999999999999,0.36,0.11,>.20,.11-.15,>.20
2026-05-01,202605010504,05,4,4891,寺島 美里,4,4,1,0.11,0.11,0.0,0.21,0.16,>.20,.16-.20,.11-.15
2026-05-01,202605010504,05,5,4335,若林 将,5,5,1,0.16,0.09,-0.07,0.11,0.14,.11-.15,.11-.15,.16-.20
2026-05-01,202605010504,05,6,5415,阿部 未侑,6,6,1,0.14,0.25,0.10999999999999999,0.16,,.16-.20,missing,.11-.15
2026-05-01,202605010505,05,1,4117,廣中 智紗衣,1,1,1,0.23,0.21,-0.020000000000000018,,0.27,missing,>.20,>.20
2026-05-01,202605010505,05,2,3792,田中 豪,2,2,1,0.27,0.13,-0.14,0.23,0.03,>.20,<=.05,>.20
2026-05-01,202605010505,05,3,3771,折下 寛法,3,3,1,0.03,0.11,0.08,0.27,0.32,>.20,>.20,<=.05
2026-05-01,202605010505,05,4,5133,堀越 雄貴,5,5,1,0.24,0.23,-0.009999999999999981,0.32,0.16,>.20,.16-.20,>.20
2026-05-01,202605010505,05,5,5190,大月 遊雅,4,4,1,0.32,0.19,-0.13,0.03,0.24,<=.05,>.20,>.20
