rule,head_q,guard_q,conf_cut,month,R,heads,head_rate,hit5,trifecta5_rate,head_wilson_lo,tri5_wilson_lo,avg_top5_mass
HGB_q0.990,0.99,,0.7,2026-03,1,1,1.0,0,0.0,0.20654931437723745,0.0,0.7334349612587265
HGB_q0.990,0.99,,0.7,2026-04,1,1,1.0,0,0.0,0.20654931437723745,0.0,0.7467045714679721
HGB_q0.990,0.99,,0.7,2026-05,1,1,1.0,1,1.0,0.20654931437723745,0.20654931437723745,0.7076051907962921
HGB_q0.990,0.99,,0.7,2026-06,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-02,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-03,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-04,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-05,0,0,,0,,,,
HGB_q0.990,0.99,,0.75,2026-06,0,0,,0,,,,
HGB_q0.995,0.995,,0.0,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.0,2026-03,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.6597417462142057
HGB_q0.995,0.995,,0.0,2026-04,6,6,1.0,3,0.5,0.6096657120978346,0.18761630648265054,0.5970211137128508
HGB_q0.995,0.995,,0.0,2026-05,6,5,0.8333333333333334,4,0.6666666666666666,0.43649717781352987,0.299993315138392,0.5422843638162815
HGB_q0.995,0.995,,0.0,2026-06,7,7,1.0,3,0.42857142857142855,0.6456695649333126,0.15821985525146975,0.5911373860489378
HGB_q0.995,0.995,,0.45,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.45,2026-03,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.6597417462142057
HGB_q0.995,0.995,,0.45,2026-04,6,6,1.0,3,0.5,0.6096657120978346,0.18761630648265054,0.5970211137128508
HGB_q0.995,0.995,,0.45,2026-05,6,5,0.8333333333333334,4,0.6666666666666666,0.43649717781352987,0.299993315138392,0.5422843638162815
HGB_q0.995,0.995,,0.45,2026-06,7,7,1.0,3,0.42857142857142855,0.6456695649333126,0.15821985525146975,0.5911373860489378
HGB_q0.995,0.995,,0.5,2026-02,0,0,,0,,,,
HGB_q0.995,0.995,,0.5,2026-03,2,2,1.0,0,0.0,0.34238022750665303,0.0,0.6597417462142057
HGB_q0.995,0.995,,0.5,2026-04,5,5,1.0,3,0.6,0.5655175352168251,0.2307242812760128,0.6183775113314794
