month,date,race_code,actual2,actual3,p2,p3,nfeat2,nfeat3,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-04,2026-04-08,202604082306,2,1,1:0.179471507|2:0.590793976334|3:0.0571683734992|5:0.130557894728|6:0.0420082484397,1:0.405944807293|2:0.0579472966947|3:0.135562304608|5:0.198833560978|6:0.201712030425,25,25,1,1,1,0,1
2026-04,2026-04-09,202604090703,5,6,1:0.147478939753|2:0.184023214861|3:0.0349202137148|5:0.113109546962|6:0.520468084709,1:0.194051155157|2:0.234228703775|3:0.0843423773049|5:0.441018825522|6:0.0463589382407,25,25,17,4,5,1,4
2026-04,2026-04-13,202604130608,3,1,1:0.390680420174|2:0.264314038706|3:0.125143163449|5:0.19739747251|6:0.022464905161,1:0.0950475847824|2:0.206653996788|3:0.0346878458396|5:0.297012261369|6:0.366598311221,25,25,15,4,4,0,7
2026-04,2026-04-15,202604151005,2,1,1:0.30333066833|2:0.174479436975|3:0.102948190489|5:0.142288386411|6:0.276953317796,1:0.157899292462|2:0.430322740178|3:0.0229118339668|5:0.0414405994486|6:0.347425533945,25,25,9,3,3,0,8
2026-04,2026-04-16,202604160906,1,6,1:0.659903433425|2:0.150397026577|3:0.0994655594239|5:0.0637022667067|6:0.0265317138678,1:0.345523382486|2:0.297218294848|3:0.0743431987744|5:0.0917462714562|6:0.191168852435,25,25,2,1,3,0,8
2026-04,2026-04-18,202604180305,3,1,1:0.258659552504|2:0.258071547708|3:0.140268761472|5:0.0808064698033|6:0.262193668513,1:0.219871151099|2:0.379282689366|3:0.0670754531823|5:0.125189929246|6:0.208580777107,25,25,11,4,2,0,13
2026-04,2026-04-22,202604221103,1,6,1:0.409454532737|2:0.229929570414|3:0.18785420606|5:0.127512371945|6:0.045249318844,1:0.143801894958|2:0.330658024115|3:0.0577557053711|5:0.186997569915|6:0.280786805641,25,25,2,1,2,0,13
2026-04,2026-04-22,202604222207,1,5,1:0.190206704228|2:0.153236951469|3:0.403207355045|5:0.175187728722|6:0.0781612605355,1:0.303756816712|2:0.0495550358077|3:0.0724114364171|5:0.248795669164|6:0.325481041899,25,25,7,2,3,1,15
2026-04,2026-04-23,202604230507,5,2,1:0.142194348296|2:0.155493769354|3:0.155981460514|5:0.432956297148|6:0.113374124688,1:0.118016143693|2:0.17643588963|3:0.0371301415046|5:0.331352381493|6:0.33706544368,25,25,2,1,3,1,2
2026-04,2026-04-24,202604242010,1,2,1:0.558342872465|2:0.132706097848|3:0.0505280989043|5:0.233429092102|6:0.0249938386814,1:0.0815580000268|2:0.281896393373|3:0.0744810356159|5:0.152762694868|6:0.409301876117,25,25,2,1,2,0,4
2026-04,2026-04-25,202604250705,1,3,1:0.256343277607|2:0.277032352622|3:0.106453605244|5:0.157907476062|6:0.202263288465,1:0.233527793316|2:0.18196521734|3:0.118352577767|5:0.201352222575|6:0.264802189001,25,25,12,2,5,1,20
2026-04,2026-04-25,202604250708,5,6,1:0.556609542625|2:0.115188701731|3:0.0538959161603|5:0.0822487040011|6:0.192057135483,1:0.124294147316|2:0.587185930896|3:0.0602032448218|5:0.162704126714|6:0.0656125502523,25,25,18,4,4,1,8
2026-04,2026-04-25,202604251508,1,5,1:0.560819328557|2:0.171645347633|3:0.0655802299739|5:0.148866747265|6:0.0530883465712,1:0.0954680844282|2:0.210686349707|3:0.111168414012|5:0.530219341962|6:0.0524578098904,25,25,1,1,1,0,1
2026-04,2026-04-25,202604252307,2,5,1:0.182204797959|2:0.350355011348|3:0.164086551607|5:0.204564940272|6:0.098788698813,1:0.240081628881|2:0.0978699570409|3:0.0413589608325|5:0.348500155181|6:0.272189298065,25,25,1,1,1,1,9
2026-04,2026-04-27,202604270602,1,6,1:0.37204688576|2:0.293828161273|3:0.104960885674|5:0.124230683118|6:0.104933384175,1:0.152415805241|2:0.0815977681057|3:0.221701175883|5:0.229943762866|6:0.314341487905,25,25,1,1,1,1,11
2026-04,2026-04-27,202604270606,5,2,1:0.205246917542|2:0.191390717416|3:0.097197720359|5:0.400851431306|6:0.105313213376,1:0.2307337817|2:0.19498840103|3:0.114122790029|5:0.311271975515|6:0.148883051727,25,25,2,1,3,0,4
2026-04,2026-04-28,202604280606,2,6,1:0.127583712962|2:0.542901567239|3:0.0461885544644|5:0.195459139672|6:0.087867025663,1:0.152339557644|2:0.0150495560978|3:0.0531940833833|5:0.10658795037|6:0.672828852505,25,25,1,1,1,0,3
2026-04,2026-04-28,202604280707,1,5,1:0.502197530576|2:0.117073742131|3:0.179235830289|5:0.0913834578379|6:0.110109439166,1:0.0954424754747|2:0.031859617609|3:0.129282731881|5:0.622140154848|6:0.121275020187,25,25,1,1,1,1,2
2026-04,2026-04-28,202604280709,6,1,1:0.431302811249|2:0.145451577424|3:0.129541435453|5:0.0795309169141|6:0.21417325896,1:0.120842255974|2:0.186997341676|3:0.087214329347|5:0.24703297037|6:0.357913102633,25,25,10,2,4,1,2
2026-05,2026-05-02,202605020211,5,1,1:0.558793716418|2:0.0615715066613|3:0.0229853126527|5:0.282219025457|6:0.0744304388112,1:0.056111179057|2:0.124909819805|3:0.0543367730058|5:0.191114379044|6:0.573527849088,25,25,8,2,4,0,2
2026-05,2026-05-02,202605021103,1,5,1:0.457821575807|2:0.17617761395|3:0.109625606946|5:0.229632995566|6:0.0267422077298,1:0.11044909473|2:0.226909972324|3:0.0452060135808|5:0.530239656765|6:0.0871952626007,25,25,1,1,1,1,1
2026-05,2026-05-03,202605030805,6,2,1:0.122769141821|2:0.272941690553|3:0.129990210607|5:0.130263961116|6:0.344034995902,1:0.160894788174|2:0.153105381799|3:0.0689367966813|5:0.272061840203|6:0.345001193144,25,25,5,1,4,1,1
2026-05,2026-05-03,202605032307,1,6,1:0.168802546097|2:0.247279554148|3:0.228859264323|5:0.218534585516|6:0.136524049916,1:0.211471470962|2:0.183341392487|3:0.229889177761|5:0.0522909375508|6:0.32300702124,25,25,8,4,1,1,8
2026-05,2026-05-04,202605040701,2,1,1:0.16341253671|2:0.484115611786|3:0.169136726962|5:0.114580115465|6:0.068755009076,1:0.470416108778|2:0.184672326982|3:0.067860630945|5:0.227490107073|6:0.0495608262216,25,25,1,1,1,1,2
2026-05,2026-05-04,202605040705,5,1,1:0.649765126929|2:0.0912700697097|3:0.0686686080707|5:0.142955142675|6:0.047341052615,1:0.107056561691|2:0.224765883053|3:0.0537159096347|5:0.482374012192|6:0.13208763343,25,25,9,2,4,1,2
2026-05,2026-05-04,202605040802,2,5,1:0.193642115453|2:0.364690450188|3:0.222683265106|5:0.161235978543|6:0.0577481907098,1:0.0895511814351|2:0.107804735068|3:0.0587957220052|5:0.62752786547|6:0.116320496022,25,25,1,1,1,0,1
