date,month,race_code,venue,race,legacy_pre_p,new_pre_p,new_threshold,new_pre_selected,p109,live_buy_if_new,entry_course,head_hit,rank_l50,payout100
2026-03-01,2026-03,202603010802,08,02R,0.6966309863530592,0.5766323751335279,0.58,0,0.8050809993831959,0,1,1,10,1070
2026-03-01,2026-03,202603010803,08,03R,0.32177897306187675,0.5766323751335279,0.58,0,0.509179926562691,0,1,1,1,27290
2026-03-01,2026-03,202603010804,08,04R,0.5155462199659372,0.5766323751335279,0.58,0,0.5007562971956782,0,1,0,0,2780
2026-03-01,2026-03,202603010805,08,05R,0.7114533428137559,0.5766323751335279,0.58,0,0.724452087573683,0,1,1,17,2610
2026-03-01,2026-03,202603010806,08,06R,0.711884128013372,0.5766323751335279,0.58,0,0.8268861892662889,0,1,1,13,1280
2026-03-01,2026-03,202603010807,08,07R,0.39920863775397925,0.5766323751335279,0.58,0,0.36745357320531796,0,1,1,3,2430
2026-03-01,2026-03,202603010808,08,08R,0.33408928659000453,0.5766323751335279,0.58,0,0.31439379447373056,0,1,0,0,18010
2026-03-01,2026-03,202603010809,08,09R,0.45801429217783773,0.5766323751335279,0.58,0,0.604097410655059,0,1,0,0,2720
2026-03-01,2026-03,202603010810,08,10R,0.7724767731951633,0.5766323751335279,0.58,0,0.8131742166503644,0,1,1,2,650
2026-03-01,2026-03,202603010811,08,11R,0.7539332716965589,0.5766323751335279,0.58,0,0.6667385254314111,0,1,1,4,440
2026-03-01,2026-03,202603010812,08,12R,0.5593564866553851,0.5766323751335279,0.58,0,0.6018237590773414,0,1,1,2,580
2026-03-01,2026-03,202603011401,14,01R,0.7072743124144311,0.4663215258663951,0.58,0,0.7481609158798427,0,0,1,2,700
2026-03-01,2026-03,202603011402,14,02R,0.42139024972827777,0.4663215258663951,0.58,0,0.3745050226354427,0,0,1,11,7090
2026-03-01,2026-03,202603011403,14,03R,0.5715382070580766,0.4663215258663951,0.58,0,0.607539266638956,0,0,0,0,13640
2026-03-01,2026-03,202603011404,14,04R,0.6687469470354074,0.4663215258663951,0.58,0,0.6572487666656023,0,0,1,9,3420
2026-03-01,2026-03,202603011405,14,05R,0.504416998077484,0.4663215258663951,0.58,0,0.47631658692492296,0,0,0,0,6590
2026-03-01,2026-03,202603011406,14,06R,0.605900185397714,0.4663215258663951,0.58,0,0.5871406155991524,0,0,1,7,1940
2026-03-01,2026-03,202603011407,14,07R,0.4705640558043508,0.4663215258663951,0.58,0,0.42131599941802683,0,0,0,0,4310
2026-03-01,2026-03,202603011408,14,08R,0.5077253712310443,0.4663215258663951,0.58,0,0.4603112678087354,0,0,0,0,2550
2026-03-01,2026-03,202603011409,14,09R,0.6446735291228461,0.4663215258663951,0.58,0,0.6695489792457784,0,0,0,0,2110
2026-03-01,2026-03,202603011410,14,10R,0.6084832636172732,0.4663215258663951,0.58,0,0.5140676078159564,0,0,0,0,15720
2026-03-01,2026-03,202603011411,14,11R,0.5236286287883877,0.4663215258663951,0.58,0,0.4771796815926377,0,0,1,4,610
2026-03-01,2026-03,202603011412,14,12R,0.7207397185657625,0.4663215258663951,0.58,0,0.581469738294052,0,0,0,0,2440
2026-03-01,2026-03,202603011801,18,01R,0.6592635595903228,0.6122218518180905,0.58,1,0.7819889694379927,1,1,1,6,1470
2026-03-01,2026-03,202603011802,18,02R,0.6490152256567648,0.6122218518180905,0.58,1,0.6503234179050239,0,1,1,6,1000
2026-03-01,2026-03,202603011803,18,03R,0.46577083618229836,0.6122218518180905,0.58,1,0.39892304203491247,0,1,0,0,1950
2026-03-01,2026-03,202603011804,18,04R,0.6447868555292161,0.6122218518180905,0.58,1,0.6727355070272633,0,1,1,5,730
2026-03-01,2026-03,202603011805,18,05R,0.421629643024271,0.6122218518180905,0.58,1,0.27420793197160637,0,1,0,0,8370
2026-03-01,2026-03,202603011806,18,06R,0.2502387830524572,0.6122218518180905,0.58,1,0.15868422184319292,0,1,0,0,990
2026-03-01,2026-03,202603011807,18,07R,0.5505765502373716,0.6122218518180905,0.58,1,0.5549914294911201,0,1,1,1,750
2026-03-01,2026-03,202603011808,18,08R,0.27194829674316967,0.6122218518180905,0.58,1,0.1330101680993256,0,1,0,0,4190
2026-03-01,2026-03,202603011809,18,09R,0.6133926568890572,0.6122218518180905,0.58,1,0.6944694675078434,0,1,1,12,1370
2026-03-01,2026-03,202603011810,18,10R,0.3325907165457293,0.6122218518180905,0.58,1,0.24635075321910074,0,1,1,2,1390
2026-03-01,2026-03,202603011811,18,11R,0.34530305313256315,0.6122218518180905,0.58,1,0.2974518671823478,0,1,1,4,2000
2026-03-01,2026-03,202603011812,18,12R,0.7816363411443843,0.6122218518180905,0.58,1,0.7659012281253436,1,1,0,0,8220
2026-03-01,2026-03,202603011901,19,01R,0.5085467536789144,0.6011412021409462,0.58,1,0.5441501968507808,0,1,1,2,2020
2026-03-01,2026-03,202603011902,19,02R,0.5590302671760393,0.6011412021409462,0.58,1,0.6396422042632894,0,1,0,0,1520
2026-03-01,2026-03,202603011903,19,03R,0.5620432858523456,0.6011412021409462,0.58,1,0.5626955167868083,0,1,1,1,3580
2026-03-01,2026-03,202603011904,19,04R,0.7732627510805911,0.6011412021409462,0.58,1,0.8372822144535169,1,1,1,6,2470
2026-03-01,2026-03,202603011905,19,05R,0.8047340591545432,0.6011412021409462,0.58,1,0.8256116828419309,1,1,0,0,4400
2026-03-01,2026-03,202603011906,19,06R,0.7216478663768735,0.6011412021409462,0.58,1,0.8298160450583426,1,1,1,7,850
2026-03-01,2026-03,202603011907,19,07R,0.6383038281359976,0.6011412021409462,0.58,1,0.5182543772472865,0,1,1,8,1020
2026-03-01,2026-03,202603011909,19,09R,0.815053208096659,0.6011412021409462,0.58,1,0.8375450485070861,1,1,1,5,2930
2026-03-01,2026-03,202603011910,19,10R,0.8020728874396227,0.6011412021409462,0.58,1,0.763608151842988,1,1,1,2,2500
2026-03-01,2026-03,202603011911,19,11R,0.8112153095221711,0.6011412021409462,0.58,1,0.8024951148148894,1,1,1,8,1630
2026-03-01,2026-03,202603011912,19,12R,0.5891636250523797,0.6011412021409462,0.58,1,0.5232976916601704,0,1,0,0,4080
2026-03-01,2026-03,202603012001,20,01R,0.5476069095408533,0.6228504501802419,0.58,1,0.47673995141055925,0,1,1,8,1510
2026-03-01,2026-03,202603012002,20,02R,0.37519674203777204,0.6228504501802419,0.58,1,0.2850168705077567,0,1,0,0,23050
2026-03-01,2026-03,202603012003,20,03R,0.6968517572663573,0.6228504501802419,0.58,1,0.5860110241184464,0,1,0,0,6110
2026-03-01,2026-03,202603012004,20,04R,0.37588580198515076,0.6228504501802419,0.58,1,0.3207797187801996,0,1,1,3,2930
2026-03-01,2026-03,202603012005,20,05R,0.7648547862437378,0.6228504501802419,0.58,1,0.7909368357697224,1,1,1,6,2560
2026-03-01,2026-03,202603012006,20,06R,0.5732553975989619,0.6228504501802419,0.58,1,0.5059435238918457,0,1,1,1,1060
2026-03-01,2026-03,202603012007,20,07R,0.6312144833167505,0.6228504501802419,0.58,1,0.6268430737106852,0,1,1,11,22400
