model,score,bin,R,heads,mean_pred,head_rate,wilson_lo,wilson_hi
HGB_V109_FULL_POST,p_cal,"[0.8, 0.85)",957,807,0.8209815105846899,0.8432601880877743,0.8188593502356841,0.8649163069954063
HGB_V109_FULL_POST,p_cal,"[0.85, 0.9)",356,300,0.8703028929079478,0.8426966292134831,0.8012425987386267,0.8768337985716206
HGB_V109_FULL_POST,p_cal,"[0.9, 0.95)",32,28,0.9096191144327443,0.875,0.7193169451834978,0.9502986561251991
LR_ABS_POST,p_raw,"[0.0, 0.5)",7856,2838,0.3649747221245307,0.3612525458248472,0.3507004659329255,0.37194024998717756
LR_ABS_POST,p_raw,"[0.5, 0.6)",3845,2092,0.5517736725186655,0.5440832249674903,0.5283044623569202,0.5597739902442092
LR_ABS_POST,p_raw,"[0.6, 0.7)",4505,2942,0.6505952969193612,0.6530521642619311,0.6390273354446604,0.6668161972220842
LR_ABS_POST,p_raw,"[0.7, 0.75)",2219,1597,0.7246786311575002,0.7196935556557008,0.7006383127244562,0.7379894608088289
LR_ABS_POST,p_raw,"[0.75, 0.8)",1892,1420,0.7737124388914525,0.7505285412262156,0.7305364378117004,0.7695053750673692
LR_ABS_POST,p_raw,"[0.8, 0.85)",1048,833,0.8215622219592111,0.7948473282442748,0.7693431903942285,0.8181978261890983
LR_ABS_POST,p_raw,"[0.85, 0.9)",312,263,0.866852812690447,0.842948717948718,0.7984345230771823,0.8791206047361351
LR_ABS_POST,p_raw,"[0.9, 0.95)",15,13,0.9080777941080057,0.8666666666666667,0.6211801716767764,0.9626387408969346
LR_ABS_POST,p_cal,"[0.0, 0.5)",7929,2871,0.3587131811356419,0.3620885357548241,0.35157911178164936,0.3727315262976951
LR_ABS_POST,p_cal,"[0.5, 0.6)",3709,2023,0.5517069009422135,0.5454300350498786,0.5293665668921071,0.5613994956337732
LR_ABS_POST,p_cal,"[0.6, 0.7)",4353,2821,0.6511158746211653,0.6480588100160809,0.6337467425275181,0.6621097884440967
LR_ABS_POST,p_cal,"[0.7, 0.75)",2156,1555,0.7249370633386745,0.7212430426716141,0.7019354800698476,0.7397636067329858
LR_ABS_POST,p_cal,"[0.75, 0.8)",1924,1424,0.7739954360709576,0.7401247401247402,0.7200633609801023,0.759229163709782
LR_ABS_POST,p_cal,"[0.8, 0.85)",1181,935,0.8219504078015648,0.7917019475021169,0.7676140132352588,0.8138983864791983
LR_ABS_POST,p_cal,"[0.85, 0.9)",413,344,0.8685488038090061,0.8329297820823245,0.7939194363709641,0.8658038089559656
LR_ABS_POST,p_cal,"[0.9, 0.95)",27,25,0.9119173702622997,0.9259259259259259,0.7663040731697686,0.9794453459390113
LR_ABS_THREAT_POST,p_raw,"[0.0, 0.5)",7891,2744,0.35392927193492224,0.34773792928652897,0.33730633404828597,0.35831769937480545
LR_ABS_THREAT_POST,p_raw,"[0.5, 0.6)",3605,1981,0.552720677837696,0.5495145631067961,0.5332289440024119,0.5656947699023439
LR_ABS_THREAT_POST,p_raw,"[0.6, 0.7)",4398,2863,0.6508438458970823,0.6509777171441564,0.6367641154127646,0.6649278043038958
