date,month,race_code,layer,model,n,winner,head4_win,hit,return_yen,profit_yen,comp_odds,p2_concentration,tickets,policy
2026-06-01,2026-06,202606010506,S,v283,4,2,0,0,0.0,-10000.0,,0.28765035055966537,,VARIABLE_v283
2026-06-01,2026-06,202606012402,S,v283,6,3,0,0,0.0,-10000.0,,0.13655175432015287,,VARIABLE_v283
2026-06-02,2026-06,202606020906,S,v283,4,1,0,0,0.0,-10000.0,,0.2310146019578576,,VARIABLE_v283
2026-06-02,2026-06,202606021007,A,v283,4,4,1,0,0.0,-10000.0,2.983848913021937,0.27342616844870316,4-2-5|4-2-1|4-1-2|4-1-5,VARIABLE_v283
2026-06-02,2026-06,202606022307,S,v283,8,1,0,0,0.0,-10000.0,,0.0666903023634331,,VARIABLE_v283
2026-06-03,2026-06,202606032109,A,v283,4,1,0,0,0.0,-10000.0,,0.39606855744497604,,VARIABLE_v283
2026-06-04,2026-06,202606040305,A,v283,8,4,1,1,29640.0,19640.0,2.9248591688043506,0.07324631920759939,4-5-6|4-5-1|4-1-5|4-1-6|4-6-5|4-3-5|4-5-3|4-3-1,VARIABLE_v283
2026-06-04,2026-06,202606040506,S,v283,4,4,1,1,41160.0,31160.0,4.088755263856748,0.29585924501681926,4-6-2|4-2-6|4-2-1|4-6-1,VARIABLE_v283
2026-06-05,2026-06,202606050305,S,v283,6,2,0,0,0.0,-10000.0,,0.1680573273590168,,VARIABLE_v283
2026-06-06,2026-06,202606060703,A,v283,8,1,0,0,0.0,-10000.0,,0.10793668071353624,,VARIABLE_v283
2026-06-06,2026-06,202606060802,A,v283,10,1,0,0,0.0,-10000.0,,0.04999208019621404,,VARIABLE_v283
2026-06-07,2026-06,202606071005,A,v283,8,1,0,0,0.0,-10000.0,,0.12625028743724576,,VARIABLE_v283
2026-06-08,2026-06,202606080510,A,v283,4,1,0,0,0.0,-10000.0,,0.2832200383769473,,VARIABLE_v283
2026-06-08,2026-06,202606080910,S,v283,4,4,1,0,0.0,-10000.0,3.2519260504201686,0.2485475027385361,4-1-5|4-1-6|4-5-1|4-5-6,VARIABLE_v283
2026-06-10,2026-06,202606100903,A,v283,10,4,1,0,0.0,-10000.0,5.130466313272239,0.03724167430864256,4-2-5|4-3-2|4-2-6|4-3-5|4-2-3|4-3-6|4-6-5|4-5-6|4-1-5|4-6-2,VARIABLE_v283
